char,n_gy_readings,guangyun_readings,ruzi_default,ruzi_confidence,n_dual_annotations,n_bare_ruzi,corpus_marked_dist,n_corpus_marked,least_marked_default,signals_agree
三,2,sam samH,sam,1.0,7,0,samH×7 sam×1,8,sam,True
出,2,tsyhwijH tsyhwit,tsyhwit,1.0,6,0,tsyhwijH×7,7,tsyhwit,True
中,2,trjuwng trjuwngH,trjuwng,1.0,4,2,trjuwngH×10,10,trjuwng,True
思,2,si siH,si,1.0,4,0,siH×5,5,si,True
合,2,hop kop,hop,1.0,4,1,kop×5,5,hop,True
約,2,'jak 'jiewH,'jak,1.0,4,1,'jiewH×4,4,'jak,True
於,2,'jo 'u,'jo,1.0,3,0,'u×12,12,'jo,True
弔,2,tek tewH,tewH,1.0,3,0,tek×7,7,tewH,True
喪,2,sang sangH,,0.0,3,1,,0,,False
好,2,xawH xawX,xawX,1.0,2,0,xawH×24,24,xawX,True
惡,3,'ak 'u 'uH,'u,0.5,2,1,'uH×18 'u×1,19,'ak,False
行,4,haeng haengH hang hangH,hangH,0.33,2,1,haengH×11 hang×2 haeng×1,14,hangH,True
度,2,dak duH,duH,1.0,2,6,dak×11 duH×1,12,duH,True
委,2,'jwe 'jweX,'jweX,1.0,2,0,'jwe×8,8,'jweX,True
齊,2,dzej dzejH,dzej,1.0,2,1,dzejH×6,6,dzej,True
和,2,hwa hwaH,hwa,1.0,2,1,hwaH×5,5,hwa,True
沈,3,drim drimH syimX,syimX,0.5,2,0,drim×3 drimH×1 syimX×1,5,drimH,False
池,2,da drje,drje,1.0,2,1,da×3 drje×1,4,drje,True
譽,2,yo yoH,yoH,1.0,2,0,yo×4,4,yoH,True
仰,2,ngjangH ngjangX,ngjangX,1.0,2,0,ngjangH×2,2,ngjangX,True
視,2,dzyijH dzyijX,dzyijX,1.0,2,1,dzyijH×2,2,dzyijX,True
藏,2,dzang dzangH,,0.0,2,1,,0,,False
見,3,'aewX henH kenH,kenH,0.5,1,0,henH×28 'aewX×1,29,kenH,True
相,2,sjang sjangH,sjang,1.0,1,0,sjangH×23,23,sjang,True
淡,4,dam damH damX yemX,yemX,0.33,1,0,damH×8 damX×1,9,dam,False
冠,2,kwan kwanH,kwan,1.0,1,0,kwanH×8,8,kwan,True
離,3,lejH lje ljeH,lje,0.5,1,1,ljeH×4 lje×2 lejH×2,8,lejH,False
參,5,sam srim tshom tshomH tsrhim,tsrhim,0.33,1,0,tsrhim×4 tshom×3 srim×1,8,sam,False
麗,2,lejH lje,lejH,1.0,1,0,lje×6 lejH×1,7,lejH,True
句,4,gju kjuH kuw kuwH,kuwH,0.33,1,0,kuw×4 kjuH×3,7,gju,False
會,2,hwajH kwajH,hwajH,1.0,1,0,kwajH×6,6,hwajH,True
勞,2,law lawH,law,1.0,1,0,lawH×6,6,law,True
柱,2,drjuX trjuX,drjuX,1.0,1,0,trjuX×6,6,drjuX,True
使,2,sriH sriX,sriX,1.0,1,0,sriH×4 sriX×1,5,sriX,True
觀,2,kwan kwanH,kwan,1.0,1,0,kwanH×5,5,kwan,True
衣,2,'j+j 'j+jH,'j+j,1.0,1,0,'j+jH×5,5,'j+j,True
華,3,hwae hwaeH xwae,hwae,0.5,1,0,hwaeH×4,4,hwae,True
積,2,tsjeH tsjek,tsjek,1.0,1,0,tsjeH×4,4,tsjek,True
殿,2,denH tenH,denH,1.0,1,0,tenH×3,3,denH,True
漸,2,dzjemX tsjem,tsjem,1.0,1,0,dzjemX×2 tsjem×1,3,tsjem,True
浪,2,lang langH,lang,1.0,1,0,langH×2 lang×1,3,lang,True
右,2,hjuwH hjuwX,hjuwX,1.0,1,0,hjuwH×3,3,hjuwX,True
降,2,haewng kaewngH,kaewngH,1.0,1,0,kaewngH×2 haewng×1,3,haewng,False
放,2,pjangH pjangX,pjangH,1.0,1,0,pjangX×3,3,pjangH,True
祭,2,tsjejH tsreajH,tsjejH,1.0,1,0,tsreajH×3,3,tsjejH,True
不,4,pjut pjuw pjuwX trhjuwH,pjut,0.33,1,1,pjuwX×1 pjuw×1,2,pjut,True
聚,2,dzjuH dzjuX,dzjuX,1.0,1,0,dzjuH×2,2,dzjuX,True
寅,2,yij yin,yin,1.0,1,0,yij×1 yin×1,2,yij,False
陳,2,drin drinH,drin,1.0,1,0,drinH×2,2,drin,True
正,2,tsyeng tsyengH,tsyengH,1.0,1,0,tsyeng×2,2,tsyengH,True
閒,3,kaenH kean keanH,kean,0.5,1,2,kean×1 keanH×1,2,kaenH,False
莽,3,mangX muX muwX,muwX,0.5,1,0,mangX×1 muX×1,2,muwX,True
調,3,dew dewH trjuw,trjuw,0.5,1,0,dewH×1 trjuw×1,2,dew,False
穜,2,drjowng duwng,drjowng,1.0,1,0,duwng×2,2,drjowng,True
聞,2,mjun mjunH,mjun,1.0,1,0,mjunH×2,2,mjun,True
當,2,tang tangH,,0.0,1,1,tang×1,1,tangH,False
除,2,drjo drjoH,drjo,1.0,1,0,drjoH×1,1,drjo,True
蒼,2,tshang tshangX,tshang,1.0,1,0,tshangX×1,1,tshang,True
鳻,2,bjun paen,paen,1.0,1,0,bjun×1,1,paen,True
載,3,dzojH tsojH tsojX,tsojH,0.5,1,3,dzojH×1,1,tsojH,True
土,2,duX thuX,,0.0,1,1,thuX×1,1,duX,False
巧,2,khaewH khaewX,khaewX,1.0,1,0,khaewH×1,1,khaewX,True
驅,2,khju khjuH,khju,1.0,1,0,khjuH×1,1,khju,True
亟,2,khiH kik,,0.0,1,0,khiH×1,1,kik,False
聽,2,theng thengH,,0.0,1,0,thengH×1,1,theng,False
親,2,tshin tshinH,tshin,1.0,1,0,tshinH×1,1,tshin,True
興,2,xing xingH,xing,1.0,1,0,xingH×1,1,xing,True
期,1,gi,,0.0,1,0,,0,,False
係,1,kejH,,0.0,1,0,,0,,False
搢,1,tsinH,,0.0,1,2,,0,,False
屋,1,'uwk,,0.0,1,1,,0,,False
難,1,nanH,,0.0,1,0,,0,,False
租,1,tsu,,0.0,1,0,,0,,False
治,3,dri driH drijH,,0.0,0,1,driH×44,44,dri,False
樂,3,lak ngaewH ngaewk,,0.0,0,0,lak×24 ngaewH×4 ngaewk×2,30,ngaewk,False
長,3,drjang drjangH trjangX,,0.0,0,1,trjangX×23 drjangH×1,24,drjang,False
與,3,yo yoH yoX,,0.0,0,0,yo×18 yoH×4,22,yoX,False
數,4,sraewk srjuH srjuX suwk,,0.0,0,0,sraewk×10 srjuX×9 srjuH×2 suwk×1,22,suwk,False
去,2,khjoH khjoX,,0.0,0,0,khjoX×20,20,khjoH,False
覆,4,bjuwH phjuwH phjuwk phok,,0.0,0,0,phjuwk×17 phjuwH×1 bjuwH×1,19,phok,False
帥,2,srwijH srwit,,0.0,0,0,srwijH×17,17,srwit,False
斷,3,dwanX twanH twanX,,0.0,0,0,twanH×9 twanX×7,16,dwanX,False
冒,2,mawH mok,,0.0,0,0,mawH×14 mok×1,15,mok,False
復,2,bjuwH bjuwk,,0.0,0,0,bjuwH×11 bjuwk×3,14,bjuwk,False
著,5,drjak drjo trjak trjoH trjoX,,0.0,0,0,trjoH×5 drjak×3 drjo×2 trjak×2 trjoX×1,13,trjoX,False
解,4,heaH heaX keaH keaX,,0.0,0,0,heaX×8 keaH×2 keaX×2 heaH×1,13,heaH,False
盡,2,dzinX tsinX,,0.0,0,0,tsinX×13,13,dzinX,False
任,2,nyim nyimH,,0.0,0,0,nyim×7 nyimH×6,13,nyimH,False
厎,2,tsiX tsyijX,,0.0,0,0,tsyijX×12,12,tsiX,False
稽,2,kej khejX,,0.0,0,0,kej×6 khejX×6,12,kej,False
朝,2,drjew trjew,,0.0,0,2,drjew×11 trjew×1,12,trjew,False
乗,2,zying zyingH,,0.0,0,0,zyingH×11,11,zying,False
烝,2,tsying tsyingH,,0.0,0,0,tsying×11,11,tsyingH,False
咎,2,gjuwX kaw,,0.0,0,0,gjuwX×9 kaw×2,11,kaw,False
舎,2,syaeH syaeX,,0.0,0,0,syaeX×11,11,syaeH,False
邪,2,yae zjae,,0.0,0,0,zjae×11,11,yae,False
鮮,3,sjen sjenH sjenX,,0.0,0,0,sjenX×9 sjen×2,11,sjenH,False
亶,2,tanX tsyen,,0.0,0,0,tanX×10,10,tsyen,False
袒,2,danX dreanH,,0.0,0,0,danX×10,10,dreanH,False
厭,3,'jemH 'jemX 'jep,,0.0,0,0,'jemH×8 'jep×2,10,'jemX,False
傳,3,drjwen drjwenH trjwenH,,0.0,0,0,drjwen×5 trjwenH×3 drjwenH×1,9,drjwenH,False
搏,3,pak phak pjuH,,0.0,0,0,pak×9,9,phak,False
噫,2,'eajH 'i,,0.0,0,0,'i×7 'eajH×2,9,'eajH,False
陶,2,daw yew,,0.0,0,0,daw×7 yew×2,9,yew,False
斂,2,ljemH ljemX,,0.0,0,0,ljemH×7 ljemX×2,9,ljemX,False
幾,4,gj+j gj+jH kj+j kj+jX,,0.0,0,0,kj+j×5 gj+j×3 kj+jX×1,9,gj+jH,False
萑,2,hwan tsywij,,0.0,0,0,hwan×9,9,tsywij,False
屬,2,dzyowk tsyowk,,0.0,0,0,tsyowk×9,9,dzyowk,False
卒,3,tshwot tswit tswot,,0.0,0,0,tswot×6 tswit×3,9,tshwot,False
苴,4,dzrae tshjo tsjo tsjoX,,0.0,0,0,tshjo×6 tsjo×3,9,dzrae,False
說,3,sywejH sywet ywet,,0.0,0,5,ywet×9,9,sywejH,False
惰,2,dwaH dwaX,,0.0,0,0,dwaH×8,8,dwaX,False
埽,2,sawH sawX,,0.0,0,0,sawH×8,8,sawX,False
鞠,3,gjuwk khjuwk kjuwk,,0.0,0,0,kjuwk×8,8,gjuwk,False
否,2,bijX pjuwX,,0.0,0,0,pjuwX×6 bijX×2,8,bijX,False
蠃,2,lwa lwaX,,0.0,0,0,lwa×7 lwaX×1,8,lwaX,False
被,2,bjeH bjeX,,0.0,0,0,bjeH×7 bjeX×1,8,bjeX,False
蔓,2,man mjonH,,0.0,0,0,mjonH×7 man×1,8,man,False
刖,3,ngjwot ngwaet ngwot,,0.0,0,0,ngwaet×7 ngjwot×1,8,ngwot,False
且,2,tshjaeX tsjo,,0.0,0,0,tsjo×8,8,tshjaeX,False
鑿,3,dzak dzuwk tsak,,0.0,0,1,dzak×8,8,dzuwk,False
背,2,bwojH pwojH,,0.0,0,0,bwojH×7 pwojH×1,8,pwojH,False
沮,5,dzjoX tshjo tsjo tsjoH tsrjo,,0.0,0,0,tshjo×5 dzjoX×3,8,tsjo,False
緼,4,'jun 'junH 'junX 'won,,0.0,0,0,'won×4 'jun×2 'junX×2,8,'junH,False
索,3,sak sreak srjaek,,0.0,0,0,sak×8,8,sreak,False
別,2,bjet pjet,,0.0,0,0,pjet×8,8,bjet,False
讙,2,xjwon xwan,,0.0,0,0,xwan×7 xjwon×1,8,xjwon,False
號,2,haw hawH,,0.0,0,0,haw×5 hawH×2,7,hawH,False
娣,2,dejH dejX,,0.0,0,0,dejH×7,7,dejX,False
涕,2,thejH thejX,,0.0,0,0,thejX×6 thejH×1,7,thejH,False
夏,2,haeH haeX,,0.0,0,0,haeX×6 haeH×1,7,haeH,False
夭,3,'awX 'jew 'jewX,,0.0,0,0,'jewX×5 'awX×2,7,'jew,False
蘧,2,gjo gju,,0.0,0,0,gjo×7,7,gju,False
鎧,2,khojH khojX,,0.0,0,0,khojH×7,7,khojX,False
過,2,kwa kwaH,,0.0,0,0,kwa×4 kwaH×3,7,kwaH,False
還,2,hwaen zjwen,,0.0,0,0,zjwen×7,7,hwaen,False
梏,2,kaewk kowk,,0.0,0,0,kowk×6 kaewk×1,7,kaewk,False
共,2,gjowngH kjowng,,0.0,0,0,kjowng×7,7,gjowngH,False
蜃,2,dzyinH dzyinX,,0.0,0,0,dzyinX×7,7,dzyinH,False
姪,2,det drit,,0.0,0,0,det×7,7,drit,False
供,2,kjowng kjowngH,,0.0,0,0,kjowng×7,7,kjowngH,False
夫,2,bju pju,,0.0,0,0,bju×7,7,pju,False
畜,2,trhjuwH xjuwk,,0.0,0,0,xjuwk×7,7,trhjuwH,False
賁,4,bj+j bjun pjeH pwon,,0.0,0,0,pwon×3 bjun×3 pjeH×1,7,bj+j,False
跛,2,paX pjeH,,0.0,0,0,paX×5 pjeH×2,7,pjeH,False
嚮,2,xjangH xjangX,,0.0,0,0,xjangH×6 xjangX×1,7,xjangX,False
燕,2,'en 'enH,,0.0,0,0,'enH×4 'en×3,7,'en,False
令,5,leng lengH ljen ljeng ljengH,,0.0,0,0,ljeng×7,7,leng,False
操,3,suwX tshaw tshawH,,0.0,0,0,tshaw×6,6,suwX,False
錯,2,tshak tshuH,,0.0,0,0,tshuH×4 tshak×2,6,tshak,False
饌,2,dzrjwenH dzrwaenX,,0.0,0,0,dzrjwenH×6,6,dzrwaenX,False
胥,2,sjo sjoX,,0.0,0,1,sjo×5 sjoX×1,6,sjoX,False
圜,2,hjwen hwaen,,0.0,0,0,hjwen×6,6,hwaen,False
倚,2,'jeH 'jeX,,0.0,0,0,'jeX×5 'jeH×1,6,'jeH,False
匐,2,bjuwk bok,,0.0,0,0,bok×6,6,bjuwk,False
差,5,tsrhae tsrhea tsrheaH tsrheaj tsrhje,,0.0,0,0,tsrhea×4 tsrheaH×2,6,tsrhae,False
頊,2,ngjowk xjowk,,0.0,0,0,xjowk×6,6,ngjowk,False
台,2,thoj yi,,0.0,0,0,yi×6,6,thoj,False
枕,3,drim tsyimH tsyimX,,0.0,0,0,tsyimH×6,6,drim,False
粥,2,tsyuwk yuwk,,0.0,0,0,yuwk×5 tsyuwk×1,6,tsyuwk,False
分,2,bjunH pjun,,0.0,0,0,bjunH×4 pjun×2,6,pjun,False
脛,2,hengH hengX,,0.0,0,0,hengH×6,6,hengX,False
父,2,bjuX pjuX,,0.0,0,0,pjuX×6,6,bjuX,False
浸,2,tshim tsimH,,0.0,0,0,tsimH×6,6,tshim,False
累,2,ljweH ljweX,,0.0,0,0,ljweH×6,6,ljweX,False
洒,2,sejX sreaH,,0.0,0,0,sreaH×5 sejX×1,6,sejX,False
圃,2,puH puX,,0.0,0,0,puX×6,6,puH,False
曁,4,gijH kit kj+jH kj+t,,0.0,0,0,gijH×6,6,kit,False
韎,2,mat meajH,,0.0,0,0,meajH×6,6,mat,False
拔,3,bat beat bjot,,0.0,0,0,beat×3 bat×3,6,bjot,False
卵,2,lwaX lwanX,,0.0,0,0,lwanX×6,6,lwaX,False
膮,2,xew xewX,,0.0,0,0,xew×6,6,xewX,False
圻,3,gj+j ngj+n ngon,,0.0,0,0,gj+j×6,6,ngj+n,False
