headword,annotation,sbgy_entries,phon_spans
中,如字馬丁仲反,"trjuwng,trjuwngH","如字,丁仲反"
三,息暫反注同或如字,"samH,sam","息暫反,或如字"
齊,才細反又如字,"dzej,dzejH","才細反,又如字"
喪,息浪反注同荀如字,"sangH,sang","如字,息浪反"
視,如字徐市至反,"dzyijH,dzyijX","如字,市至反"
池,如字又大河反,"da,drje","如字,又大河反"
穜,直龍反本或作重音同先種後熟曰穜案如字書禾旁作重是種稑之字作童是穜殖之字今俗則反之,"drjowng,duwng","如字,直龍反"
約,於妙反又如字,"'jiewH,'jak","於妙反,又如字"
空,音孔又如字下同,"khuwng,khuwngH","音孔,又如字"
決,如字又烏穴反,"xwet,kwet","如字,又烏穴反"
除,如字劉直庶反,"drjoH,drjo","如字,直庶反"
藏,才浪反沈如字,"dzangH,dzang","如字,才浪反"
池,徒多反李如字,"da,drje","如字,徒多反"
齊,如字又子淺反,"dzej,dzejH","如字,又子淺反"
食,如字又音寺,"zyik,yiH","如字,又音寺"
遺,如字本又作逶於危反,"ywijH,ywij","如字,於危反"
瓦,危委反向同崔如字一云瓦當作丸,"ngwaeH,ngwaeX","如字,危委反"
吹,如字又昌僞反字亦作炊,"tsyhwe,tsyhweH","如字,又昌僞反"
於,音烏又如字,"'jo,'u","音烏,又如字"
頸,如字李巨盈反,"kjiengX,gjieng","如字,巨盈反"
中,音仲亦如字,"trjuwng,trjuwngH","音仲,亦如字"
委,於危反又如字,"'jwe,'jweX","於危反,又如字"
委,於危反徐如字,"'jwe,'jweX","如字,於危反"
浪,如字徐力蕩反向云孟浪音漫瀾無所趣舎之謂李云猶較畧也崔云不精要之貌,"langH,lang","如字,力蕩反"
弔,如字音的至也,"tewH,tek","如字,音的"
振,如字崔云止也又之忍反,"tsyinH,tsyin","如字,又之忍反"
視,如字徐市至反,"dzyijH,dzyijX","如字,市至反"
蒼,七蕩反或如字司馬云莽蒼近郊之色也李云近野也支遁云冢閒也崔云草野之色,"tshangX,tshang","七蕩反,或如字"
藏,如字又才浪反,"dzangH,dzang","如字,又才浪反"
巧,如字或苦孝反崔本作攻,"khaewH,khaewX","如字,或苦孝反"
約,徐於妙反又如字司馬云約誓在惠王二十六年,"'jiewH,'jak","於妙反,又如字"
仰,如字徐五亮反,"ngjangX,ngjangH","如字,五亮反"
出,如字徐尺遂反,"tsyhwijH,tsyhwit","如字,尺遂反"
度,舊音待洛反恐誤注云作冊書法度音冝如字,"dak,duH","如字,音待洛反"
封,如字徐音甫用反,"pjowng,pjowngH","如字,音甫用反"
弔,音的又如字,"tewH,tek","音的,又如字"
譽,音餘又如字,"yo,yoH","音餘,又如字"
祝,如字或之又反下同,"tsyuwH,tsyuwk","如字,或之又反"
思,如字徐音息吏反,"si,siH","如字,音息吏反"
思,徐如字又息吏反,"si,siH","如字,又息吏反"
合,如字徐音閤,"hop,kop","如字,音閤"
正,如字徐音征馬云建子建丑建寅三正也,"tsyengH,tsyeng","如字,音征"
中,丁仲反又如字,"trjuwng,trjuwngH","丁仲反,又如字"
漸,如字本又作蔪字林才冉反草之相包裹也,"tsjem,dzjemX","如字,才冉反"
降,如字鄭戸江反,"kaewngH,haewng","如字,戸江反"
喪,如字又息浪反,"sangH,sang","如字,又息浪反"
寅,如字徐音夷,"yin,yij","如字,音夷"
於,如字或音烏而絶句者非,"'jo,'u","如字,或音烏"
當,丁浪反又如字,"tang,tangH","丁浪反,又如字"
出,如字徐尺遂反,"tsyhwijH,tsyhwit","如字,尺遂反"
好,如字徐許到反,"xawH,xawX","如字,許到反"
思,息嗣反又如字下同,"si,siH","息嗣反,又如字"
放,方往反注同徐云鄭王如字,"pjangX,pjangH","如字,方往反"
平,如字馬作苹普庚反云使也下皆放此,"bjien,bjaeng","如字,普庚反"
勞,力報反又如字注同,"law,lawH","力報反,又如字"
易,如字又以豉反注同,"yeH,yek","如字,又以豉反"
中,丁仲反又如字,"trjuwng,trjuwngH","丁仲反,又如字"
仰,如字徐五亮反,"ngjangX,ngjangH","如字,五亮反"
弔,音的或如字,"tewH,tek","音的,或如字"
上,時掌反又如字下同,"dzyangH,dzyangX","時掌反,又如字"
思,如字徐息吏反下同,"si,siH","如字,息吏反"
聞,如字徐又音問,"mjunH,mjun","如字,又音問"
衣,如字徐於旣反,"'j+j,'j+jH","如字,於旣反"
度,待洛反注同馬如字云法度也,"dak,duH","如字,待洛反"
約,如字又於妙反,"'jiewH,'jak","如字,又於妙反"
聽,如字又他經反,"theng,thengH","如字,又他經反"
合,如字或音閤,"hop,kop","如字,或音閤"
三,息暫反又如字,"samH,sam","息暫反,又如字"
齊,才細反又如字注同,"dzej,dzejH","才細反,又如字"
驅,如字又羌遇反,"khju,khjuH","如字,又羌遇反"
中,如字徐丁仲反後放此,"trjuwng,trjuwngH","如字,丁仲反"
相,息亮反又如字,"sjangH,sjang","息亮反,又如字"
三,息暫反又如字下聲三及三者三皆放此,"samH,sam","息暫反,又如字"
爲,于僞反又如字,"hjweH,hjwe","于僞反,又如字"
和,如字又胡臥反,"hwaH,hwa","如字,又胡臥反"
視,如字徐市志反,"dzyijH,dzyijX","如字,市志反"
食,音嗣飰也下苽食麥食食齊皆同徐如字,"zyik,yiH","音嗣,如字"
和,戸臥反注皆同又如字,"hwaH,hwa","戸臥反,又如字"
燒,如字一音焦皇絶句,"syewH,syew","如字,一音焦"
合,如字徐音閤,"hop,kop","如字,音閤"
興,如字又許證反,"xing,xingH","如字,又許證反"
右,音又下啓右并注同一讀此左右並如字,"hjuwH,hjuwX","音又,並如字"
約,如字徐於妙反,"'jiewH,'jak","如字,於妙反"
合,徐音閤又如字,"hop,kop","音閤,又如字"
冠,古亂反又如字,"kwanH,kwan","古亂反,又如字"
殿,多薦反又如字注及下同,"tenH,denH","多薦反,又如字"
鳻,扶云反又如字,"paen,bjun","扶云反,又如字"
祭,側戒反徐又如字,"tsreajH,tsjejH","側戒反,又如字"
三,如字又息暫反,"samH,sam","如字,又息暫反"
攻,如字又音貢,"kowng,kuwng","如字,又音貢"
積,子賜反又如字注同,"tsjeH,tsjek","子賜反,又如字"
聚,才住反又如字,"dzjuX,dzjuH","才住反,又如字"
譽,音餘又如字,"yo,yoH","音餘,又如字"
親,七刃反又如字,"tshinH,tshin","七刃反,又如字"
陳,直覲反注同又如字,"drin,drinH","直覲反,又如字"
食,如字又音嗣注䟽食同,"zyik,yiH","如字,又音嗣"
三,息暫反又如字,"samH,sam","息暫反,又如字"
上,時掌反又如字注同,"dzyangH,dzyangX","時掌反,又如字"
三,息暫反又如字,"samH,sam","息暫反,又如字"
喪,息浪反又如字下同,"sangH,sang","息浪反,又如字"
出,尺遂反又如字注同,"tsyhwijH,tsyhwit","尺遂反,又如字"
難,乃旦反又如字,"nan,nanH","乃旦反,又如字"
三,息暫反又如字,"samH,sam","息暫反,又如字"
生,所幸反又如字,"sraeng,srjaengH","所幸反,又如字"
弟,如字或音待易反,"dejH,dejX","如字,或音待易反"
出,如字徐尺遂反,"tsyhwijH,tsyhwit","如字,尺遂反"
觀,古玩反又如字注同多也,"kwanH,kwan","古玩反,又如字"
出,如字徐尺遂反,"tsyhwijH,tsyhwit","如字,尺遂反"
於,如字舊音烏,"'jo,'u","如字,音烏"
下,如字協韻則音户後皆放此,"haeH,haeX","如字,音户"
使,所吏反或如字,"sriX,sriH","所吏反,或如字"
好,毛如字鄭呼報反兔罝詩放此,"xawH,xawX","如字,呼報反"
攻,古弄反又如字下注同,"kowng,kuwng","古弄反,又如字"
