J	經典釋文卷二
B	周易音義
S	周
C	代名也周至也遍也備也今名書義取周普
S	易
F	盈隻反
C	此經名也虞翻注參同契云字從日下月
S	上經
C	上者對下立名經者常也法也徑也由也
S	乾
C	卦名
S	傳
F	直戀反
C	以傳述為義謂夫子十翼也解見（發）題
S	第一
C	亦作弟
E	王弼注
C	本亦作王輔嗣註_音
CF	張具反
C	今本或無注字師説無者非
E	gua乾_
F	竭然反
C	依字作乾下乙乾從旦㫃㫃音偃説卦云乾健也此八純卦象天
E	元亨_
F	許庚反
C	卦徳也訓通也餘放此
E	潛
F	捷鹽反
E	龍
C	喻陽氣及聖人
E	見_龍
F	賢遍反
C	示也注及下見龍皆同
E	利見
C	注同如字下皆同
E	大人
C	下王肅云聖人在位之目
E	離_隱
F	力智反
E	處_於
F	昌呂反
C	衆經不音者放此
E	徳施_
F	始䜴反
C	與也
E	不偏
C	音篇
E	則過_
F	古臥反
C	諸經内皆同
E	夕惕_
F	他厯反
C	怵惕也鄭（玄）云懼也廣雅同
E	若厲_
F	力世反
C	危也
E	无
C	音無易内皆作此字説文云竒字無也通於无者虚无道也玉述説天屈西北為无
E	咎
F	其久反
C	易内同
E	重_剛
F	直龍反
C	下同
E	竭知
C	音智
E	或躍_
F	羊灼反
C	廣雅云上也上音
F	時掌反
E	所處
C	一本作可處
E	近乎
C	附近之近
E	猶
F	以救反
E	與
C	音預
E	不謬_
F	靡幼反
C	本或作繆音同
E	夫位
C	音符下皆同
E	亢
F	苦浪反
C	子夏傳云極也廣雅云髙也
E	則佞_
F	乃定反
E	邪
C	字又作耶
F	似嗟反
E	彖
F	吐亂反
C	斷也斷音
F	都亂反
E	資始
C	鄭云資取也
E	乃統
C	鄭云統本也
E	雲行
C	如字
E	雨施_
F	始豉反
C	卦内皆同
E	之累_
F	劣偽反
E	者邪_
C	或作耶同
F	餘嗟反
C	後協句辭皆放此
E	象
F	翔大反
C	精象擬象也
E	自强_
F	其良反
E	反復_
F	芳服反
C	注同本亦作覆
E	大人造_
C	鄭
F	徂早反
C	為也王肅
F	七到反
C	就也至也劉歆父子作聚
E	文言
C	文飾卦下之言也夫子之十翼梁武帝云文言是文王所制
E	之長_
F	張丈反
E	之幹_
F	古旦反
E	體仁
C	如字京房荀爽董遇本作體信
E	利物
C	孟嘉京荀陸績作利之
E	不成名
C	一本作不成乎名
E	遯_世
F	徒頓反
E	无悶_
F	門遜反
E	樂則
C	音洛
E	確_乎
F	苦學反
C	鄭云堅髙之貌説文云髙至
E	可拔_
F	蒲八反
C	鄭云移也廣雅云出也
E	庸行_
F	下孟反
E	閑邪_
F	似嗟反
C	下同
E	幾
F	既依反
C	注同理初始微名幾
E	能全
C	一本作能令
E	尟_克
C	今亦作鮮同
F	仙善反
C	少也
E	怵
F	（敕）律反
E	解_怠
F	佳賣反
E	上_下
C	並如字王肅上音
F	時掌反
E	非離_
F	力智反
E	相應
C	應對之應易内不出者並同
E	流濕_
F	申入反
E	就燥_
F	蘇早先皁二反（！）
E	聖人作
C	如字鄭云起也馬融作起
E	而當_
F	都浪反
C	易内皆同有異者别出
E	故盡_
F	津忍反
E	當其
C	如字
E	上治_
F	直吏反
C	下及注同
E	放逺_
F	于萬反
E	見_而
F	賢遍反
E	粹
F	雖遂反
E	揮
C	音輝廣雅云動也王肅云散也本亦作輝義取光輝
E	為行_
F	下孟反
C	下之行行而皆同
E	日_可
F	人實反
E	未見_
F	賢遍反
E	以辯_
C	如字徐
F	Q扶免反
E	重_剛
F	直龍反
C	下同
E	夫大人
C	音符（發）端之字皆放此
E	先_天
F	悉薦反
E	後_天
F	胡豆反
E	知喪_
F	息浪反
E	其唯聖人乎
C	王肅本作愚人後結始作聖人
E	gua坤_
C	本又作巛巛今字也同
F	困魂反
C	説卦云順也八純卦象地
E	利牝_
