doc_title,juan_title,zhengwen_id,sbck_id,jdsw_id
周易,乾,KR1a0001_001,KR1a0006_001,KR1g0003_002_001
周易,坤,KR1a0001_002,KR1a0006_002,KR1g0003_002_002
周易,屯,KR1a0001_003,KR1a0006_003,KR1g0003_002_003
周易,蒙,KR1a0001_004,KR1a0006_004,KR1g0003_002_004
周易,需,KR1a0001_005,KR1a0006_005,KR1g0003_002_005
周易,訟,KR1a0001_006,KR1a0006_006,KR1g0003_002_006
周易,師,KR1a0001_007,KR1a0006_007,KR1g0003_002_007
周易,比,KR1a0001_008,KR1a0006_008,KR1g0003_002_008
周易,小畜,KR1a0001_009,KR1a0006_009,KR1g0003_002_009
周易,履,KR1a0001_010,KR1a0006_010,KR1g0003_002_010
周易,泰,KR1a0001_011,KR1a0006_011,KR1g0003_002_011
周易,否,KR1a0001_012,KR1a0006_012,KR1g0003_002_012
周易,同人,KR1a0001_013,KR1a0006_013,KR1g0003_002_013
周易,大有,KR1a0001_014,KR1a0006_014,KR1g0003_002_014
周易,謙,KR1a0001_015,KR1a0006_015,KR1g0003_002_015
周易,豫,KR1a0001_016,KR1a0006_016,KR1g0003_002_016
周易,隨,KR1a0001_017,KR1a0006_017,KR1g0003_002_017
周易,蠱,KR1a0001_018,KR1a0006_018,KR1g0003_002_018
周易,臨,KR1a0001_019,KR1a0006_019,KR1g0003_002_019
周易,觀,KR1a0001_020,KR1a0006_020,KR1g0003_002_020
周易,噬嗑,KR1a0001_021,KR1a0006_021,KR1g0003_002_021
周易,賁,KR1a0001_022,KR1a0006_022,KR1g0003_002_022
周易,剝,KR1a0001_023,KR1a0006_023,KR1g0003_002_023
周易,復,KR1a0001_024,KR1a0006_024,KR1g0003_002_024
周易,无妄,KR1a0001_025,KR1a0006_025,KR1g0003_002_025
周易,大畜,KR1a0001_026,KR1a0006_026,KR1g0003_002_026
周易,頤,KR1a0001_027,KR1a0006_027,KR1g0003_002_027
周易,大過,KR1a0001_028,KR1a0006_028,KR1g0003_002_028
周易,習坎,KR1a0001_029,KR1a0006_029,KR1g0003_002_029
周易,離,KR1a0001_030,KR1a0006_030,KR1g0003_002_030
周易,咸,KR1a0001_031,KR1a0006_031,KR1g0003_002_031
周易,恆,KR1a0001_032,KR1a0006_032,KR1g0003_002_032
周易,遯,KR1a0001_033,KR1a0006_033,KR1g0003_002_033
周易,大壯,KR1a0001_034,KR1a0006_034,KR1g0003_002_034
周易,晉,KR1a0001_035,KR1a0006_035,KR1g0003_002_035
周易,明夷,KR1a0001_036,KR1a0006_036,KR1g0003_002_036
周易,家人,KR1a0001_037,KR1a0006_037,KR1g0003_002_037
周易,睽,KR1a0001_038,KR1a0006_038,KR1g0003_002_038
周易,蹇,KR1a0001_039,KR1a0006_039,KR1g0003_002_039
周易,解,KR1a0001_040,KR1a0006_040,KR1g0003_002_040
周易,損,KR1a0001_041,KR1a0006_041,KR1g0003_002_041
周易,益,KR1a0001_042,KR1a0006_042,KR1g0003_002_042
周易,夬,KR1a0001_043,KR1a0006_043,KR1g0003_002_043
周易,姤,KR1a0001_044,KR1a0006_044,KR1g0003_002_044
周易,萃,KR1a0001_045,KR1a0006_045,KR1g0003_002_045
周易,升,KR1a0001_046,KR1a0006_046,KR1g0003_002_046
周易,困,KR1a0001_047,KR1a0006_047,KR1g0003_002_047
周易,井,KR1a0001_048,KR1a0006_048,KR1g0003_002_048
周易,革,KR1a0001_049,KR1a0006_049,KR1g0003_002_049
周易,鼎,KR1a0001_050,KR1a0006_050,KR1g0003_002_050
周易,震,KR1a0001_051,KR1a0006_051,KR1g0003_002_051
周易,艮,KR1a0001_052,KR1a0006_052,KR1g0003_002_052
周易,漸,KR1a0001_053,KR1a0006_053,KR1g0003_002_053
周易,歸妹,KR1a0001_054,KR1a0006_054,KR1g0003_002_054
周易,豐,KR1a0001_055,KR1a0006_055,KR1g0003_002_055
周易,旅,KR1a0001_056,KR1a0006_056,KR1g0003_002_056
周易,巽,KR1a0001_057,KR1a0006_057,KR1g0003_002_057
周易,兌,KR1a0001_058,KR1a0006_058,KR1g0003_002_058
