宣公	名捷子赤庶兄匡王五年即位
第七范甯集解元年與聞	音豫下注同
自見	賢徧反
之挈	苦結反
宣弑	音試
來朝	直遥反
趙盾	徒本反
棐林	芳尾反又音匪
列數	所主反
攘夷	而羊反
趙穿	音川
三年華元	户化反
言盡	子忍反
其將	子匠反下注將帥同
將帥	所類反
當復	扶又又
賢行	下孟反
弑其	音試年内皆同
朝諸	直遥反
而暴	暴戯暴也
彈	徒丹反又徒旦反
辟丸	音避
於竟	音境
之玦	古穴反杜元凱云如環而不連
後斷	丁亂反
徽	許歸反
纆	亡北反徽纆皆繩也三股曰徽兩股曰纆
孰爲盾	絶句孰誰也
志同則書重	絶句
惡甚	如字又烏路反
見忠	賢徧反或如字下同
三年復死	扶又反
陸渾	戸門反又戸困反
四年及郯	音談國名
取向	書亮反莒邑
而爲	如字又于僞反
弑其	音試
五年待迎	魚敬反
之稱	尺證反
受使	所吏反
六年螽	音終
七年伐萊	音來國名
黒壤	人丈反
八年大廟	音泰注同
共殺	音試
見其	賢徧反注同
故去	起吕反下文及注同
子翬	許韋反
猶繹	音亦爾雅云又祭也
之享	許丈反
去籥	餘若反管也
爲之	于僞反注爲卿變同
惡其	烏路反
熊氏	宣公妾母左氏作嬴氏
舒鄝	音了本又作蓼國名
頃熊	音傾左氏作敬嬴
不爲	于僞反
潦車	音老
載蓑	素禾反
笠	音立
張設	如字又陟亮反
遷柩	其又反尸在棺曰柩
昧爽	音妹
而引	以刃反又如字
遣奠	弃戰反
九年行朝	直遥反
黒臀	徒門反
踰竟	音境
以別	彼列反
于操	七報反
郤缺	去逆反下傾雪反
泄冶	息列反下音也
夏徴	戸雅反
衣其衣	上於旣反下如字
其襦	而朱反
在裏	音里本又作衷
於朝	直遥反
十年公娶	七住反
不復	扶又反下注復以同
不冠	工翫反
猶朝	直遥反
見變	賢徧反
崔杼	直呂反
惡其	烏路反
弑其	音試
蓋為	于偽反
貴稱	尺證反
取繹	音亦
饑	本或作飢居疑反
十一年夷陵	左氏作辰陵
攅函	音咸
諸夏	戸雅反
弑君	音試
之悖	補對反
惡入	烏路反
傎倒	丁田反本又作顚
邪正	似嗟反
輔相	息亮反下輔相同
而椘強	其丈反一音其良反
十二年君弑	音試
夏姬	戸雅反
于邲	皮必反
十三年先榖	戸木反一本作縠
十五年潞氏	音路
嬰兒	一盈反
札子	側八反
召伯	上照反
矯王	居表反
無婁	力侯反
初稅	始鋭反賦也
什一	音十十稅一也
佃田	佃音田又徒徧反
以共	音恭
為廬	力魚反
田畯	音俊田大夫也
之去	如字又起呂反
葱韭	音九
楸桑	音秋
蝝生	以全反劉歆云此蚍蜉子董仲舒云蝗子字林尹絹反
十六年留吁	許于反
別種	章勇反
并盡	必正反又如字
宣榭	音謝本或作謝
災	傳例云國曰災邑曰火左氏作火
十七年錫我	星歷反
斷道	徒短反一音短
叔肸	許乙反
宣弑	音試注同
織屨	九具反
十八年子臧	子郎反
戕	在良反殘也賊也猶殺也
繒子	本或作鄫在陵反
挩殺	他活反又徒活反捶打也字林云木杖或作撲普木反
謂捶	草蘂反
打	音頂
惡其	烏路反
距難	乃旦反
楚子吕	左氏作旅
捐殯	以全反弃也
之使	所吏反注同
至檉	丑貞反左氏作笙
魯竟	音境
