春秋公羊經傳解詁桓公第二何休學元年春王正月公即位繼弑君不言即位此其言即位何	据莊公不言即位〇繼弑申志反注皆同二年放此
如其意也	弑君欲即位故如其意以著其惡直而不顯諱而不盈桓本貴當立所以爲篡者隱權立桓北面君事隱也即者就也先謁宗廟明繼祖也還之朝正君臣之位也事畢而反凶服焉
○三月公㑹鄭伯于垂	桓公㑹皆月者危之也桓弑賢君篡慈兄專易朝宿之邑無王而行無仁義之心與人交接則有危也故爲臣子憂之不致之者爲下去王適足以起無王未足以見無王罪之深淺故復奪臣子辭成誅文也○爲下于僞反下爲告同去起吕反見賢徧反故復扶又反下同
○鄭伯以璧假許田其言以璧假之何	据實假不當持璧也
易之也易之則其言假之何爲㳟也	爲㳟孫之辭使若暫假借之辭○孫音遜
曷爲爲㳟	据取邑不爲恭敬辭
有天子存則諸侯不得專地也許田者何	地皆不得專而此獨爲恭辭疑非凡邑故更問之
魯朝宿之邑也諸侯時朝乎天子天子之郊諸侯皆有朝宿之邑焉	時朝者順四時而朝也縁臣子之心莫不欲朝朝莫夕王者與諸侯别治勢不得自專朝故即位比年使大夫小聘三年使上卿大聘四年又使大夫小聘五年一朝王者亦貴得天下之歡心以事其先王因助祭以述其職故分四方諸侯爲五部部有四輩輩主一時孝經曰四海之内各以其職來助祭尚書曰羣后四朝敷奏以言明試以功車服以庸是也宿者先誡之辭古者天子邦畿千里逺郊五百里諸侯至逺郊不敢便入必先告至由如他國至竟而假塗也皆所以防未然謹事上之敬也王者以諸侯逺來朝亦加殷勤之禮以接之爲告至之須當有所住止故賜邑於逺郊其實天子地諸侯不得專也桓公無尊事天子之心專以朝宿之邑與鄭皆叛當誅故深諱使若暫假借之者不舉假爲重復舉上㑹者方諱言許田不舉㑹無以起從魯假之也○朝朝上如字下直遥反莫音暮治直吏反背叛音佩凡背叛之類皆放此
此魯朝宿之邑也則曷爲謂之許田諱取周田也諱取周田則曷爲謂之許田繫之許也曷爲繫之許近許也此邑也其稱田何田多邑少稱田邑多田少稱邑	分别之者古有分土無分民明當察民多
而存則殤公不可得而弑也故於是先攻孔父之家	大夫稱家父者字也禮臣死君字之以君得字之知先攻孔父之家〇殤式羊反
殤公知孔父死巳必死趨而救之皆死焉	趨走也傳道此者明殤公知孔父賢而不能用故致此禍設使殤公不知孔父賢焉知孔父死己必死設使魯莊公不知季子賢焉知以病召之皆患安存之時則輕廢之急然後思之故常用不免○死焉於䖍反注同
孔父正色而立於朝則人莫敢過而致難於其君者孔父可謂義形於色矣	内有其義而外形見於顔色孔子曰君子正其衣冠尊其瞻視儼然人望而畏之是也重道義形於色者君子樂道人之善言及者使上及其君若附大國以名通明當封爲附庸不絶其祀所以重社稷之臣也督不氏者起馮當國不舉馮弑爲重者繆公廢子而反國得正故爲之諱也不得爲讓者死乃反之非所以全其讓意也〇難乃旦反嚴魚檢反本又作儼重直用反故爲于僞反傳爲隱諱下注不爲諱爲後同
〇滕子來朝○三月公㑹齊侯陳侯鄭伯于稷以成宋亂内大惡諱此其目言之何	目見也斥見其惡言成宋亂
逺也所見異辭所聞異辭所傳聞異辭	所以復發傳者益師以臣見恩此以君見恩嫌義異也所見之丗臣子恩其君父尤厚故多微辭是也所聞之丗恩王父少殺故立煬宫不日武宫日是也所傳聞之丗恩髙祖曾祖又少殺故子赤卒不日子般卒日是也〇傳聞直專反注傳聞及下注傳之皆同以復扶又反下反復同少殺所介反下同煬餘亮反舊始鄣反般音班
隱亦逺矣曷爲爲隱諱	据觀魚諱
隱賢而桓賤也	宋公馮與督共弑君而立諸侯㑹於稷欲共誅之受賂便還令宋亂遂成桓公本亦弑隱而立君子疾同類相養小人同惡相長故賤不爲諱也古者諸侯五國爲屬屬有長二屬爲連連有帥三連爲卒卒有正七卒爲州州有伯也州中有爲無道者則長帥卒正伯當征之不征則與同惡當春秋時天下散亂保伍壞敗雖不誅不爲成亂今責其成亂者疾其受賂也加以者辟直成亂也〇令力呈反相長丁丈反下同帥所類反下同爲卒子忽反下皆同
〇夏四月取郜大鼎于宋此取之宋其謂之郜鼎何	据莒人伐𣏌取牟婁後莒牟夷以牟婁來奔不繫𣏌也
器從名	從本主名名之
地從主人	從後所屬主人
器何以從名地何以從主人	据錯
器之與人非有即爾	即就也若曰取彼噐與此人異國物凡人取異國物非就有取之者皆持以歸爲有爲後不可分明故正其本名
