春秋公羊經傳解詁定公第十一	〇何以定公爲昭公子與左氏異
何休學元年春王定何以無正月	据莊公雖不書即位猶書正月
正月者正即位也	本有正月者正諸侯之即位
定無正月者即位後也	雖書即位於六月實當如莊公有正月今無正月者昭公出奔國當絶定公不得繼體奉正故諱爲微辭使若即位在正月後故不書正月
即位何以後	据正月正即位
昭公在外	昭公喪在外
得入不得入未可知也曷爲未可知	据巳稱元年
在季氏也	今季氏迎昭公喪而事之定公得即位不迎而事之則不得即位
定哀多微辭	微辭即下傳所言者是也定公有王無正月不務公室喪失國寳哀公有黄池之㑹獲麟故揔言多○喪息浪反
主人習其讀而問其傳	讀謂經傳謂訓詁主人謂定公言主人者能爲主人皆當爲微辭非獨定公
則未知已之有罪焉爾	此假設而言之主人謂定哀也設使定哀習其經而讀之問其傳解詁則不知己之有罪於是此孔子畏時君上以諱尊隆恩下以辟害容身愼之至也
三月晉人執宋仲幾于京師仲幾之罪何	据言于京師成伯討辭知有罪〇幾本或作機
不蓑城也	若今以草衣城是也禮諸侯爲天子治城各有分丈尺宋仲幾不治所主○不衰素戈反一或作蓑一或音初危反衣于旣反爲天于僞反下善爲同
其言于京師何	据城言成周執不地
伯討也	大夫不得專執執無稱名氏見伯討例故地以京師明以天子事執之得伯討之義〇見賢徧反
伯討則其稱人何	据城稱名氏諸侯伯執不稱人也復發此難者弟子未解嫌大夫稱人相執與諸侯同例〇復發扶又反下皆同難乃旦反解音蟹
貶	故稱人爾不以非伯討故
曷爲貶	据晉侯伯執稱人以他罪舉
不與大夫專執也曷爲不與	据伯討
實與	言于京師是也
而文不與	文不與者貶稱人是也
文曷爲不與大夫之義不得專執也	大夫不得專相執辟諸侯也不言歸者諸侯當決於天子犯之惡甚故録所歸大夫當決主獄爾犯之罪從外小惡不復别也無例不在常書又月者善爲天子執之○别彼列反
〇夏六月癸亥公之喪至自乾侯	至自乾侯者非公事齊不專中去之晉竟不見容死于乾侯
戊辰公即位癸亥公之喪至自乾侯則曷爲以戊辰之日然後即位	据癸亥得入已可知
正棺於兩楹之間然後即位	正棺者象旣小歛夷於堂昭公死於外不得以君臣禮治其喪故示盡始死之禮禮始死于北牗下浴於中􁆤飯含於牗下小歛於户内夷於兩楹之間大歛於阼階殯於西階之上祖于庭葬於墓奪孝子之恩動以逺也禮天子五日小歛七日大歛諸侯三日小歛五日大歛卿大夫二日小歛三日大歛夷而絰殯而成服故戊辰然後即位凡喪三日授子杖五日授大夫杖七日授士杖童子婦人不杖不能病故也〇小歛力驗反下皆同北墉音容本又作牖􁆤力又反飯扶晚反含户暗反阼才故反
子沈子曰定君乎國	定昭公之喪禮於國
然後即位即位不日此何以日	据即位皆不日
録乎内也	内事詳録善得五日變禮或說危不得以踰年正月即位故日主書者重五始也
○秋七月癸巳葬我君昭公○九月大雩	定公得立尤喜而不恤民之應
○立煬宫煬宫者何	据十二公無煬公〇煬餘亮反
煬公之宮也	春秋前煬公也
立者何立者不宜立也立煬宮非禮也	不日嫌得禮故復問立也不日者所見之丗諱深使若比武宫惡愈故不日
冬十月霣霜殺菽何以書○秋楚人伐呉○冬十月新作雉門及兩觀其言新作之何	据俱一門兩觀如故常
脩大也	天災之當减損如諸侯制而復脩大僭天子之禮故言新作以見脩大也〇見賢徧反
脩舊不書此何以書	据西宫災復脩不書
譏何譏爾不務乎公室也	務勉也不務公室亦可施于乆不脩亦可施于不務如公室之禮微辭也月者乆也當即脩之如諸侯禮
三年春王正月公如晉至河乃復	月者内有彊臣之讎外不見答於晉故危之
○三月辛卯邾婁子穿卒○夏四月〇秋葬邾婁莊公○冬仲孫何忌及邾婁子盟于枝	後相犯時者諱公使大夫盟又未踰年君薄父子之恩故爲易辭使若義結善事○枝二傳作拔易以䜴反
四年春王二月癸巳陳侯呉卒○三月公㑹劉子晉侯宋公蔡侯衛侯陳子鄭伯許男曹伯莒子邾婁子頓子胡子滕子薛伯𣏌伯小邾婁子齊國夏于召陵侵楚	月而不舉重者楚以一裘之故拘蔡昭公數年然後歸之諸侯雜然侵之㑹同最盛故善録其行義兵也拘不書者惡蔡侯吝一裘而見拘執故匹夫之執歸不書者從執例〇夏户雅反邵陵上照反本或作召音同數年所主反下數年皆同雜七合反又如字惡蔡烏路反年末同吝力刃反
〇夏四月庚辰蔡公孫歸姓帥師滅沈以沈子嘉歸殺之	爲不㑹召陵故也不舉滅爲重書以歸殺之者責不死位也日者定哀滅例日定公承黜君之後有彊臣之讎故有滅則危懼之爲定公戒也〇公孫歸姓二傳無歸字姓音生又音性爲不子僞反下爲季爲下爲治爲蔡同
五月公及諸侯盟于浩油	再言公者昭公數如晉不見荅卒爲季氏所逐定公初即位得與諸侯盟故喜録之後楚復圍蔡不救不日者善諸侯能翕然俱有疾楚之心㑹同最盛故褒與信辭○浩油户老反又古老反下音由一音羊又反二傳作臯鼬數所主反楚復扶又反下而復復討同翕許及反
𣏌伯戊卒于㑹	不日與盟同日○戊音茂又音恤二傳作戍
○六月葬陳惠公〇許遷于容城○秋七月公至自㑹	月者爲下劉卷卒月者重録恩〇卷音權
〇劉卷卒劉卷者何天子之大夫也外大夫不卒此何以卒我主之也	劉卷即上㑹劉子也主之者因上王魯文王之張義也卒者明主㑹者當有恩禮也言劉卷者主起以大夫卒之屈於天子也不日者比尹氏以天子喪爲主重也此卷主㑹輕故不日
○葬𣏌悼公楚人圍蔡	囊瓦稱人者楚爲無道拘蔡昭公數年而復怒蔡歸有言伐之故貶明罪重於圍
○晉士鞅衛孔圄帥師伐鮮虞	○圄魚吕反左氏作圉虞本或作呉音虞
葬劉文公外大夫不書葬此何以書録我主也	其實以主我恩録之故云爾舉采者禮諸侯入爲天子大夫更受采地於京師天子使大夫爲治其國有功而卒者當益封其子時劉卷以功益封故不以故國而以采地書葬起其事因恩以廣義也稱公者明本諸侯也○舉采七代反下采地同
〇冬十有一月庚午蔡侯以呉子及楚人戰于伯莒楚師敗績呉何以稱子	据滅徐稱國〇伯莒左氏作伯舉
夷狄也而憂中國	言子起憂中國言以明爲蔡故也與桓十四年同
其憂中國奈何伍子胥父誅乎楚挾弓而去楚	挾弓者懷格意也禮天子雕弓諸侯彤弓大夫嬰弓士盧弓〇挾弓音協又子協反雕下遼反彤大冬反嬰弓於耕反見司馬法盧力呉反
以干闔廬	不待禮見曰干欲因闔廬以復讎○禮見賢遍反下不見同
闔廬曰士之甚	言其以賢士之甚
勇之甚將爲之興師而復讎于楚伍子胥復曰諸侯不爲匹夫興師	必須因事者其義可得因公託私而以匹夫興師討諸侯則不免於亂〇將爲于僞反下不爲也不爲匹爲是注爲子胥同
且臣聞之事君猶事父也虧君之義復父之讎臣不爲也於是止蔡昭公朝乎楚有美裘焉囊瓦求之昭公不與爲是拘昭公於南郢數年然後歸之於其歸焉用事乎河	時北如晉請伐楚因祭河〇囊乃郎反郢以井反又以政反
曰天下諸侯苟有能伐楚者寡人請爲之前列楚人聞之怒	見侵後聞蔡有此言而怒
爲是興師使囊瓦將而伐蔡蔡請救于呉伍子胥復曰蔡非有罪也楚人爲無道君如有憂中國之心則若時可矣	猶曰若是時可興師矣激發初欲興師意○將子匠反激古狄反
於是興師而救蔡	不書與子胥俱者舉君爲重子胥不見於經得爲善者以呉義文得成之也雖不舉子胥爲非懷惡而討不義君子不得不與也
曰事君猶事父也此其爲可以復讎奈何曰父不受誅	不受誅罪不當誅也
子復讎可也	孝經曰資於事父以事君而敬同本取事父之敬以事君而父以無罪爲君所殺諸侯之君與王者異於義得去君臣巳絶故可也孝經云資於事父以事母莊公不得報讎文姜者母所生雖輕於父重於君也易曰天地之大徳曰生故得絶不得殺
父受誅子復讎推刃之道也	子復讎非當復討其子一往一來曰推刃〇當丁浪反
復讎不除害	取讎身而巳不得兼讎子復將恐害已而殺之時子胥因呉之衆墮平王之墓燒其宗廟而巳昭王雖可得殺不除去〇墮許規反去起呂反
朋友相衛	同門曰朋同志曰友相衛不使爲讎所勝時子胥因仕於呉爲大夫君臣言朋友者闔廬本以朋友之道爲子胥復讎孔子曰益者三友損者三友友直友諒友多聞益矣友便辟友善柔友便佞損矣〇辟婢亦反辯佞如字本亦作便佞
而不相迿	迿出表辭猶先也不當先相擊刺所以伸孝子之恩〇迿音峻又音巡又玄徧反先也刺七亦反
古之道也○楚囊瓦出奔鄭庚辰呉入楚呉何以不稱子	据狄人盟于邢有進行稱人○行下孟反
反夷狄也其反夷秋奈何君舎于君室大夫舎于大夫室蓋妻楚王之母也	舎其室因其婦人爲妻日者惡其無義
五年春王正月辛亥朔日有食之	是後臣恣日甚魯失國寳宋大夫叛
夏歸粟于蔡孰歸之諸侯歸之曷爲不言諸侯歸之	据齊人來歸衛寳
離至不可得而序故言我也	時爲蔡新被強楚之兵故歸之粟與戍陳同義〇爲于僞反
○於越入呉於越者何越者何	不言或者嫌兩國
於越者未能以其名通也越者能以其名通也	越人自名於越君子名之曰越治國有狀能與中國通者以中國之辭言之曰越治國無狀不能與中國通者以其俗辭言之因其俗可以見善惡故云爾赤狄以赤進者狄於北方揔名赤者其别與越異也呉新憂中國士卒罷敝而入之疾罪重故謂之於越○見賢徧反卒子忽反罷弊音皮弊亦作敝音同
○六月丙申季孫隱如卒	仲遂以貶起弒是不貶著其逐君者舉君出爲重故從季辛起之猶衛孫寗○弒音試
○秋七月壬子叔孫不敢卒○冬晉士鞅帥師圍鮮虞六年春王正月癸亥鄭游遬帥師滅許以許男斯歸○二月公侵鄭	月者内有彊臣之讎不能討而外結怨故危之
公至自侵鄭○夏季孫斯仲孫何忌如晉○秋晉人執宋行人樂祁犂○冬城中城〇季孫斯仲孫忌帥師圍運此仲孫何忌也曷爲謂之仲孫忌譏二名二名非禮也	爲其難諱也一字爲名令難言而易諱所以長臣子之敬不逼下也春秋定哀之間文致大平欲見王者治定無所復爲譏唯有二名故譏之此春秋之制也〇爲其于僞反令力呈反易以䜴反長丁丈反大音泰見賢徧反治直吏反復扶又反
七年春王正月○夏四月〇秋齊侯鄭伯盟于鹹	○鹹音咸
齊人執衛行人北宮結以侵衛齊侯衛侯盟于沙澤○大雩	先是公侵鄭城中城季孫斯仲孫忌如晉圍運費重不恤民之應○費重芳味反下同
齊國夏帥師伐我西鄙九月大雩	承前費重不恤民又重之以齊師伐我我自救之役○重之直用反
○冬十月八年春王正月公侵齊公至自侵齊○二月公侵齊三月公至自侵齊	出入月者内有彊臣之讎外犯彊齊再出尤危於侵鄭故知入亦當蒙上月
〇曹伯露卒○夏齊國夏帥師伐我西鄙公㑹晉師于瓦公至自瓦	此晉趙鞅之師也但言晉師者君不㑹大夫之辭也公㑹大夫不别得意雖得意不致此致者諱公爲大夫所㑹故使若得意者〇别彼列反
○秋七月戊辰陳侯柳卒晉趙鞅帥師侵鄭遂侵衛葬曹靖公	〇曹竫才井反本亦作靖
九月葬陳懷公季孫斯仲孫何忌帥師侵衛〇冬衛侯鄭伯盟于曲濮	○濮音卜
〇從祀先公從祀者何順祀也	復文公之逆祀
文公逆祀去者三人	諫不從而去之
定公順祀叛者五人	諌不以禮而去曰叛去與叛皆不書者微也不書禘者後祫亦順非獨禘也言祀者無巳長乆之辭不言僖公者閔公亦得其順
盗竊寳玉大弓盗者孰謂	微而竊大可怪故問之
謂陽虎也陽虎者曷爲者也季氏之宰也	季氏之陪臣爲政者
季氏之宰則微者也惡乎得國寳而竊之陽虎專季氏季氏專魯國陽虎拘季孫	季氏逐昭公之後取其寳玉藏於其家陽虎拘季孫奪其寳玉季孫取玉不書者舉逐君爲重○惡乎音烏
孟氏與叔孫氏迭而食之睋而鋟其板	以爪刻其饋歛板○迭大結反注同食之音嗣下注佚食同睋而五多反下同鋟本又作鐵七廉反又且審反以爪刻饋歛板也本或作鈠誤
曰某月某日將殺我于蒲圃力能救我則於是	於是時〇圃本又作甫同布古反又音布
至乎曰若時而出臨南者陽虎之出也御之	爲季孫御
於其乗焉季孫謂臨南曰以季氏之丗丗有子	言我季氏累丗有女以爲臣〇其乗繩證反下皆同女音汝
子可以不免我死乎	以義責之
臨南曰有力不足臣何敢不勉陽越者陽虎之從弟也爲右	爲季孫車右實衛之〇從弟才用反下同
諸陽之從者車數十乗至于孟衢	孟氏衢四逹可以橫去○數所主反
臨南投䇿而墜之	䇿馬捶也見二家迭食之欲將季孫由孟氏免之恐陽越不聽故詐投䇿欲使下車○而隊直類反捶章蘂反
陽越下取䇿臨南駷馬	捶馬銜走〇駷本又作􁂶字書無此字相承用之素動反
而由乎孟氏陽虎從而射之矢著于莊門	莊門孟氏所入門名言幾中季孫賴門閉故著門〇射食亦反著直略反注同莊本或作嚴亦音莊幾音祈中丁仲反
然而甲起於琴如	甲公歛處父所帥也琴如地名二家知岀期故於是時起兵
弑不成却反舎于郊皆說然息	說解舎然猶如○殺不音試下同郤反去略反本又作却說然本又作稅始銳反又他㑹反注同說解舎也然猶如也
或曰弑千乗之主	時季氏邑至於千乗
而不克舎此可乎	嫌其近而無所依
陽虎曰夫孺子得國而巳	得免專國家而巳
如丈夫何	如猶奈也丈夫大人稱也〇稱尺證反
睋而曰彼哉彼哉	望見公歛處父師而曰彼哉彼哉再言之者切遽意〇遽其慮反
趣駕	使疾駕〇趣七欲反一音七住反
旣駕公歛處父帥師而至	公歛處父孟氏叔孫氏將兵之將
