春秋榖梁傳桓公第二	○桓公名允桓王九年即位
范寗集解元年春王桓無王其曰王何也謹始也	諸侯無專立之道必受國於王若桓初立便以見治故詳其即位之始以明王者之義
其曰無王何也桓弟弑兄臣弑君天子不能定諸侯不能救百姓不能去以爲無王之道遂可以至焉爾元年有王所以治桓也正月公即位	杜預曰嗣子位定於初䘮而改元必須踰年者繼父之業成父之志不忍有變於中年也諸侯毎首歳必有禮於廟諸遭䘮繼位者因此而改元即位百官以序故國史亦書即位之事於䇿○去上聲
繼故不言即位正也	故謂弑也
繼故不言即位之爲正何也曰先君不以其道終則子弟不忍即位也	哀痛之至故不忍行即位之禮
繼故而言即位則是與聞乎弑也繼故而言即位是爲與聞乎弑何也曰先君不以其道終巳正即位之道而即位是無恩於先君也	推其無恩則知與弑也此明統例耳與弑尚然况親弑者○與聞音豫下文及注與弑皆同
○三月公㑹鄭伯于垂	垂衛地也傳例曰往月危往也桓大惡之人故㑹皆月以危之
㑹者外爲主焉爾	鄭伯所以欲爲此㑹者爲易田故○爲易于僞反
○鄭伯以璧假許田假不言以言以非假也	實假則不應言以璧
非假而曰假諱易地也禮天子在上諸侯不得以地相與也	諸侯受地於天子不得自專
無田則無許可知矣不言許不與許也	但言以璧假許而不繼田則許屬鄭也今言許田明以許之田與鄭不與許邑也諸侯有功則賜田以禄之若可以借人此蓋不欲以實言○借子夜反
許田者魯朝宿之邑也邴者鄭伯之所受命而祭泰山之邑也用見魯之不朝於周而鄭之不祭泰山也	朝天子所宿之邑謂之朝宿泰山非鄭竟内從天王廵守受命而祭也擅相換易則知朝祭並廢○魯朝直遥反下皆同邴彼病反又音丙見賢徧反竟音境從在用反守音狩擅市戰反換一本亦作逭胡喚反
○夏四月丁未公及鄭伯盟于越	越衛地也
及者内爲志焉爾越盟地之名也○秋大水	禮月令曰季秋行夏令則其國大水大水例時
髙下有水災曰大水○冬十月無事焉何以書不遺時也春秋編年四時具而後爲年	編録○編必連反字林聲類韻集皆布千反史記音義甫連反
二年春王正月戊申宋督弑其君與夷	宋督宋之卑者卑者以國氏○督丁毒反與如字又音餘
桓無王其曰王何也正與夷之卒也	諸侯之卒天子所隱痛姦逆之人王法所冝誅故書王以正之
及其大夫孔父孔父先死其曰及何也書尊及卑春秋之義也	邵曰㑹盟言及别内外也尊卑言及上下序也○别彼列反
孔父之先死何也督欲弑君而恐不立於是乎先殺孔父孔父閑也	閑謂扞禦○殺並如字扞下旦反
何以知其先殺孔父也曰子旣死父不忍稱其名臣旣死君不忍稱其名以是知君之累之也	累謂從也
孔氏父字謚也	孔父有死難之勲故其君以字爲謚○難乃旦反
或曰其不稱名蓋爲祖諱也孔子故宋也	孔子舊是宋人孔父之玄孫○爲于僞反
○滕子來朝	隱十一年稱侯今稱子盖時王所黜
○三月公㑹齊侯陳侯鄭伯于稷以成宋亂	稷宋地也
以者内爲志焉爾公爲志乎成是亂也	欲㑹者外也欲受賂者公也
此成矣取不成事之辭而加之焉於内之悪而君子無遺焉爾	取不成事之辭謂以成宋亂也桓姦逆之人故極言其惡無所遺漏也江熈曰春秋親尊皆諱蓋患惡之不可掩豈當取不成事之辭以加君父之惡乎案宣四年公及齊侯平莒及郯傳曰平者成也然則成亦平也公與齊陳鄭欲平宋亂而取其賂鼎不能平亂故書成宋亂取郜大鼎納于大廟微旨見矣㝷理推經傳似失之徐邈曰宋雖巳亂治之則治治亂成不繫此一㑹若諸侯討之則有撥亂之功不討則受成亂之責辭豈虚加也哉春秋雖爲親尊者諱然亦不没其實故納鼎于廟躋僖逆祀及王室之亂昭公之孫皆指事而書哀七年傳所謂有一國之道者有天下之道者也君失社稷猶書而不隱况今四國羣㑹非一人之過以義致譏輕於自巳兆亂以此方彼無所多怪○郯音談大廟音泰下文及注同見賢徧反躋子兮反
○夏四月取郜大鼎于宋戊申納于大廟	傳例曰納者内不受也日之明惡甚也太廟周公廟○郜古報反
桓内弑其君外成人之亂受賂而退以事其祖非禮也其道以周公爲弗受也郜鼎者郜之所爲也曰宋取之宋也	此鼎本郜國所作宋後得之
以是爲討之鼎也	討宋亂而更受其賂鼎○爲討之鼎如字麋氏云討或作糾
孔子曰名從主人物從中國故曰郜大鼎也	主人謂作鼎之主人也故繫之郜物從中國謂是大鼎
○秋七月紀侯來朝	隱二年稱子今稱侯盖時王所進○紀侯左氏作𣏌侯
朝時此其月何也	據隱十一年春滕侯薛侯來朝稱時
桓内弑其君外成人之亂於是爲齊侯陳侯鄭伯計數日以賂	桓旣罪深責大乃復爲三國計數至日以責宋賂○爲齊于僞反下同數色主反注同復扶又反
巳即是事而朝之惡之故謹而月之也	已紀也桓與諸侯校數功勞以取宋賂不知非之爲非貪愚之甚紀不擇其不肖而就朝之○惡烏路反
○蔡侯鄭伯㑹于鄧	鄧某地○某地不知其國故云某後放此
○九月入𣏌我入之也	不稱主名内之卑者
○公及戎盟于唐○冬公至自唐	告廟曰至傳例曰致君者殆其往而喜其反此致君之意義也離不言㑹故以地致
桓無㑹而其致何也逺之也	桓㑹甚衆而曰無㑹盖無致㑹也弑逆之罪非可以致宗廟而今致者危其逺㑹戎狄喜其得反
三年春正月公㑹齊侯于嬴	嬴齊地○嬴音盈
○夏齊侯衛侯胥命于蒲	蒲衛地
胥之爲言猶相也相命而信諭謹言而退以是爲近古也	申約言以相逹不㰱血而誓盟古謂五帝時○近附近之近約如字又於妙反㰱本又作喢所洽反
是必一人先其以相言之何也不以齊侯命衛侯也	江熙曰夫相與親比非一人之徳是以同聲相應同氣相求齊衛胥盟雖有先倡倡和理均若以齊命衛則功歸干齊以衛命齊則齊僅随從言其相命則泯然無際矣○比毗志反應應對之應僅巨靳反泯亡忍反
○六月公㑹𣏌侯于郕	郕魯地○郕音成
○秋七月壬辰朔日有食之旣言日言朔食正朔也	朔日食也
旣者盡也有繼之辭也	盡而復生謂之旣○復扶又反
○公子翬如齊逆女	翬稱公子者桓不以爲罪人也
逆女親者也使大夫非正也九月齊侯送姜氏于讙	巳去齊國故不言女未至干魯故不稱夫人讙魯地月者重録之○于讙音歡
禮送女父不下堂母不出祭門諸母兄弟不出闕門	祭門廟門也闕兩觀也在祭門之外○觀古亂反
父戒之曰謹慎從爾舅之言母戒之曰謹慎從爾姑之言諸母般申之曰謹慎從爾父母之言	般囊也所以盛朝夕所須以備舅姑之用○般歩干反一本作鞶音同盛音成
送女踰竟非禮也	○踰竟音境
公㑹齊侯于讙無譏乎	齊侯送女踰竟逺至于讙嫌㑹非禮之人當有譏
曰爲禮也齊侯來也公之逆而㑹之可也	爲親逆之禮
夫人姜氏至自齊其不言翬之以來何也	據宣元年遂以夫人婦姜至自齊
公親受之于齊侯也	重在公
子貢曰冕而親迎不巳重乎	冕祭服○迎魚敬反一本作逆
孔子曰合二姓之好以繼萬丗之後何謂巳重乎	○好呼報反
○冬齊侯使其弟年來聘○有年	有年例時
五榖皆熟爲有年也四年春正月公狩于郎	春而言狩盖用冬狩之禮蒐狩例時而此月者重公失禮也莊四年冬公及齊人狩于郜傳曰齊人者齊侯也其曰人何也卑公之敵所以卑公也然則言齊人者所以人公則譏巳明矣狩得其時故不月
四時之田皆爲宗廟之事也春曰田	取獸於田○爲于僞反
夏曰苗	因爲苗除害故曰苗
秋曰蒐	蒐擇之舍小取大○蒐所由反麋氏本又作捜音同舎音捨
冬曰狩	狩圍狩也冬物畢成獲則取之無所擇
四時之田用三焉唯其所先得一爲乾豆	上殺中心死速乾之以爲豆實可以祭祀○中丁仲反下同
二爲賔客	次殺射髀髂死差遟○射食亦反髀歩啓反又必邇反髂苦嫁反差𥘉賣反
三爲充君之庖	下殺中腸汚泡死最遟先宗廟次賔客後庖厨尊神敬客之義○庖歩交反汚汗穢之汚泡普交反又百交反
○夏天王使宰渠伯糾來聘	宰官也渠氏也天子下大夫老故稱字下無秋冬二時寗所未詳
五年春正月甲戍已丑陳侯鮑卒鮑卒何爲以二日卒之春秋之義信以傳信疑以傳疑	明實録也○傳直專反
陳侯以甲戍之日出已丑之日得不知死之日故舉二日以包也	國君獨出必辟病潜行○必辟音避本又作避
○夏齊侯鄭伯如紀	外相如不書過我則書例時○過我古禾反下文及注同
○天王使任叔之子來聘	任叔天子之大夫○任叔音壬左氏作仍叔
任叔之子者録父以使子也故微其君臣而著其父子不正父在子代仕之辭也	録父使子謂不氏名其人稱父言子也君闇劣於上臣苟進於下盖參譏之
○葬陳桓公○城祝丘	譏公不脩徳政恃城以安民
○秋蔡人衛人陳人從王伐鄭	王親自伐鄭○從才用反又如字下同
舉從者之辭也	使若王命諸侯伐鄭書從王命者三國也
其舉從者之辭何也爲天王諱伐鄭也	諱自伐鄭○爲干僞反
鄭同姓之國也在乎兾州於是不服爲天子病矣	鄭姬姓之國兾州則近京師親近猶不能服則䟽逺者可知○兾州案鄭本京兆鄭縣是雍州之域後徙河南新鄭爲豫州之境兾在兩河之間非鄭都也異州言去京師近也麋氏云韓侯滅鄭韓本都兾州故以目鄭近附近之近
○大雩	雲者旱祭請兩之名傳例曰雩得雨曰雩不得雨曰旱月雩正也時雩不正也禮月令曰仲冬行夏令則其國乃旱○雩音于祭名
○螽	蜙蝑之属禮月令曰仲冬行春令則蟲蝗爲敗○螽音終蜙相容反蝑音壻蝗華􁀱反
螽蟲災也甚則月不甚則時○冬州公如曹外相如不書此其書何也過我也	過我六年寔來是也將有其未故先録其本
六年春正月寔來	來朝例時月者謹其無禮○寔常式反朝直遥反下七年同
寔來者是來也何謂是來謂州公也其謂之是來何也以其畫我故簡言之也諸侯不以過相朝也	畫是相過去朝逺○畫音獲注同以過古禾反注同
○夏四月公㑹紀侯于郕	○紀侯左氏作𣏌侯
○秋八月壬午大閱	蒐閱例時○閱音恱
大閱者何閱兵車也	閱爲簡練
脩教明諭國道也	脩先王之教以明逹於民治國之道
乎而脩戎事非正也	邵曰禮因四時田獵以習用戎事存不忘亡安不忘危之道平謂不因田獵無事而脩之
其日以爲崇武故謹而日之蓋以觀婦人也	○觀古亂反視也
○蔡人殺陳佗陳佗者陳君也其曰陳佗何也匹夫行故匹夫稱之也其匹夫行奈何陳侯憙獵淫獵于蔡與蔡人争禽蔡人不知其是陳君也而殺之	淫獵謂自放恣遺失徒衆○陳佗徒河反行下孟反憙虚記反
何以知其是陳君也兩下相殺不道	兩大夫相殺不書春秋
其不地於蔡也○九月丁卯子同生	子同桓公嫡子莊公○嫡丁歷反或作適
疑故志之	莊公母文姜淫于齊襄疑非公之子
時曰同乎人也	時人僉曰齊侯之子同於他人○僉七廉反
○冬紀侯來朝七年春二月已亥焚咸丘	日之謹其惡○惡烏各反
其不言邾咸丘何也	據襄元年圍宋彭城言宋
疾其以火攻也	不繫於國者欲使焚邑之罪與焚國同
○夏榖伯綏來朝○鄧侯吾離來朝其名何也	據隱十一年滕薛來朝不名
失國也	禮諸侯不生名失地則名
失國則其以朝言之何也	據文十二年郕伯來奔不言朝
甞以諸侯與之接矣雖失國弗損吾異日也	待之以𥘉也下無秋冬二時寗所未詳
八年春正月已卯烝	春祭曰祠薦尚韭卵夏祭曰禴薦尚麥魚秋祭曰甞薦尚黍肫冬祭曰烝薦尚稻鴈無牲而祭曰薦薦而加牲曰祭禮各異也失禮祭祀例日得礼者時定八年冬從祀先公是也僖八年秋七月禘于大廟月者謹用致夫人耳禘無違禮○烝之承反曰禴餘若反又作礿黍肫本又作豚徒門反大廟音泰下同
烝冬事也春興之志不時也○天王使家父來聘	家夫天子大夫家氏父字
○夏五月丁丑烝烝冬事也春夏興之黷祀也志不敬也	○黷徒木反
○秋伐邾○冬十月雨雪	禮月令曰孟冬行秋令則霜雪不時○兩于付反
○祭公來遂逆王后于紀	祭公寰内諸侯爲天子三公者親逆例時不親逆例月故春秋左氏說曰王者至尊無敵無親逆之禮祭公逆王后未到京師而稱后知天子不行而禮成也鄭君釋之曰大姒之家在郃之陽在渭之涘文王親迎于渭即天子親迎之明丈矣天子雖尊其于后猶夫婦夫婦判合禮同一體所謂無敵豈施此哉禮記哀公問曰冕而親迎不巳重乎孔子愀然作色而對曰合二姓之好以繼先聖之後以爲天地宗廟社稷之主君何謂巳重焉此言親迎繼先聖之後爲天地宗廟社稷之主非天子則誰乎○祭公側界反寰音縣又音環親迎魚敬反注皆同大姒音似大姒文王妃也郃音洽本又作洽涘音仕愀在九反又親小反之好呼報反
其不言使焉何也	據四年天王使宰渠伯糾稱使
不正其以宗廟之大事即謀於我故弗與使也	時天子命祭公就魯共卜擇紀女可中后者便逆之不復反命○復扶又反
遂繼事之辭也其曰遂逆王后故略之也	以其遂逆無禮故不書逆女而曰王后略謂不以禮稱之
或曰天子無外王命之則成矣	四海之濵莫非王臣王命紀女爲后則巳成王后不如諸侯入國乃稱夫人或說是
九年春紀季姜歸于京師	季姜桓王后書字者申父母之尊姜紀姓
爲之中者歸之也	中謂關與婚事○之中丁仲反又如字注同與音豫
○夏四月○秋七月○冬曹伯使其丗子射姑來朝朝不言使言使非正也使丗子伉諸侯之禮而來朝曹伯失正矣諸侯相見曰朝以待人父之道待人之子以内爲失正矣内失正曹伯失正丗子可以巳矣則是放命	稱忽○去起吕反
○柔㑹宋公陳侯蔡叔盟于折	蔡叔蔡大夫名未命故不氏折某地○折之設反又時設反
柔者何吾大夫之未命者也○公㑹宋公于夫鍾	夫鍾郕地○夫音扶麋氏本鍾作童音鍾
○冬十有二月公㑹宋公于闞	闞魯地○闞口暫反
十有二年春正月○夏六月壬寅公㑹紀侯莒子盟于曲池	曲池魯地
○秋七月丁亥公㑹宋公○燕人盟于榖丘	榖丘宋地○燕音煙國名
○八月壬辰陳侯躍卒	陳厲公也○躍餘若反
○公㑹宋公于虚	虚宋地○虚如字又去魚反
○冬十有一月公㑹宋公于龜	龜宋地
○丙戍公㑹鄭伯盟于武父	武父鄭地○父音甫
○丙戍衞侯晉卒再稱日決日義也	明二事皆當日也晉不正非日卒者也不正前見矣隱四年衛人立晉是也與齊小白義同○見賢徧反
○十有二月及鄭師伐宋丁未戰于宋非與所與伐戰也	非責
不言與鄭戰恥不和也於伐與戰敗也内諱敗舉其可道者也	於伐宋而與鄭戰内敗也戰輕於敗戰可道而敗不可道
十有三年春二月公㑹紀侯鄭伯已巳及齊侯宋公衞侯燕人戰齊師宋師衛師燕師敗績	徐貌曰僖九年傳曰禮柩在堂上孤無外事今衛宣未葬而嗣子稱侯以出其失禮明矣宋陳稱子而衛稱侯隨其所以自稱者而書之得失自見矣○柩其救反見賢徧反
其言及者由内及之也其曰戰者由外言之也	内不言戰言戰則敗今魯與紀鄭同討以有紀鄭故可得言戰
戰稱人敗稱師重衆也其不地於紀也	春秋戰無不地即於紀戰無爲不地也鄭君曰紀當爲己謂在魯也字之誤耳時在龍門城下之戰迫近故不地
○三月葬衞宣公○夏大水○秋七月○冬十月十有四年春正月公㑹鄭伯于曹○無冰	皆君不明去就政治紓緩之所置五行傳曰視之不明是謂不哲厥咎舒厥罰常燠○哲陟列反一本作晢之列反燠於六反煖也下丈同
無冰時燠也○夏五	○夏五本或有月者非
鄭伯使其弟禦來盟諸侯之尊弟兄不得以屬通其弟云者以其來我舉其貴者也來盟前定也不日前定之盟不日	言信在前非結於今○禦魚吕反本亦作御左氏作語
孔子曰聽逺音者聞其疾而不聞其舒	疾謂激揚之聲舒謂徐緩
望逺者察其貌而不察其形	貌姿躰形容色
立乎定哀以指隱桓隱桓之日逺矣夏五傳疑也	孔子在於定哀之丗而録隱桓之事故承闕文之疑不書月明皆實録○傳直專反
○秋八月壬申衘廪災	御廪藏公所親耕以奉粢盛之倉也内災例日○廪力甚反
乙亥甞御廪之災不志	以其微
此其志何也以爲唯未易災之餘而甞可也志不敬也	鄭嗣曰唯以未易災之餘而甞然後可志也用火焚之餘以祭宗廟非人子所以盡其心力不敬之大也○盡津忍反
天子親耕以共粢盛	天子親耕其禮三推黍稷曰粢在器曰盛○共音恭一本作㳟粢音咨推昌誰反一音他回反
王后親蠶以共祭服	王后親𧖟齊戒躬桑夫人三繅遂班三宫朱緑玄黄以爲黼黻文章服旣成君服以祀之○齊戒側皆反本亦作齋繅先刀反黼音甫亦作黼黻音弗俗作紱
國非無良農工女也以爲人之所盡事其祖襧不若以己所自親者也	凱曰夫治人之道莫急於禮禮有五經莫重於祭祭者非物自外至者也由中出者身致其誠信然後可以交於神明祭之道也○禰乃禮反
何用見其未易災之餘而甞也曰甸粟而内之三宫三宫米而藏之御廪	甸甸師掌田之官也三宫三夫人也宗廟之禮君親割夫人親舂○親舂傷容反
夫甞必有兼甸之事焉	夫人親舂是兼甸之事○兼甸如字一本作旬十日爲旬注亦然
壬申御廩災乙亥甞以爲未易災之餘而甞也	鄭嗣曰壬申乙亥相去四日言用日至少而功多明未足及易而甞
○冬十有二月丁巳齊侯禄父卒○宋人以齊人蔡人衞人陳人伐鄭以者不以者也民者君之本也使人以其死非正也	不以者謂本非所得制今得以之也刺四國使宋專用其師輕民命也○刺七賜反
十有五年春二月天王使家父來求車古者諸侯時獻于天子以其國之所有故有辭讓而無徴求求車非禮也求金甚矣	文九年毛伯來求金
○三月乙未天王崩	桓王
○夏四月已巳葬齊僖公○五月鄭伯突出奔蔡譏奪正也	禮諸侯不生名今名突以譏之
○鄭丗子忽復歸于鄭反正也○許叔入于許	傳例曰太夫出奔反以好曰歸以惡曰入
許叔許之貴者也莫冝乎許叔其曰入何也其歸之道非所以歸也	泰曰許國之貴莫過許叔叔之冝立又無與二而進無王命退非父授故不書曰歸同之惡入
○公㑹齊侯于蒿	○蒿左氏作艾公羊作鄗
○邾人牟人葛人來朝	何休曰桓公行惡而三人俱朝事之三人爲衆衆足責故夷狄之○行下孟反又如字
○秋九月鄭伯突入于櫟	櫟鄭邑也突不正書入明不當受○櫟力狄反
○冬十有一月公㑹宋公衛侯陳侯于袲伐鄭	袲宋地○袲昌氏反
地而後伐疑辭也非其疑也	鄭突欲篡國伐而正之義也不應疑故責之
十有六年春正月公㑹宋公蔡侯衛侯于曹○夏四月公㑹宋公衞侯陳侯蔡侯伐鄭	蔡常在衞上今序陳下蓋後至
○秋七月公至自伐鄭桓無㑹其致何也危之也	桓公再助篡伐正危殆之甚喜得全歸故致之
○冬城向	○向舒亮反
○十有一月衛侯朔出奔齊	朔惠公名
朔之名惡也天子召而不往也十有七年春正月丙辰公㑹齊侯紀侯盟于黃	黄齊地
○二月丙午公及邾儀父盟于趡	趡魯地○趡翠軌反
○夏五月丙午及齊師戰于郎内諱敗舉其可道者也	敗恥大戰恥小○戰于郎左氏作于奚
不言其人以吾敗也	言人則微者敗於微者其恥又甚故言師
不言及之者爲内諱也	及當有人公親帥之恥大不可言○爲于僞反
○六月丁丑蔡侯封人卒○秋八月蔡季自陳歸于蔡蔡季蔡之貴者也自陳陳有奉焉爾	陳以力助
○癸巳葬蔡桓侯	徐邈曰葬者臣子之事故書葬皆以公配謚此稱侯蓋蔡臣子失禮故即其所稱以示過
○及宋人衞人伐邾○冬十月朔日有食之言朔不言日食旣朔也	旣盡也盡朔一日至明日乃食是月二日食也
十有八年春王正月公㑹齊侯于濼	此年書王以王法終治桓之事○濼力沃反又音洛舊音匹沃反
公與夫人姜氏遂如齊	公本與夫人俱行至濼公與齊侯行㑹禮故先書㑹濼既㑹而相隨至齊故曰遂遂繼事之辭他皆放此
濼之㑹不言及夫人何也	據夫人實在當言公及夫人姜氏㑹齊侯于濼
以夫人之伉弗稱數也	濼之㑹夫人驕伉不可言及故舎而弗數今書遂如齊欲録其致變之由故不可以不書實驕伉而不制故不言及○伉本又作亢苦浪反數色户反舎音捨
○夏四月丙子公薨于齊	夫人與齊謀殺之不書諱也魯公薨正與不正皆日所以别内外也○别内外彼列反
其地於外也薨稱公舉上也	公五等之上
