曲禮下第二鄭氏註凡奉者當心提者當帶	髙下之節〇奉本亦作捧同芳勇反提徒兮反
執天子之器則上衡	謂高於心弥敬也此衡謂与心平○上時掌反
國君則平衡大夫則綏之士則提之	綏讀曰妥妥之謂下於心〇綏湯果反又他囬反
凡執主器執輕如不克	重慎之也主君也克勝也〇勝音升
執主器操幣圭壁則尚左手行不舉足車輪曵踵	重慎也尚左手尊左也車輪謂行不絶也〇操七刀反行不舉足一本作行㪯足曳以制反踵支勇反重言行不舉足又玉藻重意玉藻㪯則曳踵〇上篇則進左手
立則磬折垂佩主佩倚則臣佩垂主佩垂則臣佩委	君臣俛仰之節倚謂附於身小俛則垂大俛則委於地○折之列反又市列反一音逝佩歩内反倚於綺反
執玉其有藉者則禓無藉者則襲	藉藻也禓襲文質相変耳有藻爲文禓見羙亦文无藻爲質襲充羙亦質圭璋特而襲壁琮加束帛而裼亦是也〇藉在夜反下同裼星歴反藻音早本又作繅見賢遍反琮才冬反
○國君不名卿老丗婦大夫不名丗臣姪娣士不名家相長妾	雖貴於其國家猶有所尊也卿老上卿也丗臣父時老臣〇姪大節反字林丈一反娣大計反相息亮反長丁丈反下注長老同
君大夫之子不敢自稱曰余小子	辟天子之子未除䘮之名君大夫天子大夫有土地者○辟音避下同
大夫士之子不敢自稱曰嗣子某	亦辟其君之子未除䘮之名重言大夫士之子又内則
不敢與丗子同名	辟僣傚也其先之生則亦不改丗或爲大〇僣作念反傚胡孝反重言不敢與丗子同名又内則
○君使士射不能則辭以疾言曰某有負薪之憂	射者所以觀徳唯有疾可以辝也使士射謂以備耦也憂或為疾〇使音史射市夜反則辝以疾如字本又作有疾爲疾如字本又作疚音救
侍於君子不顧望而對非禮也	礼尚謙也不顧望若子路率尓而對
〇君子行禮不求變俗	求猶務也不務変其故俗重本也謂去先祖之國居他囯
祭祀之禮居䘮之服哭泣之位皆如其國之故謹脩其法而審行之	其法謂其先祖之制度若夏殷
去國三丗爵禄有列於朝出入有詔於國	三丗自祖至孫踰乆可以忘故俗而猶不変者爵禄有列於朝謂君不絶其祖祀復立其族若臧紇奔邾立臧爲矣詔告也謂与卿大夫吉凶徃来相赴告〇三丗盧王云丗歲也萬物以歳爲丗朝直遥反下皆同復扶冨反下復還同紇恨發反徐胡切反沈胡謁反
若兄弟宗族猶存則反告於宗後	謂无列無詔者反告亦謂吉凶也宗後宗子也
去國三世爵禄無列於朝出入無詔於國唯興之日從新國之法	以故國與己无恩㒷謂起爲卿大夫
○君子己孤不更名	亦重本
己孤暴貴不為父作謚	子事父无貴賤○為于偽反謚音示
〇居䘮未葬讀䘮禮既葬讀祭禮䘮復常讀樂章	爲礼各於其時
居䘮不言樂祭事不言凶公庭不言婦女	非其時也
○振書端書於君前有誅倒筴側龜於君前有誅	臣不豫事不敬也振去塵也端正也倒顛倒也側反側也皆謂甫省視之〇倒多老反去羗吕反下徹猶去去琴瑟同顛丁田反
龜筴几杖席蓋重素袗絺綌不入公門	龜筴嫌問囯家吉凶几杖嫌自長老席盖載䘮車也雜記曰士輤韋席以為屋蒲席以為裳帷重素衣裳皆素䘮服也袗单也孔子曰當暑袗絺綌必表而出之爲其形䙝〇重素直龍反注同重素衣裳皆素袗之忍反輤千見反葦干鬼反爲于偽反重言袗絺綌不入公門又玉藻袗作振不入公門六本篇三玉藻三
苞屨扱祍厭冠不入公門	此皆凶服也苞藨也齊衰藨前之菲也問䘮曰親始死扱上祍厭猶伏也䘮冠厭伏苞或為菲〇苞自表反草也扱𥘉洽反祍而審反厭於渉反藨白表反又扶苗反齊本又作斉音咨衰七雷反下同蒯苦怪反菲扶味反屨也
書方衰凶器不以告不入公門	此謂䘮在内不得不入當先告君耳方板也士䘮礼下篇曰書賵於方若九若七若五凶器明器也〇板字又作版音同賵芳仲反車馬曰賵
