祭義第二十四	陸曰鄭云名祭義者以其記齋戒薦羞之義
鄭氏註祭不欲數數則煩煩則不敬祭不欲䟽䟽則怠怠則忘是故君子合諸天道春禘秋甞	忘與不敬違禮莫大焉合於天道因四時之変化孝子感時念親則以此祭之也春禘者夏殷禮也周以褅爲殷祭更名春祭曰祠○数色角反下同怠大改反祠嗣思反重意春禘秋甞郊特牲春禘而秋甞又王制第四夏曰禘秋日甞祭統篇夏祭曰禘秋祭曰甞
霜露旣降君子履之必有悽愴之心非其寒之謂也春雨露旣濡君子履之必有怵惕之心如將見之	非其寒之謂謂悽愴及怵惕皆爲感時念親也霜露旣降禮說在秋此无秋字盖脫爾○悽音妻愴𥘉亮反本亦作儒音儒怵敕律反惕他曆反爲于僞反下文見所爲并往同
樂以迎來哀以送往故褅有樂而嘗無樂	迎來而樂樂親之將來也送去而哀哀其享否不可知也小言之則爲一祭之間孝子不知鬼神之期推而廣之放其去來於隂陽○放方往反
致齊於内散齊於外齊之日思其居處思其笑語思其志意思其所樂思其所嗜齊三日乃見其所爲齊者	致齊思此五者也散斉七日不御不樂不弔耳見所爲齊者思之孰也所嗜素所欲飲食也春秋傳曰屈到嗜芰○齊側皆反後不出者同散悉但反注同所樂音岳又五孝反嗜市志反注及下並同屈居勿反屈到楚莫敖芰其寄反
祭之日入室僾然必有見乎其位周還出户肅然必有聞乎其容聲出户而聽愾然必有聞乎其嘆息之聲	周還出户謂薦設時也无尸者闔户若食間則有出户而聽之○僾音愛微見貌還音旋本亦作旋注同愾開代反闔户獵反
是故先王之孝也色不忘乎目聲不絶乎耳心志嗜欲不忘乎心致愛則存致慤則著著存不忘乎心夫安得不敬乎	存著則謂其思念也○慤苦角反
君子生則敬養死則敬享思終身弗辱也	享猶祭也饗也○養羊尚反郷也許諒反下文郷也郷之注郷之同
君子有終身之䘮忌日之謂也忌日不用非不祥也言夫日志有所至而不敢盡其私也	忌日親亡之曰忌日者不用㪯他事如有時日之禁也样善也志有所至至於親以此日亡其哀心如䘮時○言夫日音扶本或作言夫忌日重意忌日不用下文忌日必哀檀弓上忌日不樂
唯聖人爲能饗帝孝子爲能饗親	謂祭之能使之饗也帝天也
饗者郷也郷之然後能饗焉	言中心郷之乃能使其祭見饗也上饗或爲相○相悉亮反下文同
是故孝子臨尸而不怍君牽牲夫人奠盎君獻尸夫人薦豆卿大夫相君命婦相夫人齊齊乎其敬也愉愉乎其忠也勿勿諸其欲其饗之也	色不和曰怍奠盎設盎齊之奠也此時君牽牲將薦毛血君献尸而夫人薦豆謂繹日也儐尸主人献尸主婦自東房薦韭菹醢勿勿猶勉勉也慤愛之貌○怍才各反盎烏狼反斉斉如字舊子礼反愉羊朱反盎斉才細反繹音亦儐音賔重言君牽牲至勿勿乎其欲其饗之也礼器第十篇君親制祭夫人薦盎君親割牲夫人薦酒卿大夫從君命婦從夫人洞侗乎其敬也屬屬乎其忠也勿勿乎其欲其饗之也
文王之祭也事死者如事生思死者如不欲生忌日必哀稱諱如見親祀之忠也如見親之所愛如欲色然其文王與	思死者如不欲生言思親之深也如欲色者以時人於色厚假以喻之○忠如字謂盡中心與音餘重言事死者如事生二一見中庸篇无者字
詩云明發不寐有懷二人文王之詩也祭之明日明發不寐饗而致之又從而思之祭之日樂與哀半饗之必樂巳至必哀	明發不寐謂夜而至旦也祭之明日謂繹日也言繹之夜不寐也二人謂父母容尸侑也○樂与音洛下同侑音又
仲尼嘗奉薦而進其親也慤其行也趨趨以數	甞秋祭也親謂身親執事時也慤与趍趍言少威儀也趍讀如促数之言速也仲尼甞絶句甞秋祭奉薦而進絶句其親也慤絶句○趨音促注及下注皆同数色角反徐音速注同
巳祭子贛問曰子之言祭濟濟􁇀􁇀然今子之祭無濟濟􁇀􁇀何也子曰濟濟者客也逺也􁇀􁇀者容也自反也客以逺若容以自反也夫何神明之及交夫何濟濟􁇀􁇀之有乎	􁇀􁇀讀如朋友切切自反猶言自脩整也容以逺言非所以接親親也容以自反言非孝子所以事親也及与也此皆非與神明交之道○贛音貢㑪子礼反下同􁇀依注音切下同客也口白反賔客也下客以逺同客也羊凶反儀容也下若容以自反同
反饋樂成薦其薦爼序其禮樂備其百官君子致其濟濟􁇀􁇀夫何慌惚之有乎	天子諸侯之祭或從血腥始至反饋是進孰也薦爼豆與爼也慌惚思念益深之時也言祭事旣備使百官助口祭然而見其容而自反是无慌愡之思念○楽成音岳又五教反慌况往反注及下同一音荒愡音忽住及下同本又作忽重言序其礼樂備其百官三一見燕居二十八篇一見下文更有薦其薦爼一句
夫言豈一端而巳夫各有所當也	豈一端言不可以一槩也礼各有所當行祭宗廟者賔客済済􁇀􁇀主人慤而趍趍○當丁浪反槩古代反
孝子將祭慮事不可以不豫比時具物不可以不備虚中以治之	比時猶先時也虚中言不兼念餘事○比必利反徐甫至反注同先悉薦反又如字
宫室旣脩牆屋旣設百物旣備夫婦齊戒沐浴盛服奉承而進之洞洞乎屬屬乎如弗勝如將失之其孝敬之心至也與	脩設謂掃除及黝堊○洞音動下同属音燭下同弗本亦作不何休云弗者不之深也勝音升与音餘􁇠於糾反堊烏路反重言洞洞乎属属乎三見礼器十○如將失之二一見下文
薦其薦爼序其禮樂備其百官奉承而進之	百官助主人進之
於是諭其志意以其慌惚以與神明交庶或饗之庶或饗之孝子之志也	諭其志意謂使祝祝饗及有尸也或猶有也言想見其彷佛來○祝祝上之六反下之又反又並之六反彷孚往反佛孚味反重言孝子之志也四二見間䘮三十五篇一見本篇未
孝子之祭也盡其慤而慤焉盡其信而信焉盡其敬而敬焉盡其禮而不過失焉進退必敬如親聽命則或使之也	言當盡巳而已如居父母前將受命而使之重言孝子之祭也三見下文
孝子之祭可知也其立之也敬以詘其進之也敬以愉其薦之也敬以欲退而立如將受命巳徹而退敬齊之色不絶於面	詘充詘形容喜貌也進之謂進血腥也愉顔色和貌也薦之謂進孰也欲婉順貌齊謂齊莊○詘求勿反注及下并篇末同徐丘勿反敬齊如字注及下同王徐側皆反婉憂阮反
孝子之祭也立而不詘固也進而不愉䟽也薦而不欲不愛也退立而不如受命敖也巳徹而退無敬齊之色而忘本也如是而祭失之矣	固猶質陋也而忘本而衍字○敖也五報反
孝子之有深愛者必有和氣有和氣者必有愉色有愉色者必有婉容	和氣謂立而詘
孝子如執玉如奉盈洞洞屬屬然如弗勝如將失之嚴威儼恪非所以事親也成人之道也	成人旣冠者然則孝子不失其孺子之心也○奉芳勇反儼魚檢反恪苦各反冠古乱反孺而樹反重言成人之道也二後見冠義四十三
先王之所以治天下者五貴有德貴貴貴老敬長慈㓜此五者先王之所以定天下也貴有德何爲也爲其近於道也貴貴爲其近於君也貴老爲其近於親也敬長爲其近於兄也慈㓜爲其近於子也	言治囯有家道○長丁丈反下及下注皆同爲其于僞反下爲其同近附近之近
是故至孝近乎王至弟近乎霸至孝近乎王雖天子必有父至弟近乎霸雖諸侯必有兄先王之教因而弗改所以領天下國家也	天子有所父事諸侯有所兄事謂若三老五更也天子衰諸侯㒷故曰霸○乎王于况反弟音悌下同更古衡反下及下更相同
子曰立愛自親始教民睦也立敬自長始教民順也	親長父兄也睦和厚也互註書伊訓立愛惟親立敬惟長始于家邦終于四海
教以慈睦而民貴有親教以敬長而民貴用命	尊長出教令者
孝以事親順以聽命錯諸天下無所不行郊之祭也䘮者不敢哭凶服者不敢入國門敬之至也	祭者吉禮不欲聞見凶人○錯諸七路反重言郊之至也重見郊特牲十一篇敬之至也九本篇五禮器聘義各一郊特牲二
祭之日君牽牲穆荅君卿大夫序從	祭謂祭宗廟也穆子姓也荅對也序以次第從也序或爲豫○從才用反注同重言君牽牲二上文一
旣入廟門麗于碑卿大夫袒而毛牛尚耳鸞刀以刲取膟膋乃退爓祭祭腥而退敬之至也	䴡猶繫也毛牛尚耳以耳毛爲上也膟膋血與腸間脂也爓祭祭腥祭爓肉腥肉也湯肉曰爓爓祭祭腥或爲合祭腥泄䐲孰也○碑彼皮反袒徒旦反鵉力端反刲古圭反膟音律膋力彫反爓音燖泄息列反䐲直輒反
郊之祭大報天而主日配以月夏后氏祭其闇殷人祭其陽周人祭日以朝及闇	主日者以其光明天之神可見者莫著焉闇昏時也陽讀爲曰雨曰暘之晹謂曰中時也朝日出時也夏后氏大事以昏殷人大事以日中周人大事以日出亦謂此郊祭也以朝及闇謂終日有事○神見賢遍反一本作神可見則如字晹音陽重言郊之祭大報天而主日二一見郊特牲
祭日於壇祭月於坎以别幽明以制上下	幽明者謂日照晝月照夜
祭日於東祭月於西以别外内以端其位	端正○别彼列反下同
日出於東月生於西隂陽長短終始相廵以致天下之和	廵讀如㳂漢之㳂謂更相從道○廵依注音㳂恱專反
天下之禮致反始也致鬼神也致和用也致義也致讓也	因祭之義汎說禮也致之言至也使人勤行至於此也至於反始謂報天之屬也至於鬼神謂祭宗廟之屬也至於和用謂治民之事以足肘也○汎說芳劎反
致反始以厚其本也致鬼神以尊上也致物用以立民紀也致義則上下不悖逆矣致讓以去争也合此五者以治天下之禮也雖有竒邪而不治者則微矣	物猶事也変和言物互之也微猶少也○悖布内反去起呂反争争闘之争竒紀冝反邪似嗟反洽直吏反
宰我曰吾聞鬼神之名不知其所謂子曰氣也者神之盛也魄也者鬼之盛也合鬼與神教之至也	氣謂嘘吸出入者也耳目之聰明爲魄合鬼神而祭之聖人之教致之也○魄普白反嘘音虚吸許及反
衆生必死死必歸土此之謂鬼骨肉斃于下隂爲野土	隂讀爲依䕃之䕃言人之骨肉䕃於地中爲士壌○斃本亦作弊婢丗反隂依注音䕃於鴆反壌如丈反
其氣發揚于上爲昭明焄蒿悽愴此百物之精也神之著也	焄謂香臭也蒿謂氣蒸出貌也上言衆生此言百物明其與人同也不如人貴爾蒿或爲藨○焄許云反香臭之氣耳蒿許羔反烝之膺反藨表驕反又皮表反
因物之精制爲之極明命鬼神以爲黔首則百衆以畏萬民以服	明命猶尊名也尊極於鬼神不可復加也黔首謂民也則法也爲民作法使民亦事其祖禰鬼神民所畏服○黔首其廉反徐又其嚴反黒也黒首謂民也秦謂民爲黔首復扶又反爲民于僞反
聖人以是爲未足也築爲宮室設爲宗祧以别親䟽逺邇教民反古復始不忘其所由生也衆之服自此故聽且速也	自由也言人由此服於聖人之教也聽謂順教令也速疾也○邇音尔重言不忘其听由生也二一見下文
二端旣立報以二禮建設朝事燔燎羶薌見以蕭光以報氣也此教衆反始也薦黍稷羞肝肺首心見間以俠甒加以鬱鬯以報魄也教民相愛上下用情禮之至也	二端旣立謂氣也魄也更有尊名云鬼神也二禮謂朝事與薦黍稷也朝事謂薦血腥時也薦黍稷所謂饋食也見及見間皆當爲覸字之誤也羶當爲馨声之誤也燔燎馨香覸以䔥光取牲祭脂也光猶氣也有虞氏祭首夏后氏祭心殷祭肝周祭肺覸以俠甒謂雜之两甒體酒也相愛用清謂此以人道祭之也報氣以氣報魄以實各有其類○燔音煩燎力召反又力弔反羶依注音馨許經反後羶薌同薌音香見以依註見作覸音間間厠之間徐古辨反見間依註合爲覸字音間厠之間俠古治反甒音武重意見間以俠甒雜記上篇甒筲衡實見間而後折入
