坊記第三十	陸曰坊音防徐扶訪反經文皆同鄭云名坊記者以其記六藝之義所以坊人之失也
子言之君子之道辟則坊與坊民之所不足者也	民所不足謂仁義之道也失道則放辟邪侈也○辟匹亦反注同舊芳益反徐又音譬与音餘邪似嗟反侈昌氏反又尺氏反
大爲之坊民猶踰之	言嚴其禁尚不能止况不禁乎
故君子禮以坊德刑以坊淫命以坊欲	命謂教令
子云小人貧斯約冨斯驕約斯盗驕斯亂	約猶窮也○喬音驕本亦作驕下同
禮者因人之情而爲之節文以爲民坊者也故聖人之制冨貴也使民冨不足以驕貧不至於約貴不慊於上故亂益亡	此節文者謂農有田里之差士有爵命之級慊恨不滿之貌也慊或爲嫌○慊口簟反級音給
子云貧而好樂冨而好禮衆而以寕者天下其幾矣	言如此者寡也寕安也大族衆家恒多作乱○好呼報反下同樂音洛又音岳幾居豈反又音譏
詩云民之貪亂寕爲荼毒	言民之貪爲乱者安其荼毒之行悪之也○荼音徒行下孟反悪烏路反下猶悪皆同
故制國不過千乗都城不過百雉家冨不過百乗以此坊民諸侯猶有畔者	古者方十里其中六十四井出兵車一乗此兵賦之法也成囯之賦千乗雉度名也髙一丈長三丈爲雉百雉爲長三百丈方五百歩子男之城方五里百雉者此謂大都三囯之一○乗繩證反下注同髙古報反長直亮反下同重言以此坊民十四並見本篇互註左隱元年祭仲曰都城過百雉囯之害也先王之制大都不過參囯之一中五之一小九之一
子云夫禮者所以章疑别微以爲民坊者也故貴賤有等衣服有别朝廷有位則民有所讓	位朝位也○別彼列反下同朝直遥反下皆同
子云天無二日土無二王家無二主尊無二上示民有君臣之别也春秋不稱楚越之王䘮禮君不稱天大夫不稱君恐民之惑也	楚越之君僣號称王不称其䘮謂不書葬也春秋傳曰吴楚之君不書葬辟其僣號也臣者天君称天子爲天王称諸侯不言天公辟王也大夫有臣者称之曰主不言君辟諸侯也此者皆爲使民疑惑不知孰者尊也周礼曰主友之讎視從父昆弟○僣子念反下同辟音避下同皆爲于僞反重言天無二日士無二王三一見曽子問第七一見䘮服四十九尊無二上二曽子問
詩云相彼盍旦尚猶患之	盍旦夜鳴求旦之鳥也求不可得也人猶惡其欲反晝夜而乱晦明况於臣之僣君求不可得之類乱上下惑衆也○相息亮反盍音渇徐苦蓋反注同
子云君不與同姓同車與異姓同車不同服示民不嫌也以此坊民民猶得同姓以弑其君	同姓者謂先王先公子孫有継及之道者也其非此則无嫌也僕右恒朝服君則各以時事唯在軍同服爾○弑音試本又作弑
子云君子辭貴不辭賤辭富不辭貧則亂益亡	亡無也子云自此以下本或作子曰
故君子與其使食浮於人也寕使人浮於食	食謂禄也在上曰浮禄勝巳則近貪巳勝禄則近廉○近附近之近
子云觴酒豆肉讓而受惡民猶犯齒祍席之上讓而坐下民猶犯貴朝廷之位讓而就賤民猶犯君	犯猶僣也齒年也禮六十以上籩豆有加貴秩異者○觴音傷祍而審反又而鴆反上時掌反
詩云民之無良相怨一方受爵不讓至于巳斯亡	良善也言无善之人善遥相怨貪爵禄好得无譲以至亡巳○好呼報反
子云君子貴人而賤己先人而後己則民作讓故稱人之君曰君自稱其君曰寡君	寡君猶言少德之君言之謙
子云利禄先死者而後生者則民不偝先亡者而後存者則民可以託	言不偷於死亡則於生存信○偝音佩下及注同偷音偷夲亦作偷
詩云先君之思以畜寡人	此衛夫人定姜之詩也定姜无子立庶子衎是爲献公畜孝也献公无礼於定姜定姜作詩言献公當思先君定公以孝於寡人○畜許六反注同毛詩作勗定姜之詩此是魯詩毛詩爲莊姜衎苦旦反
以此坊民民猶偝死而號無告	死者見偝其家之老弱號呼稱冤無所告無理也○號户羔反注同冤於袁反
子云有國家者貴人而賤禄則民興讓尚技而賤車則民興藝	言人君貴尚賢者能者而不吝於班禄賜車服則譲道興賢者能者人所服也技猶藝也○技其綺反注同吝力刃反又力鎮反
故君子約言小人先言	言人尚德不尚言也約与先互言耳君子約則小人多矣小人先則君子後矣易曰君子以多識前言往行以畜其德○行下孟反畜勑六反
子云上酌民言則下天上施上不酌民言則犯也下不天上施則亂也	酌猶取也取衆民之言以爲政教則得民心得民心則恩澤所加民受之如天矣言其尊○施始䜴反下同重言則乱也三二出表記三十二
故君子信讓以涖百姓則民之報禮重	涖臨也報禮重者猶言能死其難○涖音利又音類難乃旦反
詩云先民有言詢于芻蕘	先民謂上古之君也詢謀也芻蕘下民之事也言古之人君將有政教必謀之於庶民乃施之○詢音荀芻𥘉俱反蕘如遥反
子云善則稱人過則稱巳則民不爭善則稱人過則稱己則怨益亡詩云爾卜爾筮履無咎言	爾汝也履礼也言女郷卜筮然後与我爲礼則无各惡之言矣言悪在巳彼過淺○争争闘之争履如字毛詩作躰女音汝下及下文皆同嚮許亮反本亦作郷重言善則称人過則称巳四一見祭義三見本篇又過則称巳七本篇五祭義二
子云善則稱人過則稱已則民讓善詩云考卜惟王度是鎬京惟龜正之武王成之	度謀也鎬京鎬宫也言武王卜而謀居此鎬邑龜則出吉兆正之武王築成之此臣歸美於君○度徒洛反注同毛詩作宅鎬胡老反
子云善則稱君過則稱己則民作忠君陳曰爾有嘉謀嘉猷入告爾君于内女乃順之于外曰此謀此猷惟我君之徳於乎是惟良顯哉	君陳盖周公之子伯禽弟也名篇在尚書今亡嘉善也猷道也於乎是惟良顯哉美君之德○於音烏下火呉反注同重言則民作忠二一見表記三十一
