三年問第三十八	陸曰鄭云名三年問者善其以知䘮服年月所由也
鄭氏註三年之喪何也曰稱情而立文因以飾羣别親跡貴賤之節而弗可損益也故曰無易之道也	稱情而立文稱人之情輕重而制其礼也羣謂親之黨也无易猶不易也○稱尺證反注及下皆同别彼列反易音亦注同
創鉅者其日乆痛甚者其愈遲三年者稱情而立文所以爲至痛極也斬衰苴杖居倚廬食粥寝苫枕塊所以爲至痛飾也	飾情之章表也○創音瘡𥘉良反鉅音巨大也愈徐音庾差也遲徐直移反倚於綺反枕塊之鴆反重意居倚廬寢苫枕塊四一見䘮大記二十一一見問䘮三十五一見間傳三十七〇斬衰杖苴前篇斬衰何以服苴
三年之喪二十五月而畢哀痛未盡思慕未忘然而服以是斷之者豈不送死有巳復生有節也哉	復生除䘮反生者之事也〇思如字十音息吏反断丁亂反復音伏
凢生天地之間者有血氣之屬必有知有知之屬莫不知愛其類今是大鳥獸則失喪其羣匹越月踰時焉則必反廵過其故郷翔回焉鳴號焉蹢䠱焉蜘蹰焉然後乃能去之小者至於燕雀猶有啁噍之頃焉然後乃能去之故有血氣之屬者莫知於人故人於其親也至死不窮	匹偶也言燕雀之恩不如大鳥獸大鳥獸不如人含血氣之類人最有知而恩深也於其五服之親念之至死无止巳〇屬音蜀䘮息浪反又如字廵徐詞均反過徐音戈一音古卧反號音豪户羔反蹢本又作躑直亦反徐治革反躅直録反蹢躅不行也踶音馳字或作踟蹰音厨燕於見反雀本又作爵啁張留反噍子流反啁噍声頃苦頴反知音智
將由夫患邪淫之人與則彼朝死而夕忘之然而從之則是曽鳥獸之不若也夫焉能相與羣居而不亂乎	言惡人薄於恩死則忘之其相与聚処必失礼也〇由夫音扶下皆同邪似嗟反人与音餘下君子与同曽則能反焉於䖍反
將由夫脩飾之君子與則三年之䘮二十五月而畢若駟之過隙然而遂之則是無窮也	駟之過隙喻疾也遂之謂不時除也〇駟音四馬也過古卧反徐音戈隙本又作郤去逆反空隙之地也
故先王焉爲之立中制節壹使足以成文理則釋之矣	立中制節謂服之年月也釋猶除也去也〇爲于僞反下注爲母同中如字又丁仲反注同去起吕反
然則何以至期也	言三年之義如此則何以有降至於期也期者謂爲人後者父在爲母也〇期音基注及下同
曰至親以期斷	言服之正雖至親皆期而除也〇断丁亂反下注同
是何也	問服断於期之義也
曰天地則巳易矣四時則巳變矣其在天地之中者莫不更始焉以是象之也	法此変易可以期也
然則何以三年也	言法此変易可以期何以乃三年爲
曰加隆焉爾也焉使倍之故再期也	言於父母加隆其恩使倍期也下焉猶然〇加隆焉爾一本作加隆爲爾焉徐如字一音於乾反焉猶然也一云發声也注及下同倍歩罪反注同
由九月以下何也曰焉使弗及也	言使其恩不若父母
故三年以爲隆緦小功以爲殺期九月以爲間上取象於天下取法於地中取則於人人之所以羣居和壹之理盡矣	取象於天地謂法其変易也自三年以至緦皆歳時之数也言既象天地又足以尽人聚居純厚之恩也〇殺色界反徐所例反重意上取象於天下取法於地郊特牲篇取則於地取法於天
故三年之喪人道之至文者也夫是之謂至隆	言三年之䘮䘮礼之最盛也
是百王之所同古今之所壹也未有知其所由來者也	不知其所從來喻此三年之䘮前丗行之乆矣
孔子曰子生三年然後免於父母之懷夫三年之䘮天下之逹喪也	逹謂自天子至於庶人
