論語學而第一何晏集解	凢十六章
子曰學而時習之不亦悦乎	馬融曰子者男子之通稱謂孔子也王肅曰時者學者以時誦習之誦習以時學無廢業所以爲悦懌也
有朋自逺方来不亦樂乎	苞氏曰同門曰朋也
人不知而不愠不亦君子乎	愠怒也丸人有所不知君子不愠也
有子曰	孔安國曰弟子有若
其爲人也孝悌而好犯上者鮮矣	鮮少也上謂九在巳上者言孝悌之人必有恭順好欲犯其上者少也
不好犯上而好作亂者未之有也君子務本本立而道生	本基也基立而後可大成也
孝悌也者其仁之本與	先能事父兄然後可乃仁成也
子曰巧言令色鮮矣仁	苞氏曰巧言好其言語令色善其顔色皆欲令人說之少能有仁也
曽子曰	馬融曰弟子曽參也
吾日三省吾身爲人謀而不忠乎與朋友交言而不信乎傳不習乎	言九所傳之事得無素不講習而傳乎
子曰導千乗之國	馬融曰導謂爲之政教也司馬法六尺爲歩歩百爲畒畒百爲夫夫三爲屋屋三爲井井十爲通通十爲城城出革車一乗然則千乗之賦其地千城也居地方三百一十六里有竒唯公侯之封乃能容之雖大國之賦亦不是過焉苞氏曰導治千乗之國者百里之國也古者井田方里爲井井十為乗百里之國適千乗也馬融依周礼苞氏依王制孟子義疑故兩存焉之
敬事而信	苞氏曰爲國者舉事必敬慎與民必誠信也
節用而愛人	苞氏曰莭用不奢侈國以民爲本故愛飬也
使民以時	苞氏曰作使民必以其時不妨奪農務也
子曰弟子入則孝出則悌謹而信汎愛衆而親仁行有餘力則以學文	馬融曰文者古之遺文也
子夏曰賢賢易色	孔安國曰子夏弟子卜商也言以好色之心好賢則善也
事父母能竭其力事君能致其身	孔安國曰盡忠節不愛其身也
與朋友交言而有信雖曰未學吾必謂之學矣子曰君子不重則不威學則不固	孔安國曰固弊也一曰言人不敢重既無威學又不能堅固識其義理也
主忠信無友不如巳者過則勿憚改	鄭玄曰主親也憚難也
曽子曰愼終追逺民徳歸厚矣	孔安國曰慎終者䘮盡其哀也追逺者祭盡其敬也人君行此二者民㐶其徳而皆歸於厚也
子禽問於子貢曰夫子至於是邦也必聞其政求之與抑與之與	鄭玄曰子禽弟子陳亢也子貢弟子姓端木名賜字子貢也尢恠孔子所至之邦必與聞其邦政求而得邪抑人君自願與爲治也
子貢曰夫子温良恭儉讓以得之夫子之求也其諸異乎人求之與	鄭玄曰言夫子行此五徳而得之與人求異明人君自願與爲治也
子曰父在觀其志父沒觀其行	孔安國曰父在子不得自專故觀其志而巳父沒乃觀其行也
三年無改於父之道可謂孝矣	孔安國曰孝子在喪哀慕猶若父在無所改於父之道也
有子曰禮之用和為貴先王之道斯為羙小大由之有所不行知和而和不以禮節之亦不可行也	馬融曰人知禮貴和而每事從和不以禮為節亦不可行也
有子曰信近於義言可復也	復猶覆也義不必信信不必義也以其言可反覆故曰近於義也
恭近於禮逺耻辱也	苞氏曰恭不合禮非禮也以其能逺耻辱故曰近於禮也
因不失其親亦可宗也	孔安國曰因親也言所親不失其親亦可宗敬也
子曰君子食無求飽居無求安	鄭玄曰學者之志有所不暇也
敏於事而愼於言就有道而正焉可謂好學也巳矣	孔安國曰敏疾也有道有道徳者也正謂問事是非也
子貢曰貧而無謟冨而無驕何如子曰可也	孔安國曰未足多也
未若貧而樂道富而好禮者也	鄭玄曰樂謂志於道不以貧賤爲憂苦也
子貢曰詩云如切如磋如琢如磨其斯之謂與	孔安國曰能貧而樂道冨而好禮能自切磋琢磨者也
子曰賜也始可與言詩巳矣告諸徃而知来者也	孔安國曰諸之也子貢知引詩以成孔子義善取類也故然之徃告以貧而樂道来荅以切磋琢磨者
子	_
曰	_
不	_
患	_
人	_
之	_
不	_
巳	_
知	_
患	_
巳	_
不	_
知	_
人	_
也	_
