論語公冶長第五何晏集解	凢廿九章
子謂公冶長可妻也雖在縲紲之中非其罪也以其子妻之	孔安國曰公冶長弟子鲁人也姓公冶名長也縲黒索紲攣也所以拘於罪人也
子謂南容邦有道不廢邦無道免於刑戮以其兄之子妻之	王肅曰南容弟子南宫縚也鲁人也字子容不廢言見任用也
子謂子賤	孔安國曰子賤鲁人弟子密不齊也
君子哉若人鲁無君子者斯焉取斯	苞氏曰若人若此人也如鲁無君子子賤安得此行而學行之
子貢問曰賜也如何子曰汝器也	孔安國曰言汝器用之人也
曰何器也曰瑚璉也	苞氏曰瑚璉者黍稷之器也夏曰瑚殷曰璉周曰簠簋宗廟器之貴者也
或曰雍也仁而不佞	馬融曰雍弟子仲弓名也姓冉也
子曰焉用佞也禦人以給屢憎民不知其仁也焉用佞也	孔安國曰屢數也佞人口辭捷給數爲民之所憎之也
子使􁇀彫𨳩仕對曰吾斯之未能信	孔安國曰𨳩弟子也􁇀彫姓也𨳩名也仕進之道未能信者未能究習也
子說	鄭玄曰喜其志道之深也
子曰道不行乗桴浮於海從我者其由也與	馬融曰桴編竹木也大者曰筏小者曰桴
子路聞之喜	孔安國曰喜與巳俱行矣
子曰由也好勇過我無所取材	鄭玄曰子路信夫子欲行故言好勇過我也無所取材者言無所取桴材也以子路不解微言故戯之耳也一曰子路聞孔子欲浮海便喜不復顧望故孔子歎其勇曰過我無所復取哉言唯取於巳也古材哉同
孟武伯問子路仁乎子曰不知也	孔安國曰仁道至大不可全名也
又問子曰由也千乗之國可使治其賦也	孔安國曰賦兵賦也
不知其仁也求也何如子曰求也千室之邑百乗之家可使爲之宰也	孔安國曰千室之邑卿大夫之邑也卿大夫稱家諸侯千乗卿大夫故曰百乗也宰家臣也
不知其仁也赤也何如子曰赤也束帶立於朝可使與賔客言也	馬融曰赤弟子公西華也有容儀可使爲行人之也
不知其仁也子謂子貢曰女與回也孰愈	孔安國曰愈猶勝也
對曰賜也何敢望回回也聞一以知十賜也聞一以知二子曰弗如也吾與女弗如也	苞氏曰既然子貢弗如復云吾與女俱不如者盖欲以慰子貢心也
宰予晝寢	苞氏曰宰予弟子宰我也
子曰朽木不可彫也	苞氏曰朽腐也彫彫琢刻畫也
糞圡之牆不可杇也	王肅曰杇槾也二者喻雖施功猶不成也
於予與何誅	孔安國曰誅責也今我當何責於汝乎深責之辭也
子曰始吾於人也聴其言而信其行今吾於人也聴其言而觀其行於予與改是	孔安國曰改是始聴言信行今更察言觀行發於宰我之晝寢也
子曰吾未見剛者或對曰申棖	苞氏曰申棖鲁人也
子曰棖也慾焉得剛	孔安國曰慾多情慾之也
子貢曰我不欲人之加諸我也吾亦欲無加諸人也	馬融曰加凌也
子曰賜也非爾所及也	孔安國曰言不能止人使不加非義於巳之也
子貢曰夫子之文章可得而聞也	章明也文彩形質著見可得以耳目脩也
夫子之言性與天道不可得而聞也巳矣	性者人之所受以生也天道者元亨日新之道也深微故不可得而聞也
子路有聞未能行唯恐有聞	孔安國曰前所聞未及得行故恐後有聞不得並行也
子貢問曰孔文子何以謂之文也	孔安國曰孔文子衛大夫孔叔圉也文謚也
子曰敏而好學不恥下問是以謂之文也	孔安國曰敏者識之疾也下問問凡在巳下者也
子謂子産有君子之道四焉	孔安國曰子産鄭大夫公孫僑也
其行巳也恭其事上也敬其飬民也惠其使民也義子曰晏平仲善與人交乆而人敬之	周生烈曰齊大夫晏姓也平諡也名嬰也
子曰臧文仲居蔡	苞氏曰臧文仲鲁大夫臧孫辰也文謚也蔡國君之守龜也出蔡地囙以爲名焉長尺有二寸居蔡僣也
山節藻梲	苞氏曰節者栭也刻鏤爲山也梲者梁上之楹盡爲藻文也言其奢侈也
何如其知也	孔安國曰非時人謂以爲知之
子張問曰令尹子文	孔安國曰令尹子文楚大夫姓闘名㝅於蒐也
三仕爲令尹無喜色三巳之無愠色舊令尹之攻必以告新令尹何如也子曰忠矣曰仁矣乎曰未知焉得仁	孔安國曰伹聞其忠事未知其仁也
崔子弑齊君陳文子有馬十乗棄而違之	孔安國曰皆齊大夫也崔杼作乱陳文子惡之捐四十匹馬違而去之
至於他邦則又曰猶吾大夫崔子也違之至一邦則又曰猶吾大夫崔子也違之何如子曰清矣曰仁矣乎曰未知焉得仁	孔安國曰文子避悪逆無道求有道當春秋時臣淩其君皆如崔子無有可者也
季文子三思而後行子聞之曰再思斯可矣	鄭玄曰季文子鲁大夫季孫行父也文謚也文子忠而有賢行其舉事寡過不必及三思之也
子曰寗武子	馬融曰衛大夫寗喻也武謚也
邦有道則知邦無道則愚其知可及也其愚不可及也	孔安國曰詐愚似實故曰不可及也
子在陳曰歸與歸與吾黨之小子狂簡斐然成章不知所以裁之也	孔安國曰簡大也孔子在陳思歸欲去曰吾黨之小子狂者進取於大道妄穿鑿以成文章不知所以裁制我當歸以裁制之耳遂歸也
子曰伯夷叔齊不念舊悪怨是用希	孔安國曰伯夷叔齊孤竹君之二子也孤竹國名也
子曰孰謂微生髙直	孔安國曰微生姓也名高鲁人也
