論語先進第十一何晏集解	凢二十三章
子曰先進於禮樂野人也後進於禮樂君子也	先進後進謂士先後輩也禮樂因丗損益後進與禮樂俱得時之中斯君子矣先進有古風斯野人也
如用之則吾從先進	苞氏曰將移風易俗歸之純素先進猶近古風故從之也
子曰從我於陳蔡者皆不及門者也	鄭玄曰言弟子之從我而厄於陳蔡者皆不及仕進之門而失其所也
子曰徳行顔淵閔子騫冉伯牛仲弓言語宰我子貢政事冉有季路文學子游子夏子曰回也非助我者也於吾言無所不說	孔安國曰助猶益也言回聞言即解無可發起增益
好學孔子對曰有顔回者好學不遷怒不貳過不幸短命死矣今也則亡未聞好學者也顔淵死顔路請子之車	孔安國曰顔路顔淵之父也家貧故欲請孔子之車賣以作柳
子曰才不才亦各言其子也鯉死有棺而無槨吾不可徒行以爲之槨以吾從大夫之後吾以不可徒行也	孔安國曰鯉孔子之子伯魚孔子時爲大夫故言吾從大夫之後不可以徒行是謙辭也
顔淵死子曰噫	苞氏曰噫痛傷之聲
天喪予天䘮予	天喪予者若䘮巳也再言之者痛惜之甚也
顔淵死子哭之慟	馬融曰慟哀過也
從者曰子慟矣子曰有慟乎	孔安國曰不自知巳之悲哀之遣也
非夫人之爲慟而誰爲慟顔淵死門人欲厚葬之子曰不可	禮貧冨各有冝顔淵家貧而門人欲厚葬之故不聴也
門人厚葬之子曰回也視予猶父也予不得視猶子也非我也夫二三子也	馬融曰言回自有父父意欲聴門人厚葬之我不得制止非其厚葬故云尒也
季路問事鬼神子曰未能事人焉能事鬼曰敢問事死曰未知生焉知死	陳群曰鬼神及死事難明語之無益故不荅也
閔子騫侍側誾誾如也子路行行如也冉子子貢侃侃如也子樂	鄭玄曰樂各盡其性也行行剛強之貌也
若由也不得其死然	孔安國曰不得以夀終也
魯人爲長府閔子騫曰仍舊貫如之何何必改作	鄭玄曰長府蔵名也蔵貨曰府仍因也貫事也囙舊事則可何乃復更改作也
子曰夫人不言言必有中	王肅曰言必有中善其不欲勞民改作之也
