說命中第十三商書孔氏傳惟說命緫百官	在冡宰之任緫音揔
重意	緫百官周官統百官
乃進于王曰嗚呼明王奉若天道建邦設都	天有日月北斗五星二十八宿皆有尊卑相正之法言明王奉順此道以立國設都宿音秀
重意	奉若天道仲虺之誥奉若天命○建邦設都武成建邦啓土
樹后王君公承以大夫師長	言立君臣上下將陳爲治之本故先舉其始王于方反長丁丈反治直史反下同
不惟逸豫惟以亂民	不使有位者逸豫民上言立之主使治民豫羊慮反
惟天聦明惟聖時憲惟臣欽若惟民從乂	憲法也言聖王法天以立教臣敬順而奉之民以從上爲治從才容反
重意	惟天聦明惟聖時憲仲虺之誥惟天生聦明時乂
惟口起羞惟甲冑起戎	甲鎧胄兠鍪也言不可輕教令易用兵冑直又反鎧苦代反兠丁侯反鍪莫侯反易以䜴反
惟衣裳在笥惟干戈省厥躬	言服不可加非其人兵不可任非其才笥息嗣反省息井反一本作眚
互註	記緇衣兊命曰惟口起羞惟甲冑起兵惟衣裳在笥惟干戈省厥躬注云惟口起辱當愼言語也惟甲冑起兵當愼軍旅之事也惟衣裳在笥當服以爲禮也惟干戈省厥躬當恕己不尚害人也
王惟戒兹允兹克明乃罔不休	言王戒愼此四惟之事信能明政乃無不美
惟治亂在庶官	言所官得人則治失人則亂
官不及私昵惟其能	不加私昵惟能是官昵女乙反
爵罔及惡德惟其賢	言非賢不爵
慮善以動動惟厥時	非善非時不可動
有其善䘮厥善矜其能䘮厥功	雖天子亦必讓以得之䘮息浪反
惟事事乃其有備有備無患	事事非一事
無啓寵納侮	開寵非其人則納侮之道
無恥過作非	恥過誤而丈之遂成大非
惟厥攸居政事惟醇	其所居行皆如所言則王之政事醇粹醇音純粹雖遂反
黷于祭祀時謂弗欽禮煩則亂事神則難	祭不欲數數則黷黷則不敬事神禮煩則亂而難行髙宗之祀特豐數近廟故說因以戒之黷徒木反數色角反
王曰旨哉說乃言惟服	旨美也美其所言皆可服行
乃不良于言予罔聞于行	汝若不善於所言則我無聞於所行之事
說拜稽首曰非知之艱行之惟艱	言知之易行之難以勉髙宗
重言	說拜稽首二又見下篇
王忱不艱允恊于先王成德	王心誠不以行之爲難則信合於先王成德忱市林反
惟說不言有厥咎	王能行善而說不言則有其咎罪
