召誥第十四周書孔氏傳成王在豐欲宅洛邑	成王克商遷九鼎於洛邑欲以爲都故成王居焉
使召公先相宅	相所居而卜之遂以陳戒召時照反相息亮反下注同
作召誥召誥	召公以成王新即政因相宅以作誥
惟二月旣望	周公攝政七年二月十五日日月相望因紀之
越六日乙未王朝歩自周則至于豐	於巳望後六日二十一日成王朝行從鎬京則至于豐以遷都之事告文王廟告文王則武王可知以祖見考鎬胡老反見腎遍反下不見同
重言	王朝歩自周則至於豐三武成本篇畢命二篇無則字
惟太保先周公相宅	太保三公官名召公也召公於周公前相視洛居周公後往先悉薦反又如字
越若來三月惟丙午朏越三日戊申太保朝至于洛卜宅	朏明也月三日明生之名於順來三月丙午朏於朏三日三月五日召公早朝至于洛邑相卜所居朏芳尾反又普没反徐又芳憤反
重意	三月惟丙午朏畢命六月庚午朏〇太保朝至于洛洛誥朝至于洛師
厥旣得卜則經營	其巳得吉卜則經營規度城郭郊廟朝市之位處度待洛反朝直遥反處昌慮反
越三日庚戌太保乃以庶殷攻位于洛汭越五日甲寅位成	於戊申三日庚戌以衆殷之民治都邑之位於洛水北今河南城也於庚戌五日所治之位皆成言衆殷本其所自來汭如銳反
若翼日乙卯周公朝至于洛	周公順位成之明日而朝至于洛汭
則逹觀于新邑營	周公通逹觀新邑所營言周徧
越三日丁巳用牲于郊牛二	於乙卯三日用牲告立郊位於天以后稷配故二牛后稷貶於天有羊豕羊豕不見可知
越翼日戊午乃社于新邑牛一羊一豕一	告立社稷之位用太牢也共工氏子曰句龍能平水土祀以爲社周祖后稷能殖百穀祀以爲稷社稷共牢共音恭句故侯反
越七日甲子周公乃朝用書命庶殷侯甸男邦伯	於戊午七日甲子是時諸侯皆㑹故周公乃昧爽以賦功屬役書命衆殷侯甸男服之邦伯使就功邦伯方伯即州牧也屬音燭
厥旣命殷庶庶殷丕作	其巳命殷衆衆殷之民大作言勸事
太保乃以庶邦冡君出取幣乃復入	諸侯公卿並覲於王王與周公俱至文不見王無事召公與諸侯出取幣欲因大㑹顯周公復扶又反
錫周公曰拜手稽首旅王若公	召公以幣入稱成王命賜周公曰敢拜手稽首陳王所冝順周公之事
重言	拜手稽首四本篇二立政篇二
誥告庶殷越自乃御事	召公指戒成王而以衆殷諸侯於自乃御治事爲辭謙也諸侯在故託焉
嗚呼皇天上帝改厥元子兹大國殷之命	歎皇天改其太子此大國殷之命言紂雖爲天所太子無道猶改之言不可不愼
惟王受命無疆惟休亦無疆惟恤	所以戒成王天改殷命惟王受之乃無窮惟美亦無窮惟當憂之
重意	受命無疆惟休君奭我受命無疆惟休太甲實萬丗無疆之休
嗚呼曷其奈何弗敬	何其奈何不憂敬之欲其行敬
重言	曷其奈何弗敬二前見五子之歌無曷其二字
天旣遐終大邦殷之命兹殷多先哲王在天	言天巳逺終殷命此殷多先智王精神在天不能救者以紂不行敬故
越厥後王後民兹服厥命	於其後王後民謂先智王之後繼丗君臣比服其命言不恭
厥終智藏􁄺在	其終後王之終謂紂也賢智隠藏􁄺病者在位言無良臣瘝工顔反
夫知保抱攜持厥婦子以哀籲天徂厥亡出執	言困於虐政夫知保抱其子攜持其妻以哀號呼天告冤無辜往其逃亡出見執殺無地自容所以窮夫知並如字注同籲音喻呼也號戸髙反
嗚呼天亦哀于四方民其眷命用懋	民哀呼天天亦哀之其顧視天下有德者命用勉敬者爲民主
王其疾敬德相古先民有夏	言王當疾行敬德視古先民有夏之王以爲法戒之
天迪從子保面稽天若今時旣墜厥命	夏禹能敬德天道從而子安之禹亦面考天心而順之今是桀棄禹之道天巳墜其王命
重言	面稽天若今時旣墜厥命二見下文
今相有殷	次復觀有殷
天迪格保面稽天若	言天道所以至於保安湯者亦如禹
