蔡仲之命第十九周書孔氏傳蔡叔旣没	以罪放而卒
王命蔡仲踐諸侯位	成王也父卒命子罪不相及
作蔡仲之命	冊書命之
蔡仲之命	蔡國名仲字因以名篇
惟周公位冡宰正百工	百官緫巳以聽冢宰謂武王崩時
羣叔流言乃致辟管叔于商囚蔡叔于郭鄰以車七乗	致法謂誅殺囚謂制其出入郭鄰中國之外地名從車七乗言少管蔡國名辟婢亦反徐扶亦反乗䋲證反從才用反
降霍叔于庻人三年不齒	罪輕故退爲衆人三年之後乃齒録封爲霍侯子孫爲晉所㓕
蔡仲克庸祗德周公以爲卿士	蔡仲能用敬德稱其賢也明王之法誅父用子言至公周公圻内諸侯二卿治事圻巨依反下同
叔卒乃命諸王邦之蔡	叔之所封圻内之蔡仲之所封淮汝之間圻内之蔡名巳㓕故取其名以名新國欲其戒之
王若曰小子胡	言小子明當受教訓胡仲名順其事而告之
重言	小子胡二本篇
惟爾率德改行克慎厥猷	言汝循祖之德改父之行能愼其道歎其賢行下孟反
肆予命爾侯于東土往即乃封敬哉	以汝率德改行之故故我命汝爲諸侯於東土往就汝所封之國當修已以敬哉封如字徐音甫用反
重言	敬哉五康誥二洛誥本篇君陳各一
爾尚蓋前人之愆惟忠惟孝	汝當庻幾修德掩蓋前人之過子能蓋父所以爲惟忠惟孝
爾乃邁迹自身克勤無怠以垂憲乃後	汝乃行善迹用汝身使可蹤迹而法循之能勤無懈怠以垂法子孫丗丗稱頌乃當我意
率乃祖文王之彛訓無若爾考之違王命	言當循文武之常教以父違命爲丗戒
重意	率乃祖文王之彛訓太甲率乃祖之攸行君牙率乃祖考之攸行
皇天無親惟德是輔民心無常惟惠之懷	天之於人無有親踈惟有德者則輔佐之民心於上無有常主惟愛己者則歸之
重意	皇天無親止惟惠之懷太甲下皇天無親克敬惟親民罔常懷懷于有仁
互注	左僖公五年晉侯復假道於虞以伐虢宫之竒諫云云公曰吾享祀豐㓗神必據我對曰臣聞之鬼神非人是親惟德是依故周書曰皇天無親惟德是輔又曰黍稷非馨明德惟馨又曰民不易物惟德其物如是則非德民不和神不享矣神所慿依將在德矣
爲善不同同歸于治爲惡不同同歸于亂	言人爲善爲惡各有百端未必正同而治亂所歸不殊冝慎其微治直吏反
重意	爲善止于亂大甲下與治同道罔不興與亂同事罔不亡
爾其戒哉慎厥𥘉惟厥終終以不困不惟厥終終以困窮	汝其戒治亂之機哉作事云爲必慎其𥘉念其終則終用不困窮
重言	爾其戒哉二本篇君陳
重意	惟厥終君奭惟其終
懋乃攸績睦乃四鄰以蕃王室以和兄弟	勉汝所立之功親汝四鄰之國以蕃屏王室以和協同姓之邦諸侯之道懋音茂蕃芳元反注同
重言	以蕃王室又見微子之命
康濟小民率自中無作聦明亂舊章	汝爲政當安小民之居成小民之業循用大中之道無敢爲小聦明作異辯以變乱舊典文章
詳乃視聽罔以側言改厥度則予一人汝嘉	詳審汝視聽非禮義勿視聽無以邪巧之言易其常度必
