亂主所任任同已者
乃胥惟虐于民至于百爲大不克開	桀之衆士乃相與惟暴虐於民至於百端所爲言虐非一大不能開民以善言與桀合志
乃惟成湯克以爾多方簡代夏作民主	乃惟成湯能用汝衆方之賢大代夏政爲天下民主
愼厥麗乃勸厥民刑用勸	湯愼其施政於民民乃勸善其人雖刑亦用勸善言政刑清
以至于帝乙罔不明德愼罰亦克用勸	言自湯至于帝乙皆能成其王道畏愼輔相無不明有德愼去刑罰亦能用勸善相息亮反去羌吕反
重言	亦克用勸三見下文
重意	以至于帝乙罔不明德愼罰多士自成易至于帝乙罔不明德恤祀
要囚殄戮多罪亦克用勸開釋無辜亦克用勸	帝乙巳上要祭囚情絶戮衆罪亦能用勸善開放無罪之人必無枉縱亦能用勸善要一遥反又一妙反注同殄亭遍反上時掌反
今至于爾辟弗克以爾多方享天之命	今至于汝君謂紂不能用汝衆方享天之命故誅滅之辟必亦反
重言	享天之命二見下文
嗚呼王若曰誥告爾多方非天庸釋有夏	歎而順其事以告汝衆方非天用釋棄桀桀縱惡自棄故誅放
非天庸釋有殷乃惟爾辟以爾多方大淫圖天之命屑有辭	非天用棄有殷乃惟汝君紂用汝衆方大爲過惡者共謀天之命惡事盡有辭說布在天下故見誅滅
乃惟有夏圖厥政不集于享天降時䘮有邦間之	更說桀也言桀謀其政不成于享故天下是䘮亡以禍之使天下有國聖人代之言有國明皇天無親佑有德間間厠之間
重言	圗厥政三本篇二君陳一
乃惟爾商後王逸厥逸	後王紂逸豫其過逸言縱恣無度
圖厥政不蠲烝天惟降時䘮	紂謀其政不絜進于善故天惟下是䘮亡謂誅滅蠲吉玄反馬云明也一音圭烝絶句之承反馬云升也
惟聖罔念作狂惟狂克念作聖	惟聖人無念於善則爲狂人惟狂人能念於善則爲聖人言桀紂非實狂愚以不念善故滅亡
天惟五方	衆方天下諸侯
惟五月丁亥王來自奄至于宗周	周公歸政之明年淮夷奄又叛魯征淮夷作費誓王親征奄滅其國五月還至鎬京費音祕鎬胡老反
周公曰王若曰猷告爾四國多方	周公以王命順大道告四方稱周公以别王自告别彼列反
惟爾殷侯尹民我惟大降爾命爾罔不知	殷之諸侯正民者我大下汝命謂誅紂也言天下無不知紂暴虐以取亡
洪惟圖天之命弗永寅念于祀惟帝降格于夏	大惟爲王謀天之命不長敬念于祭祀謂夏桀惟天下至戒於夏以譴告之謂災異譴棄戰反
有夏誕厥逸不肯慼言于民	有夏桀不畏天戒而大其逸豫不肯憂言於民無憂民之言
乃大淫昬不克終日勸于帝之迪	言桀乃大爲過昬之行不能終日勸於天之道迪徒歷反馬本作攸云所也行下孟反
乃爾攸聞	言桀之惡乃汝所聞
厥圖帝之命不克開于民之麗	桀其謀天之命不能開於民所施政教麗施也言昬昧麗力馳反
乃大降罰崇亂有夏因甲于内亂	桀乃大下罰於民重亂有夏言殘虐外不憂民内不勤德因甲於二亂之内言昬甚重直用反又直龍反
不克靈承于旅罔丕惟進之恭洪舒于民	言桀不能善奉於人衆無大惟進恭德而大舒惰於治民
亦惟有夏之民叨懫日欽劓割夏邑	桀洪舒於民故亦惟有夏之民貪叨忿懫而逆命於是桀日尊敬其能劓割夏邑者謂殘賊臣懫勑二反說文之二反劓魚器反
天惟時求民主乃大降顯休命于成湯	天惟是桀惡故更求民主以代之大下明美之命於成湯使王天下
刑殄有夏惟天不卑純	命湯刑絶有夏惟天下與桀亦巳大卑必二反
乃惟以爾多方之義民不克永于多享	天所以不與桀以其乃惟用汝多方之義民爲臣而不能長乆多享國故
惟夏之恭多士大不克明保享于民	惟桀之所謂恭人衆士大不能明安享于民言
年須暇之子孫誕作民主罔可念聽	天以湯故五年須暇湯之子孫冀其改悔而紂大爲民主肆行無道事無可念言無可聽武王服䘮三年還師二年
天惟求爾多方大動以威開厥顧天	天惟求汝衆方之賢者大動紂以威開其能顧天可以代者
惟爾多方罔堪顧之惟我周王靈承于旅	惟汝衆方之中無堪顧天之道者惟我周王善奉於衆言以仁政得人心
重意	惟我周王靈承于旅多上今惟我周王丕靈承帝事
克堪用德惟典神天	言周文武能堪用德惟可以主神天之祀任天王任音壬
天惟式教我用休簡卑殷命尹爾多方	天以我用德之故惟用教我用美道代殷大與我殷之王命以正汝衆方之諸侯卑并至反
今我曷敢多誥我惟大降爾四國民命	今我何敢多誥汝而巳我惟大下汝四國民命謂誅管蔡商奄之君
重意	我惟大降爾四國民命多士予大降爾四國民命
爾曷不忱𥙿之于爾多方	汝何不以誠信行寛𥙿之道於汝衆方欲其戒四國崇和恊
爾曷不夾介乂我周王享天之命	夾近也汝何不近大見治於我周王以享天之命而爲不安乎夾音恊注同
重言	享天之命二見本篇上文
今爾尚宅爾宅畋爾田爾曷不惠王熈天之命	今汝殷之諸侯皆尚得居汝常居臣民皆尚得畋汝故田汝何不順從王政廣天之命而自懷疑乎
爾乃迪屢不靜爾心未愛	汝所蹈行數爲不安汝心未愛我周故數色角反
爾乃不大宅天命爾乃屑播天命	汝乃不大居安天命是汝乃盡播棄天命
爾乃自作不典圖忱于正	汝未愛我周播棄天命是汝乃自爲不常謀信于正道
我惟時其教告之我惟時其戰要囚之	我惟汝如是不謀信于正道故其教告之謂訊以文誥其戰要囚之謂討其倡亂執其朋黨要一遥反訊音信倡音唱
至于再至于三	再謂三監淮夷叛時三謂成王即政又叛言迪屢不静之事
乃有不用我降爾命我乃其大罰殛之	我教告戰要囚汝巳至再三汝其有不用我命我乃大下誅汝君乃其大罰誅之殛紀力反本又作極
非我有周秉德不康寜乃惟爾自速辜	非我有周執德不安寜自誅汝乃惟汝自召罪以取誅
王曰嗚呼猷告爾有方多士曁殷多士	王歎而以道告汝衆方與殷多士
今爾奔走臣我監五祀	監謂成周之監此指謂所遷頑民殷衆士今汝奔走來徒臣我我監五年無過則得還本土
越惟有胥伯小大多正爾罔不兌臬	於惟有相長事小大衆正官之人汝無不能用法欲其皆用法臬魚列反馬本作㓷長丁丈反
自作不和爾惟和哉爾室不睦爾惟和哉爾邑克明爾惟克勤乃事	小大多正自爲不和汝有方多士當和之哉汝親近室家不睦汝亦當和之哉汝邑中能明是汝惟能勤汝職事
爾尚不忌于凶德亦則以穆穆在乃位	汝庶幾不自忌入于凶德亦則用敬敬常在汝位
克閱于乃邑謀介爾乃自時洛邑尚永力畋爾田	汝能使我閱具于汝邑而以汝所謀爲大則汝乃用是洛邑庶幾長力畋汝田矣言雖遷徙而以修善得反邑里閱音恱
天惟卑矜爾我有周惟其大介賚爾	汝能修善天惟與汝憐汝我有周惟其大大賜汝言受多福之祚
