君陳第二十三周書孔氏傳周公旣没命君陳分正東郊成周	成王重周公所營故命君陳分居正東郊成周之邑里官司君陳鄭注禮記云周公之子
作君陳	作書命之
君陳	臣名也因以名篇
王若曰君陳惟爾令德孝恭	言其有令德善事父母行己以恭
惟孝友于兄弟克施有政	言善父母者必友于兄弟能施有政令
命汝尹兹東郊敬哉	正此東郊監殷頑民教訓之監工銜反
重意	尹兹東郊微子之命尹兹東夏
重言	敬哉五康誥二洛誥蔡仲之命本篇各一又皐陶謨敬哉有上
昔周公師保萬民民懷其德往愼乃司兹率厥常	言周公師安天下之民民歸其德今往承其業當愼汝所主此循其常法而教訓之
懋昭周公之訓惟民其乂	勉明周公之教惟民其治懋音茂
我聞曰至治馨香感于神明黍稷非馨明德惟馨	所聞上古聖賢之言政治之至者芬芳馨氣動於神明所謂芬芳非黍稷之氣乃明德之馨勵之以德治直吏反下住政治同
重言	我聞曰六無浼二康誥多土本篇畢命各一
重意	至治馨香感于神明酒誥弗惟德馨香祀登聞于天吕刑罔有馨香德刑發聞惟腥
互註	見前蔡仲之命
爾尚式時周公之猷訓惟日孜孜無敢逸豫	汝庶幾用是周公之道教殷民惟當日孜孜勤行之無敢自寛暇逸豫孜音兹
重意	惟日孜孜益稷予思日孜孜
凡人未見聖若不克見旣見聖亦不克由聖	此言凡人有𥘉無終未見聖道如不能得見巳見聖道亦不能用之所以無成
爾其戒哉爾惟風下民惟草	汝戒勿爲凡人之行民從上教而變猶草應風而偃不可不愼行下孟反下德行同應應對之應
重言	爾其戒哉二前見泰誓
圖厥政莫或不艱有廢有興出入自爾師虞庶言同則繹	謀其政無有不先慮其難有所廢有所起出納之事當用汝衆言度之衆言同則陳而布之禁其專繹音亦度待洛反
重言	圖厥政三多方二本篇一
互註	記緇衣君陳曰出入自爾師虞庶言同注云言出内政教尚由汝衆之所謀度衆言同乃行之政教當由一也
爾有嘉謀嘉猷則入告爾后于内爾乃順之于外	汝有善謀善道則入告汝君於内汝乃順行之於外
曰斯謀斯猷惟我后之德	此善謀此善道惟我君之德善則稱君人臣之義
嗚呼臣人咸若時惟良顯哉	歎而美之曰臣於人者皆順此道是惟良臣則君顯明於丗
重言	臣人咸若時皐陶謨咸若時
互註	記坊記子云善則稱君過則稱己則民作忠君陳曰爾有嘉謀嘉猷入告爾君于内女乃順之于外曰此謀此猷惟我君之德於乎是惟良顯哉注云美君之德
王曰君陳爾惟弘周公丕訓無依勢作威無倚法以削	汝爲政當闡大周公之大訓無乗勢位作威人上無倚法制以行刻削之政
寛而有制從容以和	寛不失制動不失和德教之治從七容反
殷民在辟予曰辟爾惟勿辟予曰宥爾惟勿宥惟厥中	殷人有罪在刑法者我曰刑之汝勿刑我曰赦宥汝勿宥惟其當以中正平理斷之辟婢亦反下同中如字或丁仲反斷丁亂反
重意	惟厥中大禹謨允執厥中民恊于中吕刑故乃明于刑之中
有弗若于汝政弗化于汝訓辟以止辟乃辟	有不順於汝政不變於汝教刑之而懲止犯刑者乃刑之
狃于姦宄敗常亂俗三細不宥	習於姦宄凶惡毀敗五常之道以亂風俗之教罪雖小二犯不赦所以絶惡源狃女九反
爾無忿疾于頑無求備于一夫	人有頑嚚不喻汝當訓之無忿怒疾之使人當器之無責備于一夫
重意	無求備于一夫伊訓與人不求備
必有忍其乃有濟有容德乃大	爲人君長必有所含忍其乃有所成有所包容德乃爲大欲其忍恥藏垢長誅丈反
簡厥修亦簡其或不修	簡别其德行修者亦别其有不修者善以勸能惡以沮否别彼列反阻在汝反否方九反又音鄙
進厥良以率其或不良	進顯其賢良者以率勉其有不良者使爲善
惟民生厚因物有遷	言人自然之性敦厚因所見所習之物有變遷之道故必愼所以示之
違上所命從厥攸好	人之於上不從其令從其所好故人主不可不愼所好好呼報反
爾克敬典在德時乃罔不變允升于大猷	汝治人能敬常在道德是乃無不變化其政教則信升于大道
惟予一人膺受多福	汝能升大道則惟我一人亦當受其多福無凶危
重言	惟予一人二本篇康王之誥又景命惟予一人無良
重意	惟予一人膺受多福畢命予小子永膺多福
其爾之休終有辭於永丗	非但我受多福而巳其汝之美名亦終見稱誦於長丗没而不朽長如字朽許乆反
