顧命第二十四周書孔氏傳成王將崩命召公畢公	二公爲二伯中分天下而治之治直吏反
率諸侯相康王作顧命	臨終之命曰顧命相息亮反顧工戸反命馬云成王將崩顧念康王命召公畢公率諸侯輔相之
顧命	實命羣臣叙以要言
惟四月哉生魄王不懌	成王崩年之四月始生魄月十六日王有疾故不恱懌懌音亦馬本作不釋云不釋疾不解也
重意	惟四月哉生魄武成厥四月哉生明康誥惟三月哉生魄
甲子王乃洮頮水相𬒳冕服憑玉几	王大發大命臨羣臣必齋戒沭浴今疾病故但洮盥頮面扶相者𬒳以冠冕加朝服慿玉几以出命洮他刀反徐音逃馬云洮洮髪也頮音悔說文作沬云古文作頮馬云頮頮面也𬒳皮義反徐扶僞反注同慿皮氷反下同說文作凭云依凡也字林同父氷反齋側皆反盥音管又音灌朝直遥反
重言	慿玉几二重見篇末
乃同召太保奭芮伯彤伯畢公衛侯毛公	同召六卿下至御治事太保畢毛稱公則三公矣此先後六卿次第冡宰第一召公領之司徒第二芮伯爲之宗伯第三彤伯爲之司馬第四畢公領之司冦第五衛侯爲之司空第六毛公領之召芮彤畢衛毛皆國名入爲天子公卿奭音釋芮如銳反彤徒冬反
師氏虎臣百尹御事	師氏大夫官虎臣虎賁氏百尹百官之長及諸御治事者賁音奔長丁丈反
王曰嗚呼疾大漸惟幾	自歎其疾大進篤推危殆幾音機徐音畿下同
病日臻旣彌留恐不獲誓言嗣兹予審訓命汝	病日至言困甚已乆留言無瘳恐不得結信岀言嗣續我志以此故我詳䉒教命汝瘳勑留反
昔君文王武王宣重光奠麗陳教則肄	言昔先君文武布其重光累聖之德定天命施陳教則勤勞重光上直龍反馬云日月星也大極上元十一月朔旦冬至日月如疊璧五星如連珠故曰重光麗力馳反肄徐以至反又音以制反
重意	宣重光舜典重華恊于帝
肄不違用克逹殷集大命	文武定命陳教雖勞而不違道故能通殷爲周成其大命
在後之侗敬迓天威嗣守文武大訓無敢昬逾	在文武後之侗稚成王自斤敬迎天之威命言奉順繼守文武大教無敢昬亂逾越言戰傈畏懼侗徐音同又勑動反馬本作詷云共也斥昌亦反
重意	嗣守文武大訓君牙嗣守文武成康遺緒
今天降疾殆弗興弗悟爾尚明時朕言	今天下疾我身甚危殆不起不悟言必死汝當庻幾明是我言勿忽畧
用敬保元子釗弘濟于艱難	用奉我言敬安太子釗釗康王名大渡於艱難勤德政釗姜遼反又音昭徐之肴反
柔逺能邇安勸小大庻邦	言當和逺又能和近安小大衆國勸使爲善
重言	柔逺能邇三舜典本篇文侯
思夫人自亂於威儀爾無以釗冐貢于非幾	羣臣皆冝思夫人夫人自治正於威儀有威可畏有儀可象然後足以率人汝無以釗冒進于非危之事夫人如字注同冐亡報反一音墨馬鄭王作朂貢如字馬鄭王作贑音勑用反馬云䧟也
兹旣受命還	此羣臣已受顧命各還本位
出綴衣于庭越翼日乙丑王崩	綴衣幄帳羣臣旣退徹出幄帳於庭王寢於北墉下東首反𥘉生於其明日王崩出如字徐尺遂反綴丁衛反下同王崩馬本作成王崩注云安民立政曰成幄於角反下同墉音容本亦作牖首手又反
太保命仲桓南宫毛	冡宰攝政故命二臣相毛名
俾爰齊侯吕伋以二干戈虎賁百人逆子釗于南門之外	臣子皆侍左右將正太子之尊故出於路寢門外使桓毛二臣各執干戈於齊侯吕伋索虎賁百人更新逆門外所以殊之伋爲天子虎賁氏俾必爾反伋居及反齊侯名太公子
延入翼室恤宅宗	明室路寢延之使居憂爲天下宗主
丁卯命作冊度	三日命史爲冊書法度傳顧命於康王度舊音杜洛反恐誤注云作冊書法度音冝如字傳直專反
越七日癸酉伯相命士須材	邦伯爲相則召公於丁卯七日癸酉召公命士致材木須待以供䘮用相息亮反供音恭
狄設黼扆綴衣	狄下士扆屏風畫爲斧文置户牖間復設幄帳象平生所爲黼音甫徐音𥙷扆於豈反屏歩經反畫胡卦反牖音酉復扶又反
牖間南嚮敷重篾席黼純華玉仍几	篾桃枝竹白黒雜繒縁之華彩色華玉以飾慿几仍因也因生時几不改作此見羣臣覲諸侯之坐嚮許亮反篾眠結反馬云纎蒻純之允反又之閏反下同緣恱絹反本或作純
