康王之誥第二十五周書孔氏傳康王旣尸天子	尸主也主天子之正號康王旣尸天子馬本此句上更有成王崩三字
遂誥諸侯作康王之誥	旣受顧命羣臣陳戒遂誥報之因事曰遂
康王之誥	求諸侯之見匡弼
王出在應門之内	出畢門立應門内之中庭南面
太保率西方諸侯入應門左畢公率東方諸侯入應門右	二公爲二伯各率其所掌諸侯隨其方爲位皆北靣
皆布乗黃朱	諸侯皆陳四黄馬朱鬛以爲庭實乗繩證反鬛力輒反
賔稱奉圭兼幣曰一二臣衛敢執壤奠	賔諸侯也舉奉圭兼幣之辭言一二見非一也爲蕃衛故曰臣衛來朝而遇國䘮遂因見新王敢執壤地所出而奠贄也壤如丈反見賢遍反下同蕃方袁反朝直遥反䘮息浪反贄音至
皆再拜稽首王義嗣德荅拜	諸侯拜送幣而首至地盡禮也康王以義繼先人明德荅其拜受其幣盡子忍反
重言	皆再拜稽首一見下侯甸男衛康誥侯甸男邦采衛酒誥侯甸男衛
惟予一人釗報誥	報其戒
昔君文武丕平冨不務咎	言先君文武道大政化平美不務咎惡
重意	昔君文武冏命昔在文武
厎至齊信用昭明于天下	致行至中信之道用顯明於天下言聖德洽厎之履反至齊馬讀絶句
則亦有熊羆之士不二心之臣保乂王家	言文武旣聖則亦有勇猛如熊羆之士忠一不二心之臣共安治王家熊音雄羆彼皮反
重意	則亦有熊羆之士泰誓如熊如羆
用端命于上帝皇天用訓厥道付卑四方	君聖臣良用受端直之命於上天大天用順其道付與四方之國王天下卑必利反徐甫至反王于况反
乃命建侯樹屏在我後之人	言文武乃施政令立諸侯樹以爲蕃屏傳王業在我後之人謂子孫
今予一二伯父尚胥曁顧綏爾先公之臣服于先王	天子稱同姓諸侯曰伯父言今我一二伯父庶幾相與顧念文武之道安汝先公之臣服於先王而法循之
雖爾身在外乃心罔不在王室	言雖汝身在外士爲諸侯汝心常當忠篤無不在王室熊羆之士勵朝臣此督諸侯
用奉恤厥若無遺鞠子羞	當各用心奉憂其所行順道無自荒怠遺我稚子之羞辱稚子康王自謂也鞠音菊
羣公旣皆聽命相揖趨出	巳聽誥命趨出罷退諸侯歸國朝臣就次
王釋冕反䘮服	脫去黼冕反服䘮服居倚廬去羌吕反
