畢命第二十六周書孔氏傳康王命作冊畢	命爲冊書以命畢公
分居里成周郊	分別民之居里異其善惡成定東周郊境使有保護別彼列反
作畢命畢命	言畢公見命之書
惟十有二年六月庚午朏	康王即位十二年六月三日庚午朏普忽反徐芳尾反又芳憒反
重意	六月庚午朏召誥篇三月惟丙午朏
越三日壬申王朝歩自宗周至于豐	於朏三日壬申王朝行自宗周至于豐宗周鎬京豐文王所都朝陟遥反鎬戸老反
重言	王朝歩自宗周至于豐三武成召誥本篇他篇無宗字
以成周之衆命畢公保釐東郊	用成周之民衆命畢公使安理治正成周東郊令得所釐力之反治正上直吏反一本作治政則依字讀令力呈反
王若曰嗚呼父師惟文王武王敷大德于天下用克受殷命	王順其事歎告畢公代周公爲大師爲東伯命之代君陳言文武布大德於天下故天佑之用能受殷之王命大師音泰
惟周公左右先王綏定厥家	言周公助先王安定其家
毖殷頑民遷于洛邑密邇王室式化厥訓	毖殷頑民恐其叛亂故徙於洛邑密近王室用化其教毖音袐近如字又附近之近
旣歷三紀丗變風移四方無虞予一人以寜	言殷民遷周巳經三紀丗代民易頑者漸化四方無可度之事我天子用安矣十二年曰紀父子曰丗度待洛反舊作待路反
重意	予一人以寜康誥則予一人以懌
道有升降政由俗革不臧厥臧民罔攸觀	天道有上下交接之義政教有用俗改更之理民之俗善以善養之俗有不善以法御之若乃不善其善則民無所勸慕上時掌反更古行反
惟公懋德克勤小物弼亮四丗正色率下罔不祗師言	言公勉行德能勤小物輔佐文武成康四丗爲公卿正色率下下人無不敬仰師法懋音茂
嘉績多于先王予小子垂拱仰成	公之善功多大先人之美我小子爲王垂拱仰公成理言其上顯父兄下施子孫拱九勇反仰如字徐五亮反
重言	予小子六泰誓武成金縢洛誥君陳本篇
重意	垂拱仰成武成垂拱而天下治
王曰嗚呼父師今予祗命公以周公之事往哉	今我敬命公以周公所爲之事往爲之哉言非周公所爲不敢枉公往治治直吏反
旌别淑慝表厥宅里彰善癉惡樹之風聲	言當識别頑民之善惡表異其居里明其爲善病其爲惡立其善風揚其善聲别彼列反癉丁但反
弗率訓典殊厥井疆俾克畏慕	其不循教道之常則殊其井居田界使能畏爲惡之禍慕爲善之福所以沮勸俾必爾反沮辭汝反又慈吕反
申畫郊圻愼固封守以康四海	郊圻雖舊所規畫當重分明之又當謹愼堅固封疆之守備以安四海京圻安則四海安矣守徐始救反重直用反
政貴有恒辭尚體要不惟好異	政以仁義爲常辭以理實爲要故貴尚之若異於先王君子所不好好呼報反
商俗靡靡利口惟賢餘風未殄公其念哉	紂以靡靡利口惟賢覆亡國家今殷民利口餘風未絶公其念絶之覆芳服反
重意	公其念哉益稷帝其念哉大禹謨帝念哉益稷伊訓念哉
我聞曰丗禄之家鮮克由禮以蕩陵德實悖天道	特言我聞自古有之丗有禄位而無禮教少不以放蕩陵邈有德者如此實亂天道鮮息淺反悖布内反
重言	我聞曰六無逸二康誥多士君陳本篇各一
敝化奢麗萬丗同流	言敝俗相化車服奢麗雖相去萬丗若同一流敝歩寐反
兹殷庶士席寵惟舊怙侈滅義服美于人	此殷衆士居寵日乆怙恃奢侈以滅德義服飾過制美於其民言僭上怙音戸
驕淫矜侉將由惡終雖收放心閑之惟艱	言殷衆士驕恣過制矜其所能以自侉大如此不變將用惡自終雖今順從周制心未壓服以禮閑禦其心惟艱侉苦瓜反壓於葉反又於甲反又於豔反
資冨能訓惟以永年惟德惟義時乃大訓不由古訓于何其訓	以冨資而能順義則惟可以長年命矣惟有德義是乃大順若不用古訓典籍於何其能順乎
王曰嗚呼父師邦之安危惟兹殷士不剛不柔厥德允修	言邦國所以安危惟在和此殷士而巳治之不剛不柔寛猛相濟則其德政信修立
惟周公克愼厥始惟君陳克和厥中惟公克成厥終	周公遷殷頑民以消亂階能愼其始君陳弘周公之訓能和其中畢公闡二公之烈能成其終
三后協心同厎于道道洽政治澤潤生民	三君合心爲一終始相成同致于道道至普洽政化治理其德澤惠施乃浸潤生民言三君之功不可不尚政治直吏反施始豉反浸子鴆反
重意	道洽政治澤潤生民舜典好生之德洽于民心
四夷左衽罔不咸頼予小子永膺多福	言東夷西戎南蠻北狄𬒳髪左祍之人無不皆恃頼三君之德我小子亦長受其多福祍而甚反又而鴆反
重言	予小子六泰誓武成金縢洛誥君陳本篇
重意	予小子永膺多福君陳惟予一人膺受多福
公其惟時成周建無窮之基亦有無窮之聞	公其惟以是成周之治爲周家立無窮之基業於公亦有無窮之名聞於後丗爲于僞反
子孫訓其成式惟乂	言後丗子孫順公之成法惟以治
嗚呼罔曰弗克惟旣厥心	人之爲政無曰不能惟在盡其心而巳
罔曰民寡惟愼厥事	無曰人少不足治也惟在愼其政事無敢輕之少詩照反
欽若先王成烈以休于前政	敬順文武成業以美於前人之政所以勉畢公
