大射儀第七儀禮鄭氏注大射之儀君有命戒射	將有祭祀之事當射宰告於君君乃命之言君有命政教冝由尊者
宰戒百官有事於射者	宰於天子冢宰治官卿也作大事則掌以君命戒於百官
射人戒諸公卿大夫射司士戒士射與賛者	射人掌以射法治射儀司士掌國中之士治凡其戒命皆司馬之屬也殊戒公卿大夫與士辨貴賤也賛佐也謂士佐執事不射者
前射三日宰夫戒宰及司馬射人宿視滌	宰夫冡宰之屬掌百官之徴令者司馬於天子政官之卿凡大射則合其六耦滌謂漑噐埽除射宫
司馬命量人量侯道與所設乏以貍歩大侯九十參七十干五十設乏各去其侯西十北十	量人司馬之屬掌量道巷塗數者侯謂所射布也尊者射之以威不寧侯卑者射之以求爲侯量侯道謂去堂逺近也容謂之乏所以爲獲者之禦矢貍之伺物每舉足者正視逺近爲發必中也是以量侯道取象焉郷射記曰侯道五十弓考工記曰弓之下制六尺則此貍歩六尺明矣大侯熊侯謂之大者與天子熊侯同參讀爲糝糝雜也雜侯者豹鵠而麋飾下天子大夫也干讀爲豻豻侯者豻鵠豻飾也大夫將祭於巳射麋侯士無臣祭不射
遂命量人巾車張三侯大侯之崇見鵠於參參見鵠於干千不及地武不繫左下綱設乏西十北十凡乏用革	巾車於天子宗伯之屬掌裝衣車者亦使張侯侯巾類崇高也高必見鵠鵠所射之主射義曰爲人君者以爲君鵠爲人臣者以爲臣鵠爲人父者以爲父鵠爲人子者以爲子鵠言射中此乃能任巳位也鵠之言較較直也射者所以直巳志或曰鵠鳥名射之難中中之爲俊是以所射於侯取名也淮南子曰鳱鵠知來然則所云正者正也亦鳥名齊魯之間名題肩爲正正鵠皆鳥之捷黠者考工記曰梓人爲侯廣與崇方參分其廣而鵠居一焉則大侯之鵠方六尺糝侯之鵠方四尺六寸大半寸豻侯之鵠方三尺三寸少半寸及至也武迹也中人之足長尺二寸以豻侯計之糝侯去地一丈五寸少半寸也大侯去地二丈二尺五寸少半寸凡侯北靣西方謂之左前射三日張侯設乏欲使有事者豫志焉
樂人宿縣于阼階東笙磬西面其南笙鍾其南鑮皆南陳	笙猶生也東爲陽中萬物以生春秋傳曰大蔟所以金奏賛陽出滯沽洗所以脩絜百物考神納賔是以東方鍾磬謂之笙皆編而縣之周禮曰凡縣鍾磬半爲堵全爲肆有鍾有磬爲全鑮如鍾而大奏樂以鼓鑮爲節
建鼔在阼階西南鼓應鼙在其東南鼓	建猶樹也以木貫而載之樹之跗也南鼓謂所伐靣也應􁎅應朔鼙也先擊朔鼙應之鼙小鼓也在東便其先擊小後擊大也鼔不在東縣南爲君也
西階之西頌磬東面其南鍾其南鑮皆南陳一建鼓在其南東鼓朔鼙在其北	言成功日頌西爲隂中萬物之所成春秋傳曰夷則所以詠歌九則平民無忒無射所以宣布哲人之令德示民軌義是以西方鍾磬謂之頌朔始也奏樂先擊西鼙樂爲賔所由來也鍾不言頌鼙不言東鼓義同省文也古文頌爲庸
一建鼓在西階之東南面	言面者國君於其群臣備三面爾無鍾磬有鼔而巳其爲諸侯則軒縣
簜在建鼓之閒	簜竹也謂笙簫之屬倚於堂
鼗倚于頌磬西紘	鼗如鼓而小有柄賔至摇之以奏樂也紘編磬繩也設鼗於磬西倚于紘也王制曰天子賜諸侯樂則以柷將之賜伯子男樂則以鼗將之
厥明司宫尊于東楹之西兩方壷膳尊兩甒在南有豐幂用錫若絺綴諸箭蓋幂加勺又反之皆玄尊酒在北	膳尊君尊也後陳之尊之也豐以承尊也說者以爲若井鹿盧其爲字從豆􁏅聲近似豆大而卑矣幂覆尊巾也錫細布也絺細葛也箭篠也爲幂蓋卷辟綴於篠橫之也又反之爲覆勺也皆玄尊二者皆有玄酒之尊重夲也酒在北尊綂於君南爲上也唯君面尊言專惠也今文錫或作緆絺或作綌古文箭作晉
尊士旅食于西鑮之南北面兩圜壷	旅衆也士衆食未得正禄謂庻人在官者圜壷變於方也賤無玄酒
又尊于大侯之乏東北兩壷獻酒	爲隷僕人巾車糝侯豻侯之獲者獻讀爲沙沙酒濁特泲之必摩沙者也兩壷皆沙酒郊特牲曰汁獻涗于醆酒服不之尊俟時而陳於南統於侯皆東靣
設洗于阼階東南罍水在東篚在洗西南陳設膳篚在其北西面	或言南陳或言西面異其文也
又設洗于獲者之尊西北水在洗北篚在南東陳	亦統於侯也無爵因服不也有篚爲奠虚爵也服不之洗亦俟時而陳於其南
小臣設公席于阼階上西郷司宫設賔席于戶西南面有加席卿席賔東東上小卿賔西東上大夫繼而東上若有東面者則北上席工于西階之東東上諸公阼階西北面東上	唯賔及公席布之也其餘樹之於位後耳小卿命於其君者也席於賔西射禮辨貴賤也諸公大國有孤卿一人與君論道亦不典職如公矣
官饌	百官各饌其所當共之物
羮定	亨肉孰也射義曰諸侯之射也必先行燕禮燕禮牲用狗
射人告具于公公升即位于席西郷小臣師納諸公卿大夫諸公卿大夫皆入門右北面東上士西方東面北上大史在干侯之東北北面東上士旅食者在士南北面東上小臣師從者在東堂下南面西上	大史在于侯東北士旅食者在士南爲有侯入庭深也小臣師正之佐也正相君出入君之大命
公降立于阼階之東南南鄕小臣師詔揖諸公卿大夫諸公卿大夫西面北上揖大夫大夫皆少進	詔告也變爾言揖亦以其入庭深也上言大夫誤衍耳
大射正擯	大射正射人之長
擯者請賔公曰命某爲賔	某大夫名
擯者命賔賔少進禮辭	命賔者東面南顧辭辭以不敏
反命	以賔之辭告於君
又命之賔再拜稽首受命	又復
擯者反命賔出立于門外北面公揖卿大夫升就席小臣自阼階下北面請執幂者與羞膳者	請士可使執君兩甒之幂及羞脯醢庻羞於君者方圜壷獻無幂
乃命執幂者執幂者升自西階立于尊南北面東上	命者於西階前以公命命之東上執玄尊之幂爲上羞膳者從而東由堂東升自北階立于房中西面南上不言命者不升堂略之
膳宰請羞于諸公卿者	膳宰請者異於君也
擯者納賔賔及庭公降一等揖賔賔辟	及至也辟逡遁不敢當盛
公升即席	以賔將與主人爲禮不參之
奏肆夏	肆夏樂章名今亡吕叔玉云肆夏時邁也時邁者大平廵守祭山川之樂歌其詩曰明昭有周式序在位又曰我求懿德肆于時夏奏此以延賔其著宣王德勸賢與周禮曰賔出入奏肆夏
賔升自西階主人從之賔右北面至再拜賔荅再拜	主人宰夫也又掌賔客之獻飲食君於臣雖爲賔不親獻以其莫敢亢禮
主人降洗洗南西北面	賔將從降郷之不於洗北辟正主
賔降階西東面主人辭降賔對	對荅
主人北面盥坐取觚洗賔少進辭洗主人坐奠觚于篚興對賔反位	賔少進者所辭異宜違其位也獻不用爵辟正主
主人卒洗賔揖升	賔毎先升尊也
主人升賔拜洗主人賔右奠觚荅拜降盥賔降主人辭降賔對卒盥賔揖升主人升坐取觚	取觚將就瓦甒酌膳
執幂者舉幂主人酌膳執幂者蓋幂酌者加勺又反之	反之覆勺
筵前獻賔賔西階上拜受爵于筵前反位主人賔右拜送爵	賔旣拜於筵前受爵退復位
宰胥薦脯醢	宰胥宰官之吏也不使膳宰薦不主於飲酒變於燕
賔升筵庶子設折俎	庻子司馬之屬掌正六牲之體者也鄕射記曰賔俎脊脅肩肺不使膳宰設俎爲射變於燕
賔坐左執觚右祭脯醢奠爵于薦右興取肺坐絶祭嚌之興加于俎坐挩手執爵遂祭酒興席末坐啐酒降席坐奠爵拜告旨執爵興主人荅拜	降席席西也旨美也
樂闋	闋止也樂止者尊賔之禮盛於上也
賔西階上北面坐卒爵興坐奠爵拜執爵興主人荅拜賔以虚爵降	旣卒爵將酢也
主人降賔洗南西北面坐奠觚少進辭降主人西階西東面少進對賔坐取觚奠于篚下盥洗	篚下篚南
主人辭洗賔坐奠觚于篚興對卒洗及階揖升主人升拜洗如賔禮賔降盥主人降賔辭降卒盥揖升酌膳執幂如初以酢主人于西階上主人北面拜受爵賔主人之左拜送爵	賔南面授爵乃於左拜凡授爵郷所受者
主人坐祭不啐酒	辟正主也未薦者臣也
不拜酒	主人之義燕禮曰不拜酒不告旨
遂卒爵興坐奠爵拜執爵興賔荅拜主人不崇酒以虚爵降奠于篚	不崇酒辟正主也崇充也謂謝酒惡相充實
賔降立于西階西東面	旣受獻矣不敢安盛
擯者以命升賔賔升立于西序東面	命公命也東西牆謂之序
主人盥洗象觚升酌膳東北面獻于公	象觚觚有象骨飾者也取象觚東面不言實之變於燕
公拜受爵乃奏肆夏	言乃者其飾異於賔
主人降自西階阼階下北面拜送爵宰胥薦脯醢由左房庶子設折俎升自西階	自由也左房東房也人君左右房郷射記曰主人俎脊脅臂肺也
公祭如賔禮庶子賛授肺不拜酒立卒爵坐奠爵拜執爵興	凡異者君尊變於賔
主人荅拜樂闋升受爵降奠于篚更爵洗升酌散以降酢于阼階下北面坐奠爵再拜稽首公荅拜	更易也易爵不敢襲至尊古文更爲受
主人坐祭遂卒爵興坐奠爵再拜稽首公荅拜主人奠爵于篚主人盥洗升媵觚于賔酌散西階上坐奠爵拜賔西階上北面荅拜	媵送也散方壷之酒也古文媵皆作騰
主人坐祭遂飮賔辭卒爵興坐奠爵拜執爵興賔荅拜	辭者辭其代君行酒不立飲也比於正主酬也
主人降洗賔降主人辭降賔辭洗卒洗賔揖升不拜洗	不拜洗酬而禮殺也
主人酌膳賔西階上拜受爵于筵前反位主人拜送爵賔升席坐祭酒遂奠于薦東	遂者因坐而奠之不北面也奠之者酬不舉也
主人降復位賔降筵西東南面立	賔不立於序内位彌尊
小臣自阼階下請媵爵者公命長	命之使選於長幼之中也卿則尊士則卑
小臣作下大夫二人媵爵	作使
媵爵者阼階下皆北面再拜稽首公荅拜	再拜稽首拜君命
