秋官司宼第五鄭氏註惟王建國辨方正位體國經野設官分職以爲民極乃立秋官司宼使帥其屬而掌邦禁以佐王刑邦國	禁所以防姦者也刑正人之法孝經說曰刑者侀也過岀罪施
刑官之屬大司宼卿一人小司宼中大夫二人士師下大夫四人郷士上士八人中士十有六人旅下士三十有二人	士察也主察獄訟之事者鄭司農說以論語曰柳下惠爲士師郷士主六郷之獄
府六人史十有二人胥十有二人徒百有二十人遂士中士十有二人府六人史十有二人胥十有二人徒百有二十人	遂士主六遂之獄者
縣士中士三十有二人府八人史十有六人胥十有六人徒百有六十人	距王城三百里至四百里曰縣縣士主縣之獄者
方士中士十有六人府八人史十有六人胥十有六人徒百有六十人	方士主四方都家之獄者
訝士中士八人府四人史八人胥八人徒八十人	訝迎也士官之迎四方賔客○訝五嫁反
朝士中士六人府三人史六人胥六人徒六十人	朝士主外朝之法○朝直遥反
司民中士六人府三人史六人胥三人徒三十人	司民主民數
司刑中士二人府一人史二人胥二人徒二十人司刺下士二人府一人史二人徒四人	刺殺也三訊罪定則殺之○刺七賜反
司約下士二人府一人史二人徒四人	約言語之約束○約於妙反一如字下同
司盟下士二人府一人史二人徒四人	盟以約辭告神殺牲㰱血明著其信也曲禮曰涖牲曰盟○㰱所洽反
職金上士二人下士四人府二人史四人胥八人徒八十人	職主也
司厲下士二人史一人徒十有二人	犯政爲惡曰厲厲士主盜賊之兵器及其奴者
犬人下士二人府一人史二人賈四人徒十有六人	○賈音嫁又音古
司圜中士六人下士十有二人府三人史六人胥十有六人徒百有六十人	鄭司農云圜謂圜土也圜土謂獄城也今獄城圜司圜職中言凡圜土之刑人也以此知圜謂圜土也又大司宼職曰以圜土聚敎罷民故司圜職曰掌收敎罷民○圜于權反罷音皮
掌囚下士十有二人府六人史十有二人徒百有二十人	囚拘也主拘繫當刑殺之者
掌戮下士二人史一人徒十有二人	戮猶辱也旣斬殺又辱之
司隷中士二人下士十有二人府五人史十人胥二十人徒二百人	隷給勞辱之役者漢始置司隷亦使將徒治道溝渠之役後稍尊之使主官府及近郡
