䷝	離下離上
離利貞亨	離之爲卦以柔爲正故必貞而後乃亨故曰利貞亨也
畜牝牛吉	柔處于内而履正中牝之善也外強而内順牛之善也離之爲體以柔順爲主者也故不可以畜剛猛之物而吉於畜牝牛也
彖曰離麗也	麗猶著也各得所著之冝
日月麗乎天百榖草木麗乎土重明以麗乎正乃化成天下柔麗乎中正故亨是以畜牝牛吉也	柔著于中正乃得通也柔通之吉極於畜牝牛不能及剛猛也
象曰明兩作離大人以繼明照于四方	繼謂不絶也明照相繼不絕曠也
初九履錯然敬之无咎	錯然者警愼之貌也處離之始將進而盛未在旣濟故冝愼其所履以敬爲務辟其咎也
象曰履錯之敬以辟咎也六二黃離元吉	居中得位以柔處柔履文明之盛而得其中故曰黃離元吉也
象曰黃離元吉得中道也九三日􁀈之離不鼓缶而歌則大耊之嗟凶	嗟憂歎之辭也處下離之終明在將没故曰日昊之離也明在將終若不委之於人養志无爲則至于耊老有嗴凶矣故曰不鼔缶而歌則大耊之嗟凶也
象曰日􁀈之離何可乆也九四突如其來如焚如死如棄如	處於明道始變之際昬而始暁没而始出故曰突如其來如其明始進其炎始盛故曰焚如逼近至尊履非其位欲進其盛以炎其上命必不終故曰死如違離之義无應无承衆所不容故曰棄如也
象曰突如其來如无所容也六五出涕沱若戚嗟若吉	履非其位不勝所履以柔乗剛不能制下下剛而進將來害己憂傷之深至于沱嗟也然所麗在尊四爲逆首憂傷至深衆之所助故乃沱嗟而獲吉也
象曰六五之吉離王公也上九王用出征有嘉折首獲匪其醜无咎	離麗也各得安其所麗謂之離處離之極離道巳成則除其非類以去民害王用出征之時也故必有嘉折首獲匪其醜乃得无咎也
象	_
曰	_
王	_
用	_
出	_
征	_
以	_
正	_
邦	_
也	_
