䷧	坎下震上
解利西南	西南衆也解難濟險利施於衆也亦不困于東北故不言不利東北也
无所往其來復吉有攸往夙吉	未有善於解難而迷於處安也解之爲義解難而濟厄者也无難可往以解來復則不失中有難而往則以速爲吉也无難則能復其中有難則能濟其厄也
彖曰解險以動動而免乎險解	動乎險外故謂之免免險則解故謂之解
解利西南往得衆也其來復吉乃得中也有攸往夙吉往有功也天地解而雷雨作雷雨作而百果草木皆甲坼	天地否結則雷雨不作交通感散雷雨乃作也雷雨之作則險厄者亨否結者散故百果草木皆甲坼也
解之時大矣哉	无所而不釋也難解之時非治難時故不言用體盡於解之名无有幽隱故不曰義
象曰雷雨作解君子以赦過宥罪初六无咎	解者解也屯難盤結於是乎解也處蹇難始解之初在剛柔始散之際將赦罪厄以夷其險處此之時不煩於位而无咎也
象曰剛柔之際義无咎也	或有過咎非其理也義猶理也
九二田獲三狐得黃矢貞吉	狐者隱伏之物也剛中而應爲五所住處於險中知險之情以斯解物能獲隱伏也故曰田獲三狐也黃理中之稱也矢直也田而獲三狐得乎理中之道不失枉直之實能全其正者也故曰田獲三狐得黃矢貞吉也
象曰九二貞吉得中道也六三負且乗致宼至貞吝	處非其位履非其正以附於四用夫柔邪以自媚者也乗二負四以容其身宼之來也自己所致雖幸而免正之所賤也
象曰負且乗亦可醜也自我致戎又誰咎也九四解而拇朋至斯孚	失位不正而比於三故三得附之爲其拇也三爲之拇則失初之應故解其拇然後朋至而信矣
象曰解而拇未當位也六五君子維有解吉有孚于小人	居尊履中而應乎剛可以有解而獲吉矣以君子之道解難釋險小人雖闇猶知服之而无怨矣故曰有孚于小人也
象曰君子有解小人退也上六公用射隼于髙墉之上獲之无不利	𥘉爲四應二爲五應三不應上失位負乗處下體之上故曰髙墉墉非隼之所處髙非三之所履上六居動之上爲解之極將解荒悖而除穢亂者也故用射之極而後動成而後舉故必獲之而无不利也
象	_
曰	_
公	_
用	_
射	_
隼	_
以	_
解	_
悖	_
也	_
