䷩	震下巽上
益利有攸往利渉大川彖曰益損上益下民說无疆	震陽也巽隂也巽非違震者也處上而巽不違於下損上益下之謂也
自上下下其道大光利有攸往中正有慶	五處中正自上下下故有慶也以中正有慶之德有攸往也何適而不利哉
利渉大川木道乃行	木者以渉大川爲常而不溺者也以益渉難同乎木也
益動而巽日進无疆天施地生其益无方	損上益下
凡益之道與時偕行	益之爲用施未足也滿而益之害之道也故凡益之道與時偕行也
象曰風雷益君子以見善則遷有過則改	遷善改過益莫大焉
初九利用爲大作元吉无咎	處益之初居動之始體夫剛德以莅其事而之乎巽以斯大作必獲大功夫居下非厚事之地在卑非任重之處大作非小功所濟故元吉乃得无咎也
象曰元吉无咎下不厚事也	時可以大作而下不可以厚事得其時而无其處故元吉乃得无咎也
六二或益之十朋之龜弗克違永貞吉王用享于帝吉	以柔居中而得其位處内履中居益以沖益自外來不召自至不先不爲則朋龜獻策同於損卦六五之位位不當尊故吉在永貞也帝者生物之主興益之宗出震而齊巽者也六二居益之中體柔當位而應於巽享帝之美在此時也
象曰或益之自外來也六三益之用凶事无咎有孚中行告公用圭	以隂居陽求益者也故曰益之益不外來己自爲之物所不與故在謙則戮救凶則免以隂居陽處下卦之上壯之甚也用救衰危物所恃也故用凶事乃得无咎也若能益不爲私志在救難壯不至亢不失中行以此告公國主所任也用圭之禮備此道矣故曰有孚中行告公用圭也公者臣之極也凡事足以施天下則稱王次天下之大者則稱公六三之才不足以告王足以告公而得用圭也故曰中行告公用圭也
象曰益用凶事固有之也	用施凶事乃得固有之也
六四中行告公從利用爲依遷國	居益之時處巽之始體柔當位在上應下卑不窮下髙不處亢位雖不中用中行者也以斯告公何有不從以斯依遷誰有不納也
象曰告公從以益志也	志得益也
九五有孚惠心勿問元吉有孚惠我德	得位履尊爲益之主者也爲益之大莫大於信爲惠之大莫大於心因民所利而利之焉惠而不費恵心者也信以惠心盡物之願故不待問而元吉有孚惠我德也以誠惠物物亦應之故曰有孚惠我德也
象曰有孚惠心勿問之矣惠我德大得志也上九莫益之或擊之立心勿恒凶	處益之極過盈者也求益无巳心无恒者也无厭之求人弗與也獨唱莫和是偏辭也人道惡盈怨者非一故曰或擊之也
象	_
曰	_
莫	_
益	_
之	_
偏	_
辭	_
也	_
或	_
擊	_
之	_
自	_
外	_
來	_
也	_
