䷱	巽下離上
鼎元吉亨	革去故而鼎取新取新而當其人易故而法制齊明吉然後乃亨故先元吉而後亨也鼎者成變之卦也革旣變矣則制器立法以成之焉變而无制亂可待也法制應時然後乃吉賢愚有别尊卑有序然後乃亨故先元吉而後乃亨
彖曰鼎象也	法象也
以木巽火亨飪也	亨飪鼎之用也
聖人亨以享上帝而大亨以養聖賢	亨者鼎之所爲也革去故而鼎成新故爲亨飪調和之器也去故取新聖賢不可失也飪孰也天下莫不用之而聖人用之乃上以享上帝而下以大亨養聖賢也
巽而耳目聦明	聖賢獲養則已不爲而成矣故巽而耳目聰明也
柔進而上行得中而應乎剛是以元亨	謂五也有斯二德故能成新獲大亨也
象曰木上有火鼎君子以正位凝命	凝者嚴整之貌也鼎者取新成變者也革去故而鼎成新正位者明尊卑之序也凝命者以成敎命之嚴也
初六鼎顚趾利出否得妾以其子无咎	凡陽爲實而隂爲虚鼎之爲物下實而上虚而今隂在下則是爲覆鼎也鼎覆則趾倒矣否謂不善之物也取妾以爲室主亦顚趾之義也處鼎之初將在納新施顚以出穢得妾以爲子故无咎也
象曰鼎顚趾未悖也	倒以寫否故未悖也
利出否以從貴也	棄穢以納新也
九二鼎有實我仇有疾不我能即吉	以陽之質處鼎之中有實者也有實之物不可復加益之則溢反傷其實我仇謂五也困於乗剛之疾不能就我則我不溢得全其吉也
象曰鼎有實愼所之也	有實之鼎不可復有所取才任巳極不可復有所加
我仇有疾終无尤也九三鼎耳革其行塞雉膏不食方雨虧悔終吉	鼎之爲義虚中以待物者也而三處下體之上以陽居陽守實无應无所納受耳冝空以待鉉而反全其實塞故曰鼎耳革其行塞雖有雉膏而終不能食也雨者隂陽交和不偏亢者也雖體陽爻而統屬隂卦若不全任剛亢務在和通方雨則悔虧終則吉也
象曰鼎耳革失其義也九四鼎折足覆公餗其形渥凶	處上體之下而又應初旣承且施非巳所堪故曰鼎折足也初巳出否至四所盛則巳絜矣故曰覆公餗也渥沾濡之貌也旣覆公餗體爲渥沾知小謀大不堪其任受其至辱災及其身故曰其形渥凶也
象曰覆公餗信如何也	不量其力果致凶災信如之何
六五鼎黃耳金鉉利貞	居中以柔能以通理納乎剛正故曰黃耳金鉉利貞也耳黃則能納剛正以自舉也
象曰鼎黃耳中以爲實也	以中爲實所受不妄也
上九鼎玉鉉大吉无不利	處鼎之終鼎道之成也居鼎之成體剛履柔用勁施鉉以斯處上髙不誡亢得夫剛柔之節能舉其任者也應不在一則靡所不舉故曰大吉无不利也
象	_
曰	_
玉	_
鉉	_
在	_
上	_
剛	_
柔	_
節	_
也	_
