䷿	坎下離上
未濟亨小狐汔濟濡其尾无攸利彖曰未濟亨柔得中也	以柔處中不違剛也能納剛健故得亨也
小狐汔濟未岀中也	小狐不能渉大川須汔然後乃能濟處未濟之時必剛健拔難然後乃能濟汔乃能濟未能出險之中
濡其尾无攸利不續終也	小狐雖能渡而无餘力將濟而濡其尾力竭於斯不能續終險難猶未足以濟也濟未濟者必有餘力也
雖不當位剛柔應也	位不當故未濟剛柔應故可濟
象曰火在水上未濟君子以愼辨物居方	辨物居方令物各當其所也
初六濡其尾吝	處未濟之初最居險下不可以濟者也而欲之其應進則溺身未濟之始始於旣濟之上六也濡其首猶不反至于濡其尾不知紀極者也然以隂處下非爲進亢遂其志者也困則能反故不曰凶事在巳量而必困乃反頑亦甚矣故曰吝也
象曰濡其尾亦不知極也九二曵其輪貞吉	體剛履中而應於五五體隂柔應與而不自任者也居未齊之時處險難之中體剛中之質而見任與拯救危難經綸屯蹇者也用健施難循難在正而不違中故曳其輪貞吉也
象曰九二貞吉中以行正也	位雖不正中以行正也
六三未濟征凶利渉大川	以隂之質失位居險不能自濟者也以不正之身力不能自濟而求進焉喪其身也故曰征凶也二能拯難而巳比之棄巳委二載二而行溺可得乎何憂未濟故曰利渉大川
象曰未濟征凶位不當也九四貞吉悔亡震用伐鬼方三年有賞于大國	處未濟之時而出險難之上居文明之初體乎剛質以近至尊雖履非其位志在乎正則吉而悔亡矣其志得行靡禁其威故曰震用伐鬼方也伐鬼方首興㐮之征也故每至興衰而取義焉處文明之𥘉始出於難其德未盛故曰三年也五居尊以柔體乎文明之盛不奪物功者也故以大國賞之也
象曰貞吉悔亡志行也六五貞吉无悔君子之光有孚吉	以柔居尊處文明之盛爲未濟之主故必正然後乃吉吉乃得无悔也夫以柔順文明之質居於尊位付與於能而不自役使武以文御剛以柔斯誠君子之光也付物以能而不疑也物則竭力功斯克矣故曰有孚吉
象曰君子之光其暉吉也上九有孚于飲酒无咎濡其首有孚失是	未濟之極則反於旣濟旣濟之道所任者當也所任者當則可信之无疑而巳逸焉故曰有孚于飲酒无咎也以其能信於物故得逸豫而不憂於事之廢苟不憂於事之廢而耽樂之甚則至于失節矣由於有孚失於是矣故曰濡其首有孚失是也
象	_
曰	_
飲	_
酒	_
濡	_
首	_
亦	_
不	_
知	_
節	_
也	_
