周易繫辭上第七韓康伯注天尊地卑乾坤定矣	乾坤其易之門戸先明天尊地卑以定乾坤之體
卑髙以陳貴賤位矣	天尊地卑之義旣列則渉乎萬物貴賤之位明矣
動靜有常剛柔斷矣	剛動而柔止也動止得其常體則剛柔之分著矣
方以類聚物以羣分吉凶生矣	方有類物有羣則有同有異有聚有分也順其所同則吉乖其所趣則凶故吉凶生矣
在天成象在地成形變化見矣	象况日月星辰形況山川草木也縣象運轉以成昬明山澤通氣而雲行雨施故髮化見矣
是故剛柔相摩	相切摩也言隂陽之交感也
八卦相盪	相推盪也言運化之推移
鼔之以雷霆潤之以風雨日月運行一寒一暑乾道成男坤道成女乾知大始坤作成物乾以易知坤以簡能	天地之道不爲而善始不勞而善成故曰易簡
易則易知簡則易從易知則有親易從則有功	順萬物之情故曰有親通天下之志故曰有功
有親則可久有功則可大	有易簡之德則能成可久可大之功
可久則賢人之德可大則賢人之業	天地易簡萬物各載其形聖人不爲羣方各遂其業德業旣成則入於形噐故以賢人目其德業
易簡而天下之理得矣	天下之理莫不由於易簡而各得順其分位也
天下之理得而成位乎其中矣	成位況立象也極易簡則通天下之理通天下之理故能成象並乎天地言其中則明並天地也
聖人設卦觀象	此緫言也
繫辭焉而明吉凶剛柔相推而生變化	繫辭所以明吉凶剛柔相推所以明變化也吉凶者存乎人事也變化者存乎運行也
是故吉凶者失得之象也	由有失得故吉凶生
悔吝者憂虞之象也	失得之微者足以致憂虞而已故曰悔吝
變化者進退之象也	往復相推迭進退也
剛柔者晝夜之象也	晝則陽剛夜則隂柔始緫言吉凶變化而下別明悔吝晝夜者悔吝則吉凶之類晝夜亦變化之道吉凶之類則同因繫辭而明變化之道則俱由剛柔而著故始緫言之下則明失得之輕重辨變化之小大故别序其義也
六爻之動三極之道也	三極三材也兼三材之道故能見吉凶成變化也
是故君子所居而安者易之序也	序易象之次序
所樂而玩者爻之辭也是故君子居則觀其象而玩其辭動則觀其變而玩其占是以自天祐之吉无不利彖者言乎象者也	彖緫一卦之義也
爻者言乎變者也	爻各言其變也
吉凶者言乎其失得也悔吝者言乎其小疵也无咎者善補過也是故列貴賤者存乎位	爻之所處曰位六位有貴賤也
齊小大者存乎卦	卦有小大也齊猶言辯也即彖者言乎象也
辯吉凶者存乎辭	辭爻辭也即爻者言乎變也言象所以明小大言變所以明吉凶故小大之義存乎卦吉凶之狀見乎爻至於悔吝无咎其例一也吉凶悔吝小疵无咎皆生乎變事有小大故下歷言五者之差也
憂悔吝者存乎介	介纎介也王弼曰憂悔吝之時其介不可慢也即悔吝者言乎小疵也
震无咎者存乎悔	无咎者善補過也震動也故動而无咎存乎其悔過也
是故卦有小大辭有險易	其道光明曰大君子道消曰小之泰則其辭易之否則其辭險
辭也者各指其所之易與天地準	作易以準天地
故能彌綸天地之道仰以觀於天文俯以察於地理是故知幽明之故原始反終故知死生之說	幽明者有形无形之象死生者始終之數也
精氣爲物遊魂爲變	精氣烟煴聚而成物聚極則散而遊魂爲變也遊魂言其遊散也
是故知鬼神之情狀	盡聚散之理則能知變化之道无幽而不通也
與天地相似故不違	德合天地故曰相似
知周乎萬物而道濟天下故不過	知周萬物則能以道濟天下也
旁行而不流	應變旁通而不流淫也
樂天知命故不憂	順天之化故曰樂也
安土敦乎仁故能愛	安土敦仁者萬物之情也物順其情則仁功贍矣
範圍天地之化而不過	範圍者擬範天地而周備其理也
曲成萬物而不遺	曲成者乘變以應物不係一方者也則物宜得矣
通乎晝夜之道而知	通幽明之故則无不知也
故神无方而易无體	自此以上皆言神之所爲也方體者皆係於形器者也神則隂陽不測易則唯變所適不可以一方一體明
一隂一陽之謂道	道者何无之稱也无不通也无不由也況之曰道寂然无體不可爲象必有之用極而无之功顯故至乎神无方而易无體而道可見矣故窮變以盡神因神以明道隂陽雖殊无一以待之在隂爲无隂隂以之生在陽爲无陽陽以之成故曰一隂一陽也
繼之者善也成之者性也仁者見之謂之仁知者見之謂之知	仁者資道以見其仁知者資道以見其知各盡其分
百姓日用而不知故君子之道鮮矣	君子體道以爲用也仁知則滯於所見百姓則日用而不知體斯道者不亦鮮矣故常无欲以觀其妙始可以語至而言極也
顯諸仁藏諸用	衣被萬物故曰顯諸仁日用而不知故曰藏諸用
鼓萬物而不與聖人同憂	萬物由之以化故曰鼓萬物也聖人雖體道以爲用未能全无以爲體故順通天下則有經營之功也
盛德大業至矣哉	夫物之所以通事之所以理莫不由乎道也聖人功用之母體同乎道盛德大業所以能至
富有之謂大業	廣大悉備故曰富有
日新之謂盛德	體化合變故曰日新
生生之謂易	隂陽轉易以成化生
成象之謂乾	擬乾之象
效法之謂坤	效坤之法
極數知來之謂占通變之謂事	物窮則變變而通之事之所由生也
隂陽不測之謂神	神也者變化之極妙萬物而爲言不可以形詰首也故曰隂陽不測嘗試論之曰原夫兩儀之運萬物之動豈有使之然哉莫不獨化於大虚欻爾而自造矣造之非我理自玄應化之无主數自冥運故不知所以然而況之神是以明兩儀以大極爲始變化而稱極乎神也夫唯知天之所爲者窮理體化坐忘遺照至虚而善應則以道爲稱不思而玄覽則以神爲名蓋資道而同乎道由神而冥於神者也
夫易廣矣大矣以言乎逺則不禦	窮幽極深无所止也
以言乎邇則靜而正	則近而當
以言乎天地之閒則備矣夫乾其靜也專其動也直是以大生焉	專專一也直剛正也
夫坤其靜也翕其動也闢是以廣生焉	翕歛也止則翕歛其氣動則闢開以生物也乾統天首物爲變化之元通乎形外者也坤則順以承陽功盡於已用止乎形者也故乾以專直言乎其材坤以翕闢言乎其形
廣大配天地變通配四時隂陽之義配日月易簡之善配至德	易之所載配此四義
子曰易其至矣乎夫易聖人所以崇德而廣業也	窮理入神其德崇也兼濟萬物其業廣也
知崇禮卑	知以崇爲貴禮以卑爲用
崇效天卑法地	極知之崇象天髙而統物備禮之用象地廣而載物也
天地設位而易行乎其中矣	天地者易之門戸而易之爲義兼周萬物故曰行乎其中矣
成性存存道義之門	物之存成由乎道義也
聖人有以見天下之賾而擬諸其形容象其物宜	乾剛坤柔各有其體故曰擬諸形容
是故謂之象聖人有以見天下之動而觀其㑹通以行其典禮	典禮適時之所用
繫辭焉以斷其吉凶是故謂之爻言天下之至賾而不可惡也言天下之至動而不可亂也	易之爲書不可逺也惡之則逆於順錯之則乖於理
擬之而後言議之而後動擬議以成其變化	擬議以動則盡變化之道
鳴鶴在隂其子和之我有好爵吾與爾靡之	鶴鳴則子和脩誠則物應我有好爵與物散之物亦以善應也明擬議之道継以斯義者誠以吉凶失得存乎所動同乎道者道亦得之同乎失者失亦違之莫不以同相順以類相應動之斯來綏之斯至鶴鳴于隂氣同則和出言戸庭千里或應出言猶然況其大者乎千里或應況其邇者乎故夫憂悔吝者存乎纎介定失得者愼於樞機是以君子擬議以動愼其微也
子曰君子居其室出其言善則千里之外應之况其邇者乎居其室出其言不善則千里之外違之况其邇者乎言出乎身加乎民行發乎邇見乎逺言行君子之樞機	樞機制動之主
樞機之發榮辱之主也言行君子之所以動天地也可不愼乎同人先號咷而後笑子曰君子之道或出或處或黙或語二人同心其利斷金	同人終獲後笑者以有同心之應也夫所况同者豈係乎一方哉君子出處黙語不違其中則其迹雖異道同則應
同心之言其臭如蘭初六藉用白茅无咎子曰苟錯諸地而可矣藉之用茅何咎之有愼之至也夫茅之爲物薄而用可重也愼斯術也以往其无所失矣勞謙君子有終吉子曰勞而不伐有功而不德厚之至也語以其功下人者也德言盛禮言㳟謙也者致㳟以存其位者也亢龍有悔子曰貴而無位髙而无民賢人在下位而无輔是以動而有悔也不出戸庭无咎子曰亂之所生也則言語以爲階君不密則失臣臣不密則失身幾事不密則害成是以君子愼密而不出也子曰作易者其知盗乎	言盗亦乘釁而至也
易曰負且乘致宼至負也者小人之事也乘也者君子之噐也小人而乘君子之噐盗思奪之矣上慢下暴盗思伐之矣慢藏誨盗冶容誨淫易曰負且乘致㓂至盗之招也大衍之數五十其用四十有九	王弼曰演天地之數所頼者五十也其用四十有九則其一不用也不用而用以之通非數而數以之成斯易之大極也四十有九數之極也夫无不可以无明必因於有故常於有物之極而必明其所由之宗也
分而爲二以象兩掛一以象三揲之以四以象四時歸竒於扐以象閏五歳再閏故再扐而後掛	竒况四揲之餘不足復揲者也分而爲二旣揲之餘合掛於一故曰再扐而後掛凡閏十九年七閏爲一章五歲再閏者二故略擧其凡也
天數五	五竒也
地數五	五耦也
五位相得而各有合	天地之數各五五數相配以合成金木水火土
天數二十有五	五竒合爲二十五
地數三十	五耦合爲三十
凡天地之數五十有五此所以成變化而行鬼神也	變化以此成鬼神以此行
乾之策二百一十有六	陽爻六一爻三十六策六爻二百一十六策
坤之策百四十有四	隂爻六一爻二十四策六爻一百四十四策
凡三百有六十當期之日二篇之策萬有一千五百二十當萬物之數也	二篇三百八十四爻隂陽各半合萬一千五百二十策
是故四營而成易	分而爲二以象兩一營也掛一以象三二營也揲之以四三營也歸竒於扐四營也
十有八變而成卦八卦而小成引而伸之	伸之六十四卦
觸類而長之天下之能事畢矣顯道	顯明也
神德行	由神以成其用
是故可與酬酢可與祐神矣	可與應對萬物之求助成神化之功也酬酢猶應對也
子曰知變化之道者其知神之所爲乎	夫變化之道不爲而自然故知變化者則知神之所爲
易有聖人之道四焉以言者尚其辭以動者尚其變以制噐者尚其象以卜筮者尚其占	此四者存乎噐象可得而用也
是以君子將有爲也將有行也問焉而以言其受命也如響无有逺近幽深遂知來物非天下之至精其孰能與於此參伍以變錯綜其數通其變遂成天地之文極其數遂定天下之象非天下之至變其孰能與於此易无思也无爲也寂然不動感而遂通天下之故非天下之至神其孰能與於此	夫非忘象者則無以制象非遺數者无以極數至精者无籌策而不可亂至變者體一而无不周至神者寂然而无不應斯盖功用之母象數所由立故曰非至精至變至神則不得與於斯也
夫易聖人之所以極深而研幾也唯深也故能通天下之志唯幾也故能成天下之務	極未形之理則曰深適動微之㑹則曰幾
唯神也故不疾而速不行而至子曰易有聖人之道四焉者此之謂也	四者由聖道以成故曰聖人之道
天一地二天三地四天五地六天七地八天九地十	易以極數通神明之德故明易之道先舉天地之數也
子曰夫易何爲者也夫易開物成務冐天下之道如斯而已者也	冐覆也言易通萬物之志成天下之志其道可以覆冐天下也
是故聖人以通天下之志以定天下之業以斷天下之疑是故蓍之德圎而神卦之德方以知	圎者運而不窮方者止而有分言蓍以圎象神卦以方象知也唯變所適无數不周故曰圎卦列爻分各有其體故曰方也
六爻之義易以貢	貢告也六爻變易以告吉凶
聖人以此洗心	洗濯萬物之心
退藏於密	言其道深微萬物日用而不能知其原故曰退藏於密猶藏諸用也
吉凶與民同患	表吉凶之象以同民所憂患之事故曰吉凶與民同患也
神以知來知以藏往	明蓍卦之用同神知也蓍定數於始於卦爲來卦成象於終於蓍爲往往來之用相成猶神知也
其孰能與此哉古之聦明叡知神武而不殺者夫	服萬物而不以威刑也
是以明於天之道而察於民之故是興神物以前民用	定吉凶於始也
聖人以此齊戒	洗心曰齊防患曰戒
以神明其德夫是故闔戸之謂坤	坤道包物
闢戸謂之乾	乾道施生
一闔一闢謂之變往來不窮謂之通見乃謂之象	兆見曰象
形乃謂之噐	成形曰噐
制而用之謂之法利用出入民咸用之謂之神是故易有大極是生兩儀	夫有必始於无故大極生兩儀也大極者无稱之稱不可得而名取其有之所極况之大極者也
兩儀生四象四象生八卦	卦以象之
八卦定吉凶	八卦旣立則吉凶可定
吉凶生大業	旣定吉凶則廣大悉備
是故法象莫大乎天地變通莫大乎四時縣象著明莫大乎日月崇髙莫大乎冨貴	位所以一天下之動而濟萬物
備物致用立成噐以爲天下利莫大乎聖人探賾索隱鉤深致逺以定天下之吉凶成天下之亹亹者莫大乎蓍龜是故天生神物聖人則之天地變化聖人效之天垂象見吉凶聖人象之河出圗洛出書聖人則之易有四象所以示也繫辭焉所以告也定之以吉凶所以斷也易曰自天祐之吉无不利子曰祐者助也天之所助者順也人之所助者信也履信思乎順又以尚賢也是以自天祐之吉无不利也子曰書不盡言言不盡意然則聖人之意其不可見乎子曰聖人立象以盡意設卦以盡情僞繫辭焉以盡其言變而通之以盡利	極變通之數則盡利也故曰易窮則變變則通通則久
鼔之舞之以盡神乾坤其易之緼耶	緼淵奥也
乾坤成列而易立乎其中矣乾坤毁則無以見易易不可見則乾坤或幾乎息矣是故形而上者謂之道形而下者謂之噐化而裁之謂之變	因而制其㑹通適變之道也
推而行之謂之通	乗變而往者無不通也
舉而錯之天下之民謂之事業	事業所以濟物故舉而錯之於民
是故夫象聖人有以見天下之賾而擬諸其形容象其物冝是故謂之象聖人有以見天下之動而觀其㑹通以行其典禮繫辭焉以斷其吉凶是故謂之爻極天下之賾者存乎卦鼓天下之動者存乎辭	辭爻辭也爻以鼔動效天下之動也
化而裁之存乎變推而行之存乎通神而明之存乎其人	體神而明之不假於象故存乎其人
黙而成之不言而信存乎德行	德行賢人之德行也順足於内故黙而成之也體與理㑹故不言而信也
