周易序卦第十有天地然後萬物生焉盈天地之間者唯萬物故受之以屯屯者盈也屯者物之始生也	屯剛柔始交故爲物之始生也
物生必蒙故受之以蒙蒙者蒙也物之穉也物穉不可不飬也故受之以需需者飲食之道也飲食必有訟故受之以訟	夫有生則有資有資則爭興也
訟必有衆起故受之以師師者衆也衆必有所比故受之以比	衆起而不比則爭无由息必相親比而後得寜也
比者比也比必有所畜故受之以小畜	比非大通之道則各有所畜以相濟也由比而畜故曰小畜而不能大也
物畜然後有禮故受之以履	履者禮也禮所以適用也故旣畜則冝用有用則須禮也
履而泰然後安故受之以泰泰者通也物不可以終通故受之以否物不可以終否故受之以同人	否則思通人人同志故可出門同人不謀而合
與人同者物必歸焉故受之以大有有大者不可以盈故受之以謙有大而能謙必豫故受之以豫豫必有隨	順以動者衆之所隨
故受之以隨以喜隨人者必有事故受之以蠱蠱者事也有事而後可大	可大之業由事而生
故受之以臨臨者大也物大然後可觀故受之以觀可觀而後有所合故受之以噬嗑	可觀則異方合㑹也
嗑者合也物不可以苟合而已故受之以賁賁者飾也	物相合則須飾以脩外也
致飾然後亨則盡矣故受之以剥	極飾則實䘮也
剥者剥也物不可以終盡剥窮上反下故受之以復復則不妄矣故受之以无妄有无妄然後可畜故受之以大畜物畜然後可飬故受之以頥頥者飬也不飬則不可動故受之以大過	不飬則不可動飬過則厚
物不可以終過故受之以坎坎者䧟也	過而不已則䧟沒也
䧟必有所麗故受之以離離者麗也	物窮則變極䧟則反所麗也
有天地然後有萬物有萬物然後有男女有男女然後有夫婦有夫婦然後有父子有父子然後有君臣有君臣然後有上下有上下然後禮義有所錯	言咸卦之義也凡序卦所明非易之緼也蓋因卦之次託以明義咸柔上而剛下感應以相與夫婦之象莫美乎斯人倫之道莫大乎夫婦故夫子殷勤深述其義以崇人倫之始而不係之於離也先儒以乾至離爲上經天道也咸至未濟爲下經人事也夫易六畫成卦三材必備錯綜天人以效變化豈有天道人事偏於上下哉斯蓋守文而不求義失之逺矣
夫婦之道不可以不久也故受之以恒恒者久也物不可以久居其所故受之以遯遯者退也	夫婦之道以恒爲貴而物之所居不可以恒冝與丗升䧏有時而遯也
物不可以終遯	遯君子以逺小人遯而後亨何可終邪則小人遂陵君子日消也
故受之以大壯	陽盛隂消君子道勝
物不可以終壯故受之以晉	晉以柔而進也
晉者進也	雖以柔而進要是進也
進必有所傷故受之以明夷	日中則昃月盈則食
夷者傷也傷於外者必反於家故受之以家人	傷於外必反脩諸内
家道窮必乖	室家至親過在失節故家人之義雖嚴與敬樂勝則流禮勝則離家人尚嚴其敝必乖也
故受之以睽睽者乖也乖必有難故受之以蹇蹇者難也物不可終難故受之以解解者緩也緩必有所失故受之以損損而不已必益故受之以益益而不已必決	益而不已則盈故必決也
故受之以夬夬者決也決必有遇	以正決邪必有嘉遇也
故受之以姤姤者遇也物相遇而後聚故受之以萃萃者聚也聚而上者謂之升故受之以升升而不已必困故受之以困困乎上者必反下故受之以井井道不可不革	井久則濁穢宜革易其故
故受之以革革物者莫若鼎故受之以鼎	革去故鼎耴新旣以去故則冝制噐立法以治新也鼎所以和濟生物成新之噐也故耴象焉
主噐者莫若長子故受之以震震者動也物不可以終動止之故受之以艮艮者止也物不可以終止故受之以漸漸者進也進必有所歸故受之歸妹得其所歸者必大故受之以豐豐者大也窮大者必失其居故受之以旅旅而无所容故受之以巽	旅而无所容以巽則得所入也
巽者入也入而後說之故受之以兊兊者說也說而後散之故受之以渙	說不可偏係故冝散也
渙者離也	渙者發暢而无所壅滯則殊趣各肆而不反則遂乖離也
物不可以終離故受之以節	夫事有其節則物之所同守而不散越也
節而信之故受之以中孚	孚信也旣已有節則冝信以守之
有其信者必行之故受之以小過	守其信者則失貞而不諒之道而以信爲過故曰小過也
有過物者必濟	行過乎㳟禮過乎儉可以矯丗属俗有所濟也
故受之以旣濟物不可窮也故受之以未濟終焉	有爲而能濟者以已窮物者也物窮則乖功極則亂其可濟乎故受之以未濟也
