周易雜卦第十一	雜卦者雜糅衆卦錯綜其義或以同相類或以異相明也
乾剛坤柔比樂師憂	雜比則樂動衆則憂
臨觀之義或與或求	以我臨物故曰與物來觀我故曰求
屯見而不失其居	屯利建侯君子經綸之時雖見而磐桓利貞不失其居也
蒙雜而著	雜者未知所定也求發其蒙則終得所定著定也
震起也艮止也損益盛衰之始也	極損則益極益則損
大畜時也	因時而畜故能大也
无妄災也	无妄之丗妄則災也
萃聚而升不來也	來還也方在上升故不還也
謙輕而豫怠也	謙者不自重也
噬嗑食也賁无色也	飾貴合衆无定色也
兊見而巽伏也	兊貴顯說巽貴卑退
隨无故也蠱則飭也	隨時之冝不繫於故也隨則有事受之以蠱飭整治也蠱所以整治其事也
剥爛也	物熟則剥落也
復反也晉晝也明夷誅也	誅傷也
井通而困相遇也	井物所通用而不吝也困安所遇而不濫也
咸速也	物之相應莫速乎咸
恒久也渙離也節止也解緩也蹇難也睽外也	相䟽外也
家人內也否泰反其䫫也大壯則止遯則退也	大正則小人止小人亨則君子退
大有衆也同人親也革去故也鼎耴新也小過過也中孚信也豐多故也	髙者懼危滿者戒盈豐大者多憂故也
親寡旅也	親寡故寄旅也
離上而坎下也	火炎上水潤水
小畜寡也	不足以兼濟也
履不處也	王弼云履卦陽爻皆以不處其位爲吉也
需不進也	畏險而止也
訟不親也大過顛也	本未弱也
遘遇也柔遇剛也漸女歸待男行也	女從男也
頥飬正也旣濟定也歸妹女之終也	女終於出嫁也
未濟男之窮也	剛柔失位其道未濟故曰窮也
夬決也剛決柔也君子道長小人道憂也	君子以決小人長其道小人見決去爲深憂也
