莊子外篇在宥第十一	音義曰以義名篇
聞在宥天下不聞治天下也	宥使自在則治治之則亂也人之生也直莫之蕩則性命不過欲惡不爽在上者不能無爲上之所爲而民皆赴之故有誘慕好欲而民性⬤矣故所貴聖王者非貴其能治也貴其無爲而任物之自爲也○宥音又㝟也則治直吏反下治亂同惡烏路反好呼報反
在之也者恐天下之淫其性也宥之也者恐天下之遷其德也天下不淫其性不遷其德有治天下者哉	無治乃不迁淫○有治天下者哉崔本作有治天下者材失云強治之是材之失也
昔堯之治天下也使天下欣欣焉人樂其性是不恬也桀之治天下也使天下瘁瘁焉人苦其性是不愉也	夫堯雖在宥天下其迹則治也治亂雖殊其於失後之世恬愉使物争尚畏鄙而不自得則同耳故譽堯而非桀不如兩⬤也○樂音洛恬徒謙反瘁瘁在季反病也廣雅云憂也崔本作醉愉音瑜徐音喻譽音餘
夫不恬不愉非德也非德也而可長久者天下無之	恬愉自得乃可長久
人大喜邪毗於陽大怒邪毗於隂隂陽并毗四時不至寒暑之和不成其反傷人之形乎使人喜怒失位居處無常思慮不自得中道不成章	此皆堯桀之流使物喜怒大過以致斯患也人在天地之中最能以靈知喜怒擾亂羣生而振蕩隂陽也故得失之間喜怒集乎百姓之懷則寒暑之和敗四時之節差百度昏亡萬事失落也○毗如字司馬云助也一云并也思息嗣反大過音泰
於是乎天下始喬詰卓⬤而後有盜跖曾史之行故舉天下以賞其善者不足	慕賞乃善故賞不能供○喬向欽消反或去夭反郭音矯李音驕詰李去吉反徐起列反崔云喬詰意不平也卓勑角反郭丁角反向音䈇⬤勑二反李猪立反又勑栗反崔云卓⬤行不平也行下孟反
舉天下以罰其惡者不給	畏罰乃止故罰不能勝○勝音升
故天下之大不足以賞罰自三代以下者匈匈焉終以賞罰爲事彼何暇安其性命之情哉	忘賞罰而自善性命乃大足耳夫賞罰者聖王之所以當功過非以著勸畏也故理至則遺之然後至一可反也而三代以下遂尋其事迹故匈匈焉與迹競逐終以所⬤爲事性命之情何暇而安哉○匈音凶
而且⬤明邪是淫於色也⬤聦邪是淫於聲也⬤仁邪是亂於德也⬤義邪是悖於理也⬤禮邪是相於技也⬤樂邪是相於淫也⬤聖邪是相於藝也⬤知邪是相於疵也	當理無恱恱之則致淫悖之患矣相助也○且如字徐子餘反⬤音恱下同悖必內反徐蒲没反相息亮反下及注皆同技其綺反李音⬤崔向云不端也知音智疵疾斯反
天下將安其性命之情之八者存可也亡可也	存亡無所在任其所受之分則性命安矣
天下將不安其性命之情之八者乃始臠卷愴囊而亂天下也	必存此八者則不能縱任自然故爲臠卷愴囊也○臠力轉反崔本作欒卷卷勉反徐居阮反司馬云臠卷不伸舒之狀也崔同一云相牽引也愴音倉崔本作戕囊如字崔云戕囊猶搶攘
而天下乃始尊之惜之甚矣天下之惑也	不能遺之以爲誤矣而乃復尊之以爲貴豈不甚惑哉○復扶又反
豈直過也而去之邪乃齊戒以言之跪坐以進之鼔歌以儛之吾若是何哉	非直由寄而過去也乃珍貴之如此○去起慮反邪崔本唯此一字作邪餘皆作咫齊本又作齋同側皆反跪其詭反郭音危
故君子不得已而臨莅天下莫若無爲無爲也而後安其性命之情	無爲者非拱黙之謂也直各任其自爲則性命安矣不得巳者非迫於威刑也直抱道懷朴任乎必然之極而天下自賔也○莅音利又音⬤
故貴以身於爲天下則可以託天下愛以身於爲天下則可以寄天下	若夫輕身以赴利弃我而殉物則身且不能安其如天下何
故君子苟能無解其五藏無擢其聦明	解擢則傷也○解如字一音蟹散也
尸居而龍見淵黙而雷聲	出處語黙常無其心而付之自然○見賢遍反向崔本作鶂向音見崔音睍
神動而天隨	神順物而動天隨理而行
從容無爲而萬物炊累焉	若遊塵之自動○從七容反炊昌瑞反又昌規反本或作吹同累劣僞反司馬云炊累猶動升也向郭云如塵埃之自動也
吾又何暇治天下哉	任其自然而巳
崔瞿問於老聃曰不治天下安臧人心老聃曰汝愼無攖人心	攖之則傷其自善也○崔瞿向崔本作臞向求朱反崔瞿人姓名也聃吐藍反女音汝攖於營反又於盈反司馬云引也崔云覊落也
人心排下而進上	排之則下進之則上言其易揺蕩也○排皮皆反崔本作排上時掌反注及下同易以䜴反
上下囚殺	無所排進乃安全耳○因殺如字徐所例反言囚殺萬物也
淖約柔乎剛強	言能淖約則剛強者柔矣○淖昌略反又直各反
廉劌彫琢其熱焦火其寒凝冰	夫焦火之熱凝冰之寒皆喜怒并積之所生若乃不彫不琢各全其朴則何氷炭之有哉○劌居衛反司馬云傷也廣雅云利也琢丁角反
其疾俛仰之間而再撫四海之外	風俗之所動也
其居也淵而靜其動也縣而天	靜之可使如淵動之則係天而踊躍也○縣而天音玄向本無而字云希高慕逺之故也曰縣天也
僨驕而不可係者其唯人心乎	人心之變靡所不爲順而放之則静而通治而係之則⬤而僨驕僨驕者不可禁之勢也○僨粉問反廣雅云僵也郭音奔驕如字又居表反
昔者黃帝始以仁義攖人之心	夫黃帝非爲仁義也直與物冥則仁義之迹自見迹自見則後世之心必自殉之是亦黃帝之迹使物攖也○見賢遍反下同
堯舜於是乎股無胈脛無毛以養天下之形愁其五藏以爲仁義矜其血氣以規法度然猶有不勝也堯於放讙兠於崇山投三苗於三峗流共工於幽都此不勝天下也夫施及三王而天下大駭矣	夫堯舜帝王之名皆其迹耳我寄斯迹而迹非我也故駭者自世世彌駭其迹愈粗粗之與妙自⬤之夷險耳遊者豈常改其足哉故聖人一也天有堯舜湯武之異明斯異者時世之名耳未足以名聖人之實也故夫堯舜者豈直堯舜而巳哉是以雖有矜愁之貌仁義之迹而所以迹者故全也○股音古脛本曰股胈畔末反向父末反李扶蓋反云白肉也或云字當作紱紱蔽膝也崔云胈也脛刑定反讙音歡兠丁侯反崇山南裔也堯六十年放讙兠于崇山投三苗崔本投作殺尚書作竄三苗者縉雲氏之子即饕餮也三峗音危本亦作危三危西裔之山也今属天水堯六十六年竄三苗於三危共工音恭共工官名即窮奇也幽都李云即幽州也尚書作幽州北裔也堯六十四年流共工于幽州施以智反崔云延也駭驚也粗音麄下同
下有桀跖上有曾史而儒墨畢起於是乎喜怒相疑愚知相欺善否相非誕信相譏而天下衰矣	莫能齊於自得○知音智下及注同
大德不同而性命爛漫矣	立小異而不止於分
天下好知而百姓求竭矣	知無涯而好之故無以供其求○好呼報反注同
於是乎釿鋸制焉繩墨殺焉椎鑿决焉	彫琢性命遂至於此○釿音斤本亦作斤鋸音據釿鋸制謂如肉刑也繩墨殺焉並如字崔云謂彈正殺之椎直追反鑿在洛反决古穴反又苦穴反崔云肉刑故用椎鑿
天下脊脊大亂罪在攖人心故賢者伏處大山嵁岩之下而萬乗之君憂慓乎廟堂之上	故夫任自然而居當則賢愚襲情而貴賤履位君臣上下莫匪爾極而天下無患矣斯迹也攖天下之心使奔馳而不可止故中知以下莫不外飾其性以眩惑衆人惡直醜正蕃徒相引是以任眞者失其據而崇僞者竊其柄於是主憂於上民困於下矣○脊脊音籍在亦反相踐籍也本亦作肴肴廣韻云肴亂也大山音泰亦如字堪苦岩反一音苦咸反又苦嚴反岩音嚴語衘反一音嵒語咸反眩玄遍反惡烏路反蕃音煩
今世殊死者相枕也桁楊者相推也刑戮者相望也而儒墨乃始離⬤攘臂乎桎梏之間意甚矣哉其無愧而不知耻也甚矣	由腐儒守迹故致斯禍不思⬤迹反一而方復攘臂用迹以治迹可謂無愧而不知耻之甚也○殊死如字廣雅云殊斷也司馬云决也一云誅也字林云死也⬤文同又云漢令曰蠻夷長有罪當殊之崔本作殀也枕之鴆反桁戸剛反司馬云㫢長械也楊向音楊崔云械錮頸及挳者皆曰桁楊離力氏反又力智反⬤丘氏反又丘䜴反攘如羊反桎之實反梏古毒反意如字又音醫愧崔本作䁛腐音輔復扶又反
吾未知聖知之不爲桁楊椄槢也仁義之不爲桎梏鑿枘也	桁楊以接槢爲管而桎梏以鑿枘爲用聖知仁義者逺於罪之迹也迹逺罪則民思尚之尚之則矯詐生焉矯詐生而禦奸之噐不具者未之有也故弃所向則矯詐不作矯詐不作則桁楊桎梏廢矣何鑿枘椄槢之爲哉椄李如字向徐音妾郭慈接反槢郭李音習徐徒余反司馬云椄槢械者音息節反崔本作云讀爲牒或作謂字椄槢桎梏梁也淮南曰大者爲柱梁小者爲椄槢也鑿在洛反又在報反衲人銳反向本作內音同三蒼云柱頭枘也鑿頭厠木如柱頭枘逺力萬反下同禦魚吕反本作御音同
焉知曾史之不爲桀跖嚆矢也	嚆矢矢之猛者言曾史爲桀跖之利用也○焉於䖍反嗃矢許本亦作嗃向云嚆矢矢之鳴者也朴云嚆大呼也崔本作蒿云蕭蒿可以爲箭或作矯矯揉也崔本此下更有有無之相生也則甚曾史與桀跖皆有無也又惡得無相轂也凡二十四字
故曰絶聖棄知而天下大治	去其所以攖也○治直吏反去起吕反
黃帝立爲天子十九年令行天下聞廣成子在於空同之上故往見之曰我聞吾子逹於至道敢問至道之精吾欲取天地之精以佐五榖以養民人吾又欲官隂陽以遂羣生爲之柰何廣成子曰而所欲問者物之質也	問至道之精可謂質也○廣成子或云即老子也空同司馬云當北斗下山也爾雅云北戴斗極爲空同一曰在梁國虞城東三十里質廣雅云質正也
而所欲官者物之殘也	不任其自爾而欲官之故殘也
自而治天下雲氣不待族而⬤草木不待黃而落日月之光益以荒矣而佞人之心翦翦者又奚足以語至道黃帝退⬤天下築特室席白茅間居三月復往邀之廣成子南首而臥黃帝順下風膝行而進再拜稽首而問曰聞吾子逹於至道敢問治身柰何而可以長久廣成子蹷然而起曰善哉問乎	人皆自修而不治天下則天下治矣故善之也○雲氣不待族而⬤司馬云族聚也未聚而⬤言澤少草木不待黃而落司馬云言殺氣多也爾雅云落死也益以崔本作蓋以佞如字郭音寧翦翦如字郭司馬云善辨也一云佞貌李云淺短貌或云狹小之貌⬤恱全反間音閑下註同復扶又反邀古堯反要也首音狩蹷其月反又音厥驚而起也治直吏反
來吾語女至道至道之精窈窈冥冥至道之極昏昏黙黙	窈冥昏黙皆了無也夫莊老之所以屢稱無者何哉民生物者無物而物自生耳自生耳非爲生也又何有爲於巳生乎○語魚據反下同女音汝後放此窈烏了反
無視無聽抱神以靜形將自正	忘視而自見⬤聽而自聞則神不擾而形不邪也○邪似嗟反
必靜必清無勞女形無搖女精乃可以長生	任其自動故間静而不天也
目無所見耳無所聞心無所知女神將守形形乃長生	此皆率性而動故長生也
愼女內	全其眞也
閉女外	守其分也
多知爲敗	知無崖故敗
我爲女遂於大明之上矣至彼至陽之原也爲女入於窈冥之門矣至彼至隂之原也	夫極隂陽之原乃遂於大明之上入於窈冥之門也○爲于僞反下同
天地有官隂陽有藏	但當任之
愼守女身物將自壯我守其一以處其和故我脩身千二百歲矣吾形未常衰	取於盡性命之極極長生之致耳身不天乃能及物也物將自壯則亮反謂不治天下則衆物皆自任自任而壯也
黃帝再拜稽首曰廣成子之謂天矣	天無爲也
廣成子曰來余語女彼其物無窮而人皆以爲終彼其物無測而人皆以爲極	徒見其一變也
得吾道者上爲皇而下爲王	皇王之稱隨世之上下耳其於得通變之道以應無窮一也○稱尺證反
失吾道者上見光而下爲土	失無窮之道則自信於一變而不得均同上下故俯仰異心
今夫百昌皆生於土而反於土故余將去女	土無心者也生於無心故當反守無心而獨往也○百昌司馬云猶百物也
入無窮之門以遊無極之野	與化俱也
吾與日月參光吾與天地爲常	都任之也
當我緡乎逺我昬乎	物之去來皆不覺也○當如字緡武巾反郭音泯泯合也逺于萬反昏如字暗也司馬云緡昏並無心之謂也
人其盡死而我獨存乎	以死主爲一體則無往而非存
雲將東遊過扶搖之枝而適遭鴻⬤鴻⬤方將拊脾雀躍而遊雲將見之倘然止䞇然立曰叟何人邪叟何爲此鴻⬤拊脾雀躍不輟對雲將曰遊雲將曰朕願有問也鴻⬤仰而視雲將曰吁雲將曰天氣不和地氣鬱結六氣不調四時不節今我願合六氣之精以育羣生爲之柰何鴻⬤拊脾雀躍掉頭曰吾弗知吾弗知雲將不得問又三年東遊過有宋之野而適遭鴻⬤雲將大喜行趨而進曰天忘朕邪天忘朕邪再拜稽首願聞於鴻⬤鴻⬤曰浮遊不知所求	而自得所求也○雲將子匠反下同李云雲主帥也扶搖扶亦作夫李云扶搖神木也生東海一云風也鴻⬤如字司馬云自然元氣也一云海上氣也拊孚甫反一音甫脛本又作髀音陛徐甫婢反又甫娣反崔本又作爵同將略反躍司馬云雀躍若雀浴也一云如爵之跳躍也倘尺掌反又云吐郎反李云吐黨反司馬云欲貌李云自失貌䞇之二反又猪立反又魚列反李云不動貌叟本又作素口反郭䟽溝反司馬云長者稱輟丁劣反李云止也吁况于反亦作呼結如字崔本作綰音結掉徒弔反宋如字國名也本作宗者非
猖狂不知所往	而自得所往也
遊者鞅掌以觀無⬤	夫內足者舉目皆自正也○鞅掌於丈反毛詩傳云鞅掌失容也今此言自得而正也
朕又何知	以斯而已也
