春秋經傳集解僖公上第五	僖公名申莊公之子閔公之兄母成風謚法小心畏忌曰僖
杜氏盡十五年經元年春王正月○齊師宋師曹師次于聶北救邢	齊帥諸侯之師救邢次于聶北者案兵觀釁以待事也次例在莊三年聶北邢地聶女輒切釁許覲切
○夏六月邢遷于夷儀	邢遷如歸故以自遷爲辭夷儀邢地
〇齊師宋師曹師城邢	傳例曰救患分災禮也一事而再列三國於文不可言諸侯師故
○秋七月戊辰夫人姜氏薨于夷齊人以歸	傳在閔二年不言齊人殺諱之書地者明在外薨
〇楚人伐鄭	荆始改號曰楚
〇八月公會齊侯宋公鄭伯曹伯邾人于檉	檉宋地陳國陳縣西北有檉城公及其會而不書盟還不以盟告檉勑呈切
○九月公敗邾師于偃	偃邾地
〇冬十月壬午公子友帥師敗莒師于酈獲莒挐	酈魯地挐莒子之弟不書弟者非卿非卿則不應書嘉季友之功故特書其所獲大夫生死皆曰獲獲例在昭二十三年酈力知切挐女居切又女加切
〇十有二月丁巳夫人氏之喪至自齊	僖公請而葬之故告於廟而書喪至也齊侯旣殺哀姜以其尸歸絶之於魯僖公請其喪而還不稱姜闕文
傳元年春不稱即位公出故也	國亂身出復入故即位之禮有闕復扶又切下文同
公出復入不書諱之也諱國惡禮也	掩惡揚善義存君親故通有諱例皆當時臣子率意而隱故無深殘常准聖賢從之以通人理有時而聽之可也准之尹切
○諸侯救邢	實大夫而曰諸侯揔衆國之辭
邢人潰出奔師	奔聶北之師也邢潰不書不告也潰戸内切
師遂逐狄人具邢器用而遷之師無私焉	皆撰具還之無所私取撰仕眷切又仕轉切
○夏邢遷于夷儀諸侯城之救患也凡侯伯救患分災討罪禮也	侯伯州長也分榖帛分甫問切又如字長丁丈切
○秋楚人伐鄭鄭即齊故也盟于犖謀救鄭也	犖即檉也地有二名犖音洛又力角切
○九月公敗邾師于偃虚丘之戍將歸者也	虚丘邾地邾人旣送哀姜還齊人殺之因戍虚丘欲以侵魯公以義求齊齊送姜氏之喪邾人懼乃歸故公要而敗之虚起居切要於遙切
○冬莒人來求賂	來還慶父之賂
