春秋經傳集解成上第十二	陸云成公名黑肱宣公子謚法安民立政曰成
杜氏盡十年經元年春王正月公即位	無傳
〇二月辛酉葬我君宣氷	無傳周二月仐之十二月而無氷書冬温
〇三月作丘甲	周禮九夫爲井四井焉邑四邑爲正丘十六井出戎馬一匹牛三頭四丘爲甸甸六十四井出長轂一乗戎馬四匹牛十二頭甲士三人歩卒七十二人此甸所賦今魯使丘出之譏重斂故書甸徒練切又繩證切乗繩證切卒尊忽切斂力驗切
〇夏臧孫許及晉侯盟于赤棘	晉地
〇秋王師敗績子茅戎	茅戎戎别也不言戰王者至尊天下莫之得校故以自敗爲文不書敗地而書茅戎明爲茅戎所敗書秋從告茅戎亡交切史記及二傳皆作買式種章勇切
〇冬十月傳元年春晉侯使瑕嘉平戎于王	平文十七年邥垂之役詹嘉處瑕故謂之瑕嘉邥音審詹之廉切
單襄公如晉拜成	單襄公王卿士謝晉爲平戎單音善爲于僞切下文同
劉康公徼戎將遂伐之	康公王季子也戎平還欲要其無備徼古堯切要也要一遥切
叔服曰背盟而欺大國此必敗	叔服周内史背音佩下同
背盟不祥欺大國不義神人弗助將何以勝不聽遂伐茅戎三月癸未敗績于徐吾氏	徐吾氏茅戎之别也
〇爲齊難故作丘甲	前年魯乞師於楚欲以伐齊楚師不出故懼而作丘甲難乃旦切下同
〇聞齊將出楚師夏盟于赤棘	與晉盟懼齊楚
〇秋王人來告敗	解經所以秋乃書
〇冬臧宣叔令脩賦繕完	治完城郭繕市戰切完和端切
具守備曰齊楚結好我新與晉盟晉楚爭盟齊師必至雖晉人伐齊楚必救之是齊楚同我也	同共也守手又切好呼報切
知難而有備乃可以逞	逞解也爲二年齊侯伐我傳解音蟹
經二年春齊侯伐我北鄙〇夏四月丙戍衛孫良夫帥師及齊師戰于新築衛師敗績	新築衛地皆陳曰戰大崩曰敗績四月無丙戌丙成王月一日築音竹陳直覲切
○六月癸酉季孫行父臧孫許叔孫僑如公孫嬰齊帥師㑹晉郤克衛孫良夫曹公子首及齊侯戰干鞌齊師敗績	魯乞師於晉而不以與謀之例者從盟主之令上行於下非匹敵和成之類例在宣七年曹大夫常不書而書公子首者首命於國備於禮成爲卿故也鞌齊地僑其僑切郤去逆切鞌音安與音預敵如字一本或作適亦音敵
〇秋七月齊侯使國佐如師已酉及國佐盟于袁婁	榖梁曰鞌去齊五百里袁婁去齊五十里
〇八月壬午宋公鮑卒	未同盟而赴以名鮑歩卯切
