春秋經傳集解成下第十三杜氏盡十八年經十有一年春王三月公至自晉	正月公在晉不書諱見止
〇晉侯使郤犫來聘己丑及郤犫盟	郤犫郤克從父兄弟犫尺由切
〇夏季孫行父如晉〇秋叔孫僑如如齊○冬十月	僑其驕切
傳十一年春王三月公至自晉晉人以公爲貳於楚故止公公請受盟而後使歸	前年七月公如晉弔至是乃得歸
郤犫來聘且涖盟	公請受盟故使大夫來臨之涖音利又音類
〇聲伯之母不聘	聲伯之母叔肸之妻不聘無媒禮聘本亦作娉匹政切肸許乙切媒亡囬切
穆姜曰吾不以妾爲姒	昆弟之妻相謂爲姒穆姜宣公夫人宣公叔肸同母昆弟姒音似
生聲伯而出之嫁於齊管于奚生二子而寡以歸聲伯聲伯以其外弟爲大夫	外弟管于奚之子爲魯大夫
而嫁其外妹於施孝叔	孝叔魯惠公五丗孫
郤犫來聘求婦於聲伯聲伯奪施氏婦以與之婦人曰鳥獸猶不失儷	儷耦也儷力計切
子將若何曰吾不能死亡	言不與郤犫婦懼能忿致禍
婦人遂行生二子於郤氏郤氏亡晉人歸之施氏施氏逆諸河沈其二子	沈之於河沈徐直䕃切注同一音如字
婦人怒曰已不能庇其伉儷而亡之	伉敵也巳音以又音紀庇必利切又音秘伉苦浪切
又不能字人之孤而殺之	字愛也
將何以終遂誓施氏	約誓不復爲之婦也傳言郤犫淫縱所以亡也復扶又切下文注復出皆同
〇夏季文子如晉報聘且涖盟也	郤犫文子交盟魯晉之君其意一也故但書來盟舉重略輕
〇周公楚惡惠襄之偪也	惠王襄王之族惡烏路切
且與伯與爭政	伯與周卿士與音餘本亦作輿
不勝怒而出及陽樊	陽樊晉地
王使劉子復之盟于鄄而入三日復出奔晉	王旣復之而復出所以自絶於周爲明年周公出奔傳鄄周邑鄄音絹
〇秋宣伯聘于齊以脩前好	鞌以前之好好呼報切注同
〇晉郤至與周爭鄇田	鄇温别邑今河内懷縣西南有鄇人亭鄇音侯字林音候
王命劉康公單襄公訟諸晉郤至曰温吾故也故不敢失	言温卻氏舊邑單音善
劉子單子曰昔周克商使諸侯撫封	各撫有其封内之地
蘇忿生以温爲司寇與檀伯達封于河	蘇忿生周武王司寇蘇公也與檀伯建俱封於河内檀徒丹切
蘇氏即狄又不能於狄而奔衛	事在書出以非之
○宋華元克合晉楚之成	終前年事
夏五月晉士爕㑹楚公子罷許偃	二子楚大夫罷音皮
癸亥盟于宋西門之外曰凡晉楚無相加戎好惡同之同恤菑危備救凶患若有害楚則晉伐之在晉楚亦如之交贄往來道路無雍	贄幣也好惡並如字又上呼報切下烏路切菑音災贄本又作摯之二切雍於勇切
謀其不恊而討不庭	討背叛不來在王庭者
有渝此盟明神殛之	殛誅也渝羊朱切殛本又作極紀力切注同
俾隊其師無克胙國	俾使也隊失也俾本亦作卑必爾切隊直類切注同胙才故切
鄭伯如晉聽成	聽猶受也晉楚旣成鄭往受命
㑹于瑣澤成故也	晉旣與楚成合諸侯以申成好好呼報切盡年皆同
〇狄人間宋之盟以侵晉而不設備秋晉人敗狄于交剛〇晉郤至如楚聘且涖盟楚子享之子反相爲地室而縣焉	縣鍾鼔也間間廁之間相息亮切縣音玄注同
郤至將登	登堂
金奏作於下	擊鍾而奏樂
驚而走出子反曰日云莫矣寡君須矣吾子其入也賔曰君不忘先君之好施及下臣貺之以大禮重之以備樂	貺賜也莫音暮本亦作暮施以䜴切重直用切
如天之福兩君相見何以代此下臣不敢	言此兩君相見之禮
子反曰如天之福兩君相見無亦唯是一矢以相加遺焉用樂	言兩君戰乃相見無用此樂遺唯季切焉於䖍切
寡君須矣吾子其入也賔曰	傳諸交讓得賔主辭者多曰賔主以明之
若讓之以一矢禍之大者其何福之爲丗之治也諸侯間於天子之事則相朝也	王事間缺則脩私好治直吏切下注治丗同間音閑注同
於是乎有享宴之禮享以訓共儉	享有體薦設凡而不倚爵盈而不飲肴乾而不食所以訓共儉享許丈切舊又許亮切本亦作饗宴於見切徐於顯切倚於綺切
宴以示慈惠	宴則折爼相與共食折之設切
共儉以行禮而慈惠以布政政以禮成民是以息百官承事朝而不夕	不夕言無事朝直遥切朝曰朝徐音朝旦之朝
此公侯之所以扞城其民也	扞蔽也言享宴結好鄰國所以蔽扞其民扞戸旦切
故詩曰赳赳武夫公侯干城	詩周南之風赳赳武貌干扞也言公侯之與武夫止于扞難而巳赳居黝切一音居醜切難乃旦切干戸旦切本亦作扞又如字下同
及其亂也諸侯貪冒侵欲不忌爭㝷常以盡其民	八尺曰㝷倍㝷曰常言爭尺丈之地以相攻伐冒莫報切又亡北切
略其武夫以爲已腹心股肱爪牙	略取也言丗亂則公侯制禦武夫以從已志使侵害鄰國爲搏噬之用無巳搏音搏噬市制切
故詩曰赳赳武夫公侯腹心	舉詩之正以駮亂義詩言治丗則武夫能合德公侯外爲扞城内制其腹心駮邦角切
天下有道則公侯能爲民干城而制其腹心亂則反之	略其武夫以爲已腹心爪牙爲于僞切又如字
今吾子之言亂之道也不可以爲法然吾子主也至敢不從遂入卒事歸以語范文子文子曰無禮必食言吾死無日矣夫	言晉楚不能乆和必復相伐爲十六年鄢陵戰張本語魚據切夫音扶本亦無此字復扶又切鄢謁晚切漢善音義一建切
冬楚公子罷如晉聘且涖盟	報郤至
十二月晉侯及楚公子罷盟于赤棘	晉地
經十有三年春晉侯使郤錡來乞師	將伐秦也侯伯當召兵而乞師謙辭錡魚錡切
〇三月公如京師	伐秦道過京師因朝王過古禾切又古卧切
〇夏五月公自京師遂㑹晉侯齊侯宋公衛侯鄭伯曹伯邾人滕人伐秦○曹伯盧卒于師	五同盟盧本亦作廬力呉切
〇秋七月公至自伐秦	無傳
〇冬葬曹宣公傳十三年春晉侯使郤錡來乞師將事不敬	將事致君命
孟獻子曰郤氏其亡乎禮身之幹也敬身之基也郤子無基且先君之嗣卿也受命以求師將社稷是衛而惰棄君命也不亡何爲	郤錡郤克子故曰嗣卿爲十七年晉殺郤錡傳惰徒卧切
〇三月公如京師宣伯欲賜	欲王賜已
請先使王以行人之禮禮焉	不加厚使所吏切
孟獻子從王以爲介而重賄之	介輔相威儀者獻子相公以禮故王重賜之從才用切介音界相息亮切下同
公及諸侯朝王遂從劉康公成肅公㑹晉侯伐秦	劉康公王季子劉成二公不書兵不加秦
成子受脤于社不敬	脤后社之肉也盛以脤器故曰脤冝出兵祭社之名脤市軫切盛音成
劉子曰吾聞之民受天地之中以生所謂命也是以有動作禮義威儀之則以定命也能者養之以福	養威儀以致福
不能者敗以取禍是故君子勤禮小人盡力勤禮莫如致敬盡力莫如敦篤敬在養神篤在守業國之大事在祀與戎祀有執膰	膰祭肉盡津忍切下同膰音煩
戎有受脤神之大節也	交神之大節
今成子惰棄其命矣	惰則失中和之氣
其不反乎	為成肅公卒于瑕張本
〇夏四月戊午晉侯使吕相絶秦	呂相魏錡子蓋口宣巳命相息亮切
曰昔逮我獻公及穆公	晉獻公秦穆公逮音代一音大計切
相好戮力同心申之以盟誓重之以昏姻	穆公夫人獻公之女好呼報切下同戮力桐承音六嵇康力幽切吕靜字韻與飂同字林音遼
天禍晉國文公如齊惠公如秦	辟驪姬也不言狄梁舉所恃大國辟音避麗力知切
無禄獻公即丗穆公不忘舊德俾我惠公用能奉祀于晉	僖十年秦納惠公俾本或作卑必爾切下及注同
又不能成大勲而爲韓之師	僖十五年秦伐晉獲惠公
亦悔于厥心用集我文公	集成也
是穆之成也	成功於晉
文公躬擐甲胄跋履山川	草行爲䟦擐音患胄直又切䟦蒲末切
踰越險阻征東之諸侯虞夏商周之胤而朝諸秦則亦旣報舊德矣鄭人怒君之疆埸我文公帥諸侯及秦圍鄭	晉自以鄭貳於楚故圍之鄭非侵秦也晉以此誣秦事在僖三十年疆居良切埸音亦
秦大夫不詢于我寡君擅及鄭盟	詢謀也盟者秦伯謙言大夫詢思巡切擅市戰切
諸侯疾之將致命于秦	致死命而討秦時無諸侯蓋諸侯遥致此意
文公恐懼綏靜諸侯秦師克還無害則是我有大造于西也	造成也言晉有成功於秦恐曲勇切
無禄文公即丗穆爲不弔	不見弔傷
蔑死我君寡我襄公	寡弱也死伐本或以我字在死上非
迭我殽地奸絶我好伐我保城殄滅我費滑	伐保城誣之費滑滑國都於費今緱氏縣迭直結切徐音逸殽戸交切奸音干費扶味切滑戸八切緱古侯切
散離我兄弟橈亂我同盟	滑晉同姓橈乃卯切徐許髙切
傾覆我國家我襄公未忘君之舊勲	納文公之勲覆孚服切下同
而懼社稷之隕是以有殽之師	在僖三十三年隕于敏切下同
猶願赦罪于穆公	晉欲求解於秦
穆公弗聽而即楚謀我天誘其衷成王隕命	秦使鬬克歸楚求成事見文十四年文元年楚弑成王見賢遍切
穆公是以不克逞志于我	逞快也逞勑景切
穆襄即丗康靈即位	文六年晉襄秦穆皆卒
康公我之自出	晉外甥
又欲闕翦我公室傾覆我社稷帥我蝥賊以來蕩揺我邊疆	蝥賊食禾稼蟲名謂秦納公子雍闕其月切徐如字蝥莫侯切爾雅蟲食苗爲蝥食節爲賊
我是以有令狐之役	在文七年
康猶不悛入我河曲	悛改也悛七全切
伐我涑川俘我王官	涑水出河東聞喜縣西南至蒲坂縣入河涑徐息録切又音速字林同俘芳夫切
翦我羈馬我是以有河曲之戰	在文十二年
東道之不通則是康公絶我好也	言康公自絶故不復東通晉復扶又切
及君之嗣也	君秦桓公
我君景公引領西望曰庶撫我乎	望秦撫恤晉
君亦不惠稱盟	不肯稱晉望而共盟稱尺證切注同
利吾有狄難	謂晉㓕潞氏時難乃旦切
入我河縣焚我箕郜芟夷我農功	夷傷也箕音基一音其郜古報切芟所銜切夷本又作痍音夷
䖍劉我邊垂	䖍劉皆殺也
我是以有輔氏之聚	聚衆也在宣十五年聚才喻切注同
君亦悔禍之延	延長也
而欲徼福于先君獻穆	晉獻秦穆徼古堯切
使伯車來命我景公	伯車秦桓公子
曰吾與女同好棄惡復脩舊德以追念前勲言誓未就景公即丗我寡君是以有令狐之㑹	令狐㑹在十一年申厲公之命宜言寡人稱君誤也女音汝下文皆同好呼報切一音如字復音服又扶又切寡君讀者亦作寡人
君又不祥	祥善也
背棄盟誓白狄及君同州	及與也
君之仇讎而我昏姻也	季隗廧咎如赤狄之女也白狄伐而獲之納諸文公隗五罪切廧在良切咎音羔
君來賜命曰吾與女伐狄寡君不敢顧昏姻畏君之威而受命于吏君有二心於狄曰晉將伐女狄應且憎是用告我	言狄雖應荅秦而心實憎秦無信應應對之應注同
楚人惡君之二三其德也亦來告我曰秦背令狐之盟而來求盟于我昭告昊天上帝秦三公楚三王	三公穆康共三王成穆莊惡烏路切下同昊戸老切共音恭
曰余雖與晉出入	出入猶徃來
余唯利是視不榖惡其無成德是用宣之以懲不壹諸侯備聞此言斯是用痛心疾首暱就寡人	疾亦痛也暱親也懲直升切暱女乙切
寡人帥以聽命唯好是求君若惠顧諸侯矜哀寡人而賜之盟則寡人之願也其承寧諸侯以退	承君之意以寧靜諸侯
豈敢徼亂	徼要也要一遥切
君若不施大惠寡人不佞其不能以諸侯退矣敢盡布之執事俾執事實圖利之	俾使也
秦桓公旣與晉厲公爲令狐之盟而又召狄與楚欲道以伐晉諸侯是以睦於晉	晉辭多誣秦故傳據此三事以正秦罪道音導
晉欒書將中軍荀庚佐之	庚代荀首將子匠切凡將某軍者放此以意求之
士爕將上軍	代荀庚
郤錡佐之	代士爕
韓厥將下軍	代郤錡
荀罃佐之	代趙同
趙旃將新軍	代韓厥旃之然切
郤至佐之	代趙括
郤毅御戎欒鍼爲右	郤毅郤至弟欒鍼欒書子鍼其廉切
孟獻子曰晉帥乗和師必有大功	帥軍帥乗車士帥所類切乗繩證切下注同
五月丁亥晉師以諸侯之師及秦師戰于麻隧秦師敗績獲秦成差及不更女父	不更秦爵戰敗績不書以爲晉直秦曲則韓役書戰時公在師復不須告克獲有功亦無所諱蓋經文闕漏傳文獨存隊音遂差𥘉佳切徐又初冝切更音庚女音汝復扶又切
曹宣公卒于師師遂濟涇及侯麗而還	涇水出安定東南徑扶風京兆髙陸陸縣入渭也徑音經麗力馳切
迓晉侯于新楚	迓迎也旣戰晉侯止新楚故師還過迎之麻隧侯麗新楚皆秦地迓本又作訝五嫁切
〇成肅公卒于瑕	終劉子之言瑕晉地
