title,juan,juan_title,index,headword,annotation
周易,62,小過,1,䷽小過,古臥反義與大過同王肅云音戈兊宫遊魂卦
周易,62,小過,2,遺之,如字
周易,62,小過,3,不冝上,時掌反注同下及文不冝上上六注上亦同鄭如字謂君也
周易,62,小過,4,而浸,子鴆反
周易,62,小過,5,以行,下孟反
周易,62,小過,6,所錯,本又作措又作厝同七路反
周易,62,小過,7,其妣,必履反
周易,62,小過,8,于僭,子念反
周易,62,小過,9,盡於,津忍反
周易,62,小過,10,或戕,徐在良反注同
周易,62,小過,11,故令,力呈反注同
周易,62,小過,12,先過,西薦反
周易,62,小過,13,而復,扶又反卦末同
周易,62,小過,14,晏安,於諫反又音宴
周易,62,小過,15,鴆,除䕃反本亦作酖
周易,62,小過,16,没怯,去業反
周易,62,小過,17,公弋,餘職反
周易,62,小過,18,則蒸,章勝反字又作烝或作媵字非
周易,62,小過,19,小畜,本又作蓄同勑六反
周易,62,小過,20,其施,始豉反
周易,62,小過,21,而難,乃旦反
周易,62,小過,22,巳上也,並如字上又時掌反注同鄭作尚云庶幾也
周易,62,小過,23,陽巳上故止也,本又作陽巳上故少隂止少音多少之少
周易,62,小過,24,上六弗遇,王付反本多誤故詳之
周易,62,小過,25,災眚,生領反
周易,63,既濟,1,䷾旣濟,節計反下卦同鄭云旣巳也盡也濟度也坎宫三世卦
周易,63,既濟,2,亨小,絶句以小連利貞者非
周易,63,既濟,3,則邪,似嗟反下同
周易,63,既濟,4,曳,以制反
周易,63,既濟,5,濡其,音儒注同
周易,63,既濟,6,於燥,西早反
周易,63,既濟,7,未造,七報反
周易,63,既濟,8,易,以豉反
周易,63,既濟,9,棄難,乃旦反卦末并下卦同
周易,63,既濟,10,婦喪,息浪反注皆同
周易,63,既濟,11,其茀,方拂反首飾也馬同干云馬髴也鄭云車蔽也子夏作髴荀作紱董作髢
周易,63,既濟,12,不比,毗志反
周易,63,既濟,13,鬼方,蒼頡篇云鬼逺也
周易,63,既濟,14,憊,備拜反鄭云劣弱也陸作備云當爲憊憊困劣也
周易,63,既濟,15,繻有,而朱反鄭王肅云音須子夏作王廙同薛云古文作繻
周易,63,既濟,16,衣袽,女居反絲袽也王肅音如說文作絮云緼也廣雅云絮塞也子夏作茹京作絮
周易,63,既濟,17,有郤,去逆反
周易,63,既濟,18,禴,羊畧反祭之薄者
周易,63,既濟,19,沼,之紹反
周易,63,既濟,20,沚,音止
周易,63,既濟,21,蘋,音頻
周易,63,既濟,22,蘩,音煩
周易,63,既濟,23,非馨,呼庭反
周易,61,中孚,1,䷼中孚,芳夫反信也艮宫遊魂卦
周易,61,中孚,2,豚,徒尊反黃作遯
周易,61,中孚,3,說而,音恱下注皆同
周易,61,中孚,4,乖爭,爭鬪之爭
周易,61,中孚,5,之行,下孟反
周易,61,中孚,6,畜之,許六反本或作獸
周易,61,中孚,7,渉難,乃旦反
周易,61,中孚,8,有它,音他
周易,61,中孚,9,燕,音鷰
周易,61,中孚,10,鶴,戸各反
周易,61,中孚,11,和之,胡臥反注及下同
周易,61,中孚,12,好爵,如字王肅呼報反孟云好小也
周易,61,中孚,13,爾靡,本又作縻同亡池反散也干同徐又武寄反又亡彼反韓詩云共也孟同埤蒼作縻云散也陸作䌕京作劘
周易,61,中孚,14,重隂,直龍反
周易,61,中孚,15,不徇,似俊反
周易,61,中孚,16,或罷,如字王肅音皮徐扙彼反
周易,61,中孚,17,少隂,詩照反
