拯	tsyingX
華	_
衮	kwonX
之	tsyi
貶	pjemX
市	dzyiX
朝	drjew
之	tsyi
撻	that
匿	nrik
非	pj+j
麟	lin
感	komX
來	loj
應	_
之	tsyi
邪	zjae
臧	tsang
否	_
鬻	yuwk
拳	gjwen
子	tsiX
糾	kjiwX
祭	tsreajH
仲	drjuwngH
而	nyi
闚	khjwie
是	dzyeX
嫡	_
強	gjang
通	thuwng
必	pjit
當	_
夫	_
至	tsyijH
並	bengX
舎	_
據	kjoH
理	liX
之	tsyi
難	nanH
瓌	kwoj
紛	phjun
錯	tshak
準	_
裁	_
父	_
子	tsiX
異	yiH
同	duwng
之	tsyi
論	lwonH
石	dzyek
渠	gjo
分	_
爭	tsreang
好	_
惡	_
辯	bjenX
訥	nwot
豔	yemH
而	nyi
也	yaeX
巫	mju
而	nyi
婉	'jwonX
北	pok
蕃	_
子	tsiX
姪	_
雖	swij
近	_
昊	hawX
天	then
匍	bu
匐	_
逾	yu
邁	maejH
跂	_
及	gip
夏	_
隊	dwojH
從	_
弟	_
泯	_
没	_
喪	_
予	_
春	tsyhwin
秋	tshjuw
榖	kuwk
梁	ljang
傳	_
隱	_
公	kuwng
第	dejH
一	'jit
范	bjomX
甯	_
集	dzip
解	_
元	ngjwon
年	nen
正	_
月	ngjwot
焉	_
成	dzyeng
之	tsyi
隱	_
長	_
之	tsyi
惡	_
惡	_
桓	_
弑	syiH
之	tsyi
信	sinH
道	dawX
信	sinH
邪	_
已	_
探	thom
千	tshen
乗	_
蹈	dawH
道	dawX
邾	trju
儀	ngje
父	_
于	hju
眛	mwojH
美	mijX
稱	tsyhingH
以	yiX
上	dzyangX
不	_
日	nyit
渝	yu
也	yaeX
于	hju
鄢	_
見	henH
段	dwanH
大	_
辟	_
積	_
思	_
宰	tsojX
咺	xjwonX
仲	drjuwngH
子	tsiX
之	tsyi
賵	phjuwngH
乗	_
馬	maeX
曰	hjwot
襚	zwijH
曰	hjwot
含	hom
曰	hjwot
賻	bjuH
祭	tsreajH
伯	paek
來	loj
朝	drjew
寰	_
内	nwojH
畿	gj+j
内	nwojH
鍭	_
矢	syijX
出	_
竟	kjaengH
埸	yek
聘	phjiengH
遺	ywijH
之	tsyi
好	xawH
當	_
稟	pimX
日	nyit
卒	_
股	kuX
肱	kwong
二	nyijH
年	nen
以	yiX
見	henH
下	_
屬	_
不	_
黷	duwk
皆	keaj
放	_
皆	keaj
氐	_
別	_
種	tsyowngX
知	trje
者	tsyaeX
能	_
斷	_
者	tsyaeX
守	_
莒	kjoX
人	nyin
入	nyip
向	syangH
時	dzyi
惡	_
無	mju
侅	_
履	lijX
緰	_
爲	_
其	_
有	hjuwX
當	_
故	kuH
去	khjoX
以	yiX
別	_
美	mijX
惡	_
舎	_
族	dzuwk
或	hwok
厭	'jep
繼	kejH
弑	syiH
長	_
子	tsiX
親	_
迎	ngjaengH
不	_
復	_
子	tsiX
伯	paek
夫	_
稱	tsyhingH
常	dzyang
處	tsyhoH
隱	_
殺	_
壞	_
宫	kjuwng
三	_
年	nen
日	nyit
有	hjuwX
食	_
之	tsyi
大	_
量	_
下	haeH
賢	hen
爲	hjweH
消	sjew
外	ngwajH
壤	nyangX
所	srjoX
吞	_
咽	_
者	tsyaeX
不	_
見	henH
之	tsyi
饉	ginH
見	_
於	_
不	_
可	khaX
知	trje
知	trje
也	yaeX
太	thajH
上	_
夫	_
名	mjieng
相	_
別	_
尹	ywinX
氏	_
詔	tsyewH
相	sjangH
稱	_
諡	zyijH
短	twanX
折	dzyet
有	hjuwX
壽	_
宋	sowngH
繆	_
公	kuwng
之	tsyi
使	sriH
史	sriX
䇿	_
殺	_
君	kjun
足	_
算	swanX
宋	sowngH
共	_
悉	sit
去	khjoX
四	sijH
年	nen
伐	bjot
杞	khiX
牟	mjuw
婁	_
易	yeH
辭	zi
所	srjoX
見	henH
蓋	_
爲	hjweH
所	srjoX
惡	_
於	_
傳	drjwen
者	tsyaeX
祝	_
吁	_
弑	syiH
其	_
君	kjun
完	hwan
今	kim
復	_
翬	xjw+j
皆	keaj
去	khjoX
與	_
于	hju
于	hju
濮	puwk
之	tsyi
挈	khet
致	_
令	_
惡	'ak
也	yaeX
嫡	_
長	_
建	kjonH
儲	drjo
名	mjieng
分	_
無	mju
嬖	pejH
五	nguX
年	nen
觀	_
魚	ngjo
䱷	ngjo
人	nyin
之	tsyi
難	nanH
入	nyip
郕	dzyeng
將	tsjangH
卑	_
爲	hjweH
其	_
母	muwX
長	_
子	tsiX
舞	mjuX
夏	_
八	peat
佾	yit
降	_
殺	sreajH
始	syiX
僭	tsemH
僭	tsemH
侈	tsyheX
螟	meng
公	kuwng
子	tsiX
彄	khuw
乃	nojX
暴	_
僅	ginH
而	nyi
之	tsyi
行	haengH
不	_
塡	_
不	_
復	_
塡	_
厭	_
毆	'uwX
壞	_
宫	kjuwng
六	ljuwk
年	nen
輸	_
平	_
墮	_
也	yaeX
壞	_
前	dzen
于	hju
艾	_
七	tshit
年	nen
之	tsyi
娣	_
媵	_
之	tsyi
從	_
也	yaeX
以	yiX
上	dzyangX
共	_
事	_
愆	khjen
期	gi
取	_
妻	_
必	pjit
少	_
滕	dong
侯	huw
長	_
曰	hjwot
狄	dek
道	dawX
也	yaeX
長	_
嫡	_
爲	_
保	pawX
刺	tshjeH
公	kuwng
之	tsyi
稱	tsyhingH
逺	_
別	_
之	tsyi
使	sriH
猶	_
愈	yuX
過	_
諸	_
侯	huw
