source,commentary
桓公第二何休學元年繼弑,申志反注皆同二年放此
爲下,于僞反下爲告同
去王,起吕反
以見,賢徧反
故復,扶又反下同
恭孫,音遜
朝朝,上如字下直遥反
莫夕,音暮
別治,直吏反
背叛,音佩凡背叛之類皆放此
近許,附近之近
分別,彼列反
于越,本亦作粤音同
以上,時掌反凡言以上皆放此
蓄積,勑六反
二年舎此,音捨下同
見先,賢徧反下形見目見斥見見恩并同下悉薦反
殤公,式羊反
死焉,於虔反注同
致難,乃旦反
嚴然,魚檢反本又作儼
重道,直用反
故爲,于僞反傳爲隱諱下注不爲諱爲後同
傳聞,直專反注傳聞及下注傳之皆同
以復,扶又反下不復同
少殺,所介反下同
煬宫,餘亮反舊始鄣反
子般,音班
令宋,力呈反
相長,丁丈反下同
有帥,所類反下同
爲卒,子忽反下皆同
封疆,居良反
未解,音蟹
妻媦,音胃妹也
大廟,音泰下及注同
所嗜,市志反
僾,音愛又烏改反
慨然,苦愛反
與會,音預
三年于嬴,音盈
以見,賢徧反下并年末以見同
以復,扶又反下同
去之,起吕反
不歃,本又作所洽反又所甲反
近正,附近之近下及注同
相背,音佩
于盛,音成
于讙,呼官反
親迎,魚敬反下同
爲夫,于僞反下同
分別,彼列反
僅有,其靳反劣也
之行,下孟反
秏減,呼報反下佳斬反
國喪,息浪反
四年公狩,手又反冬獵也
曰廋,本又作搜亦作蒐所求反簡擇也
長大,丁丈反年末同
未離,力智反
苑囿,音又
左膘,毗小反又扶了反三蒼云小腹兩邊肉說文云脅後髀前肉
射之,食亦反下同
右髃,本又作腢魚俱反又五茍反說文云肩前也字林云肩前兩乳骨也五口反
中心,丁仲反下同
如鐙,都鄧反又音登
逺心,于万反
之庖,歩苞反
左脾,方爾反又歩啓反股外也本又作膘
右䯚,羊紹反字林子小反一本作胘音賢
汚泡,普交反又百交反
因以捕,音歩本又作搏音博又音付
共承,音恭
爲田,于僞反下皆同
伯糾,居黝反
氏采,七代反後放此
益弟,大計反
五更,音庚
食,音嗣
於辟,必亦反
親袒,音但
而饋,其愧反
而酳,以刃反又七刃反
其近,附近之近下同
王札,側八反
叔肸,許乙反
下去,起吕反
見其,賢徧反
五年㤜,呼述反狂也齊人語
不與,音預
著治,直吏反
見意,賢徧反下文注並同
以別,彼列反
縣車,音玄
從王,如字又才用反下及注同
撮要,七活反
不爲,于僞反下所爲與爲六年同
一與,音餘下同
苞苴,子餘反
應變,應對之應下同
􁈰,音終本亦作說文或螽字
過我,古禾反又古卧反
六年寔來,市力反
慢易,以豉反
見其,賢徧反下見無正同
大閱,音恱
任用,音壬
陳佗,大阿反
侯般,音班
据戕,在良反
鄫子,才陵反
惡乎,音烏烏乎猶於何也注同
而去,起吕反
嚴公,音莊本亦作莊案後漢諱莊改爲嚴
桓與,音餘
正稱,尺證反
疾惡,烏路反
射天,食亦反
徧告,音遍
七年樵之,似遥反薪也
火攻,音貢又如字下同
可復,扶又反
郱,歩丁反
鄑,子斯反一音晉
郚,音吾
其難,乃旦反
不愉,他侯反本又作偷
下去,起吕反
見不,賢徧反
八年烝,之承反冬祭也
曰祠,嗣絲反
韭卵,力管反
猶食,音嗣下同
以別,彼列反
曰礿,予若反本又作禴同
於祊,必庚反
少牢,詩照反
索牛,所百反
譏亟,去兾反數也注及下同
數也,所角反
屬十,音燭下同
今復,扶又反下同
則黷,徒木反
渫黷,息列反
敬養,餘亮反
散齊,素旦反下側皆反
相君,息亮反下同
洞洞,大董反
弗勝,音升
濟濟,子禮反又似兮反
愉愉,羊朱反
勿勿,如字
疏,音疎下注同
怠解,古賣反
折中,之設反下丁仲反
御寒,魚吕反又如字
不與,音預
雨雪,于付反
㳅血,古流字
祭公,側介反後祭仲祭叔放此
下應,應對之應
成使,所吏反注及下成使同
爲媒,亡盃反
請期,音情又七井反
親迎,魚敬反
妃匹,音配絶句
九年治自,直吏反
射姑,音亦
齊與,音餘絶句下同
重惡,如字或烏路反
十年見要,一遥反注同
惡乎,音烏
明近,附近之近
幾與,音祈
不復,扶又反下同
戮力,音六又力彫反字亦作勠
十一年公行,下孟反
屬上,音燭
今復,扶又反下故復同
故爲,于僞反
寤生,吾故反
鄭相,息亮反
欲見,賢徧反下同
防難,乃旦反下同
稱也,尺證反
以別,彼列反
鄶公,古外反
爲我,于僞反下注爲突非能爲突爲賂爲突歸爲承同
令自,力呈反下同
乗便,婢面反
大甲,音泰
反覆,芳服反
出使,所吏反
挈乎,苦結反提挈也
質省,所景反
于折,之設反又時設反一今作析思歷反
夫童,音扶下音鍾又如字左氏作夫鍾
于闞,口暫反
十二年毆蛇,丘于反又音曲侯反蛇音移又音池左氏作曲池
燕人,音烟
躍卒,予若反
佗子,大何反
故復,扶又反下同
去躍,起吕反
于郯,音談二傳作虚
武父,音甫
惡乎,音烏十三年傳同
十三年鞌,音安
以勝,詩證反
不蔽,必婢反
于菅,古顏反
其處,昌慮反
行伍,戸郎反
背殯,音佩後背殯皆放此
爲龍,于僞反
十四年淫泆,音逸
陽行,下孟反
莅盟,音利又音類下同
御廪,力甚反
粢盛,音咨下音成
委之,于鬼反注同
積也,子賜反
以共,音恭
天應,應對之應
難曰,乃旦反
背恩,音佩
分別,彼列反
見輕,賢偏反
十五年共費,音恭下芳味反
桓行,下孟反下行惡同
今復,扶又反下注故復及傳文復入并注下不復皆同
別之,彼列反
于鄗,戸老反又火各反左氏作艾榖梁作蒿
于櫟,力狄反一音匹沃反
易得,以豉反
于侈,昌示反二傳作袲
爲桓,于僞反下同
十六年復加,扶又反
城向,式亮反
屬負玆,音燭注同屬託也諸侯有疾稱負玆言朔託有疾
十七年于趡,翠癸反
去夏,起吕反下同
國幾,音祁
并於,必政反又如字
桓行,下孟反
深爲,于僞反
十八年于濼,郎沃反又音洛說文云匹沃反
内爲,于僞反
譖公,側鴆反下同
乗便,婢面反
以別,彼列反
之稱,尺證反
懲惡,直升反
遣使,所吏反
