source,commentary
襄公第九何休學元年寗殖,市力反
爲宋,于僞反下爲宋楚爲并注同
于合,二傳作鄫
鄭背,音佩
孫剽,匹妙反
二年伯睔,古囷反
繆姜,音穆
人與,音餘下同
爲中,于僞反下及注并下文鄭爲皆同
三年長樗,勑居反
不別,彼列反
袁僑,其驕反
爲其,于僞反注同
不復,扶又反下同
不重,直用反
四年弋氏,以職反莒女也左氏作如氏
定弋,左氏作定姒
五年子巫,亡扶反
爲叔,于僞反
疑讞,魚竭反
善稻,左氏作善道
通好,呼報反
數用,所角反
賦斂,力驗反
惡鄫,烏路反
不見,賢徧反
雜然,七合反又如字十年注同
乃解,古賣反
六年曷爲,于僞反
爲重,直用反
七年郯子,音談
城費,音秘
􁈰,音終一音鐘
于鄬,于委反字林凡吹反
髠原,苦門反左氏作髠頑
于操,七報反一音七南反左氏作鄵
殺也,音試下及注皆同
爲中,于僞反下及注皆同
楚屬,音燭
旤由,音禍
舎止處,昌慮反
見辜,賢徧反
當背,音佩
八年以殺,音試
爲中,于僞反
當去,起吕反
子燮,素協反
易不,以豉反
禦難,乃旦反
候伺,音司又息嗣反
邢丘,音刑
九年宋火,二傳作災
離本,力智反
見火,賢徧反
爲王,于僞反
浸疏,子鴆反
于戲,許冝反
惡公,烏路反
十年于柤,莊加反
偪陽,音福又彼力反
惡諸,烏路反
開道,音導
連蔓,音万
公與,音預下同
子斐,芳尾反左氏作騑
爲蕃,方元反
諸侯莫之主有,絶句
見其,賢徧反下同
十一年爲軍,于僞反年末同
故復,扶又反
事省,所景反
相上,息亮反下同
爲治,直吏反
不共,音恭
怨懟,直類反
京城北,左氏作亳城北
常難,乃旦反
鄭與,音預
良霄,音消
十二年圍台,他來反又音臺
所背,音佩
亟作,去兾反
最難,乃旦反
務長,丁丈反
迭爲,大結反
十三年取詩,二傳作邿
諱亟,去兾反注同
諱背,音佩
十四年公孫囆,勑邁反二傳作蠆
于向,舒亮反
綴流,知銳反又作丁恱反一本作贅旒
復納,扶又反
華閱,音恱
十五年向戌,音恤
劉夏,户雅反
采邑,七代反下謂采同
租稅,子奴反下舒銳反
見義,賢徧反下同
大夫稱,尺證反
貶去,起吕反
過我,古禾反
共,音恭
至攜,戸圭反又囚兖反
爲不,于僞反
成郛,芳夫反
侯周,一本作雕
十六年狊梁,本又作湨古閴反
徧刺,音遍下及下注同
若贅,章銳反本又作綴丁衞反又丁劣反繫屬也
旒然,音留本又作流旌旗之旒
繫屬,音燭
見惡,賢徧反
最難,乃旦反
肯復,扶又反
不重,直用反
甚惡,烏路反
十七年邾婁子瞯,音閑或下姦反左氏作牼
圍洮,他刀反左氏作桃
十八年言朝,直遥反下同
十九年祝阿,二傳作祝柯
爲其,于僞反下同
