source,commentary
桓公,名允桓王九年即位
第二范甯集解元年弟殺,申志反本亦作弑下及下注同
能去,起吕反
與聞,音豫下文及注與弑皆同
爲易,于僞反
借人,子夜反
魯朝,直遥反下皆同
邴者,彼病反又音丙
大山,音泰本亦作泰
用見,賢徧反
鄭竟,音境
從天王,在用反
巡守,音狩
擅相,市戰反
換易,一本亦作逭胡喚反
編年,必連反字林聲類韻集皆布千反史記音義甫連反
二年宋督,丁毒反本又作督
弑其,音試下及下注同
與夷,如字音餘
別内,彼列反
先殺,如字下先殺同
謂扞,下旦反
死難,乃旦反
蓋爲,于僞反下注雖爲同
及郯,音談
大廟,音泰下文及注同
㫖見,賢徧反
則治,直吏反
躋僖,子兮反
取郜,古報反
内殺,音試下文注皆同
爲討之鼎,如字麋氏云討或作糾
紀侯,左氏作杞侯
爲齊,于僞反下同
數,色主反注同
乃復,扶又反
惡之,烏路反
厶地,本又作某不知其國故云厶地後皆放此
三年于嬴,音盈
近古,附近之近
約言,如字又於妙反
不歃,本又作喢所洽反
是必一人先,如字絶句
親比,毗志反
相應,應對之應
齊僅,巨靳反
泯然,亡忍反
于郕,音成
而復,扶又反
于讙,音歡
祭門,如字祭門廟門也
兩觀,古亂反
諸母般,歩干反一本作鞶音同鞶囊也
以盛,音成
踰竟,音境
親迎,魚敬反一本作逆
之好,呼報反
四年皆爲,于僞反下注因爲同
秋曰蒐,所由反麋氏本又作搜音同
舎小,音捨
中心,丁仲反下同
射,食亦反
髀,歩啓反又必爾反
髂,苦嫁反
差遲,初賣反
庖,歩交反
汚泡,汚穢之汚下普交反又百交反
五年傳信,直專反下同
必辟,音避本又作避
過我,古禾反下文及注同
任叔,音壬左氏作仍叔
從王,才用反又如字下同
爲天王,于僞反
兾州,案鄭本京兆鄭縣是雍州之域後徙河南新鄭爲豫州之境兾在兩河之閒非鄭都也兾州言去京師近也麋氏云韓侯滅鄭韓本都兾州故以目鄭
爲天子,如字
則近,附近之近
大雩,音于祭名
螽,音終
蜙,相容反
蝑,音胥
蟲蝗,華孟反
六年寔,常式反
來朝,直遥反下七年同
畫我,音獲注同
以過,古禾反注同
會紀侯,左氏作杞侯
大閱,音恱
以觀,古亂反視也
陳佗,徒河反
匹夫行,下孟反下同
侯憙,虚記反
嫡子,丁歷反又作適
人僉,七廉反
七年其惡,烏各反
八年烝,之承反冬祭名
曰禴,餘若反又作礿
黍肫,本又作豚徒門反
大廟,音泰下同
黷祀,徒木反
雨雪,于付反
祭公,側界反
寰内,音縣又音環
親迎,魚敬反下皆同
大姒,音似大姒文王妃也
在郃,音洽本又作洽
之涘,音仕
愀然,在九反又親小反
之好,呼報反
不復,扶又反
九年之中,丁仲反又如字注同
關與,音豫
射姑,音亦麋氏本即作亦
來朝,直遙反下同
伉諸,苦浪反本又作亢
有爭,諫爭之爭
之愆,去虔反
十年見殺,申志反下同本又作弑
故復,扶富反
列陳,直覲反
先已,蘇薦反
為內,于偽反
十一年寤生,吾故反
不弟,下並音悌又如字
祭仲,側界反
為下,于偽反
惡其,烏路反
廢嫡,丁歴反
易辭,以豉反下文及注同
篡兄,初患反
君難,乃旦反
惡祭,烏路反
謂去,起呂反
于折,之設反又時設反
夫鍾,音扶注同麋氏本鍾作童音鐘
于闞,口暫反
十二年燕人,音煙國名
躍卒,餘若反
于虛,如字又去魚反
武父,音甫注同
前見,賢徧反
十三年禮柩,其救反
自見,賢徧反
十四年政治,直史反
不哲,陟列反一本作晢之列反
常燠,於六反煖也下文同
夏五,本或有月者非
弟御,魚吕反本亦作禦左氏作語
傳疑,直專反
御廩,力甚反倉也
盡其,津忍反
以共,音恭一本作供下同
粢盛,音咨黍稷曰粢在器曰盛
三推,昌誰反一音他回反
齊戒,側皆反本亦作齋
三繅,先刀反
黼,音甫亦作
黻,音弗俗作
祖禰,乃禮反
用見,賢徧反
曰甸,徒薦反
三宫,如字范云三宫三夫人也麋氏宫作宫
親舂,傷容反
兼旬,如字十日爲旬一本作甸注亦然
刺四,七賜反
十五年于蒿,左氏作艾公羊作鄗
行惡,下孟反又如字
于櫟,力狄反
袲,昌氏反
十六年城向,舒亮反
十七年于趡,翠軌反
戰于郎,左氏作奚
爲内,于僞反
十八年于濼,力沃反又音洛舊音匹沃反
之伉,一本作亢苦浪反
稱數,色戸反注同
故舎,音捨
別内外,彼列反
君弑,音試又作殺
行之,下孟反下同
定稱,尺證反
知者,音智
者守,如字又音狩
