source,commentary
莊公,名同莊王四年即位
第三范甯集解元年繼弑,申志反
孫于,音遜本亦作遜
去姜,起吕反下去姜氏同
孫遁,徒困反
不與祭,音豫
單伯,音善單姓伯字左氏以爲王卿士
逆王姬,左氏作送王姬
君弑,申志反又作殺如字注同
爲尊,于僞反下爲之築同
朝之,直遥反下於朝同
俟迎,魚敬反下同
衰麻,七回反
弁冕,皮彦反
來錫,星歷反
虎賁,音奔
鈇,方胡反
鉞,音越
秬,音巨黒黍
鬯,勑亮反香酒也
殺逆,申志反
悖亂,補對反
歸含,胡暗反
且賵,芳鳳反
刺比,七賜反
一使,所吏反
任叔,音壬
則泥,乃計反一本作滯
於朝,直遥反
則儐,必刃反
郱,歩丁反
鄑,子移反
郚,音吾郱鄑郚三字爲國名
不復,扶又反
見矣,賢徧反下同
二年爲之大功,于僞反
于禚,章畧反
踰竟,音境後踰竟例皆同
公馮,皮冰反
三年溺,乃狄反
爲之,于僞反
惡其,烏路反
禮緦,息詞反
緬,亡善反逺也
郤尸,去畧反又去逆反杜預云尸未葬之通稱
發揮,許歸反
冥極,亡丁反
稟靈,彼錦反
知於,音智
母之子也可,絶句下放此
尊稱,尺證反下卑稱同
以酅,下圭反
吞并,必性反
不泯,彌忍反
四年饗齊,本又作享香丈反
著時,張畧反又張慮反
履緰,音須
爲之,于僞反
傍朞,居其反
弑其,申志反下同
縱失,子用反下同
見義,賢徧反
舎此,音捨
狩于,音獸
郜,古報反左氏作禚
而怨,紆元反又紆願反後同
刺釋,七賜反
五年郳,五兮反國名
黎來,郎兮反黎來郳君名
來朝,直遥反
六年卑者之稱,尺證反下常稱同
見公,賢徧反
螟,亡丁反
分惡,烏各反下同
則殺,色界反舊色例反
過齊,古禾反
差減,初賣反
七年辛卯昔,如字昔夜也日入至於星出謂之昔本或作㝜同
不見,賢徧反下不音者同
列宿,夙又反下同
星隕,云敏反
而復,扶又反
是夜中與,音餘
晦暝,亡定反
傳著,直專反
億度,徒各反
我見其隕,見音如字注同
是雨,于付反注同
見于下,如字或賢徧反
不見者,賢徧反
隕隊,直類反
八年善陳,直覲反下文皆同
道之,徒報反下同
至陳,直覲反下同
民盡,津忍反
奔背,音佩
郕降,户江反下文及注同
師還,音旋
遯也,徒困反
