source,commentary
較,音角又校量深淺也
傾,髙下不正貌去營反
弱其志,心虚則志弱也本無爲字
隆之稱,尺證反一本作號一本作名
也曷,何葛反何也
爲而常校,音敎
能相射,食亦反
穿,音川
窬,音俞又音豆
探,吐南反
聖人之治,直吏反
強,其良反又作彊
使夫,音符
知者,音智
道沖,直隆反
不盈,本亦作滿
淵,河上作乎
挫,子臥反
銳,恱歳反
解其紛,拂云反河上云芬
湛,直減反
夫執一家之量,音亮
贍,渉艷反
滿以造實,七報反
又復,扶又反
不盈,或作滿
不能累,力僞反
萬物舎,音捨又作舎
汙,音烏
而不渝,羊朱反
以萬物爲芻,楚俱反
狗,古口反
治,直吏反
爲,于僞反下有爲不爲皆同
其猶橐,他各反
籥,音藥
掘,求物反又月反河上作屈屈竭也顧作掘云猶竭也
動而愈出,羊主反又羊朱反
排,扶拜反囊乃反
空洞,同貢反
多言數窮,王云理數也顧云勢■也
足以共,音恭亦音拱
谷,古木反中央無者也河上本作浴浴者養也
玄牝,頻忍反舊云扶比反簡文扶緊反
中央無,一本作空
私邪,河上直云以其無私
處,本合作居
惡,烏路反注作同也
幾,音機近也又一音祈
善治,直吏反
揣,初委反又丁果反志瑞反顧云治也簡文章樏反
而梲,音銳梲字音菟奪反又徒活反河上作銳
末令,力征反
尖,子廉反
勢必摧,粗雷反
衂,女六反
滿堂,本或作室
自遺,唯季反以之反
咎,求九反
功遂,本又作成
四時更,音庚
能無離,力智反
滌,徒歷反
疵,在斯反
邪,似嗟反
物介,音界
民治,河上本又作活
以求匿,他得反
辟,匹亦反
開闔,戸臘反
不昌,尺亮反
而處,昌慮反
以知乎,音智河上本又直作智
恃,河上本作■
長,丁丈反
三十輻,音福車輻亦是
共一轂,古木反車轂
當,丁浪反
無有車,音居又去於反
挻,始然反河上云和也宋衷注本云經同聲類云柔也字林云長也君連反又一曰柔挻方言云取也如淳作繫
埴,市力反河上曰土也司馬云埴土可以爲器釋名云埴職杜弼云埴黏土也
鑿戸,在各反
五色,靑赤白黒黃也
令,力征反
盲,陌庚反
五音,宫商角徴羽也
聾,力東反
五味,酸鹹甜辛苦也
口爽,爽差也河上云亡也
騁,勑領反
狂,求匡反
令人行,下孟反
妨,音芳
去,羌吕反
寵辱,簡文云寵得也辱失也
若驚,顧云若而也
貴,重也河上公畏也
大患若身,河上云空也
何謂寵辱若驚,河上本無若驚二字
身爲,于僞反
易,以豉反
名,武征反
曰夷,顧云平也鍾會云滅也平也
曰希,希䟽也靜也
搏,音博簡文補各反
曰微,細也
致詰,起吉反
故混,戸本反
不曒,古曉反明式云胡老反
不昧,悔對反
繩,食陵反又民忍反梁帝云無涯際之貌顧云無窮不可序或曰寛急河上本作繩
復,音服
怳,虚往反
治,直吏反
強,其丈反
豫,如字本或作懊簡文與此同也
儼,魚檢反
樸,普角反又作朴
混,胡本反
蔽,必世反王云覆蓋也鍾婢世反梁武同也
蔽覆,芳富反
生長,丁丈反
卒,千恤反又尊恤反
凡物,本作夫
則物離,力智反
其分,扶問反
虎兕,徐子反
無所容鋒刃,芳逢反
大上,音太王云太上謂大人也顧云太古上德之人也
行施,始致反
次侮,亡甫反
疵,字斯反
釁,許靳反
悠,孫登張憑杜弼俱作由一本猶用也
有應,應對之應
知慧,音智
趣,七喻反或音促
覩形見,賢遍反
大惡,烏路反
治,直吏反
則濡,而朱反又而注反
百倍,蒲罪反
令,力征反
所屬,之欲反注同
見,賢遍反
抱樸,普角反
之善,一本作傑
行,下孟反
唯,遺癸反舊云維水反
相去,欺慮反
幾,居豈反
燕,於見反
雀,將籥反
鳩,九求反
鴿,古合反
有仇,音求
氊,之然反本作旃
裘,音求
續鳬,音符
截,昨結反
鵠,户各反
衆人煕熙,許其反
若亨,普庚反殺煑也簡文許庚反河上公作饗用也
牢,力刀反
廓,苦郭反河上本作泊普白反
咳,胡來反說文字本或作孩
儽儽兮,力追反一本日損益也敗也欺也說文音雷古本河上作乗乗兮
所別,彼列反
析,星歷反
所好,呼報反
沌,本又作忳徒損反又徒門反簡文音頓
俗人昭昭,章遥反一本作照
悶悶,如字
澹兮其若海,徒紺反古本河上作忽兮若海嚴遵作忽兮若晦
飂,力幽反梁作飄簡文云敷遥反河上淵兮
繫縶,張立反一作執
母,如字
德之容,鍾云法也簡云狀也
怳,況往反又呼廣反
窈,烏了反
冥,莫經反
說,一云恱
狀哉,河上一本直云吾何狀也
見,賢遍反
枉,音往
窪,烏瓜反簡文烏麻反顧云洿
蔽,必世反
轉逺,于萬反
自見,賢遍反
彰,音章
淡,徒暫反一作澹
故飄,毗遥反扶遥反
驟,狀救反
道者於道,河上於道者絶句
