source,commentary
雜記第二十,鄭云雜記者以其雜記諸侯及士之喪事
卷之十二乗車,繩證反下及注同
左轂,工木反
其綏,依注作緌耳隹反下及注同
復,音伏下同
予使,羊汝反
裒衣,本又作襃保毛反後皆同
去其,起呂反下去輤同
其輤,于見反注與蒨同
有裧,昌占反
緇裳帷,本或作緇布裳帷
將殯,必刃反本或作賔音同
取名於櫬,初靳反又楚陣反
與蒨,絶句一本作輤讀以與字絶句與則音餘
蒨旆,上千見反下歩貝反
邊縁,恱絹反
為說,吐奪反本亦作脫下并注皆同
亦侇,音夷隠義云侇之言移也庾依韻集大兮反息也
逺之,于萬反
輲車,依注作輇及槫同市専反又布轉反注及下同
所別,彼列反
蜃車,慎忍反
相近,附近之近
以楯,勑倫反下同一本作輴同
葦席,于鬼反
凡訃,音赴注及下同
長子,丁丈反後長子皆同
大子,音泰後大子同
適子,丁歴反下文注適子其適宗適適妻並同
適者,依注音敵大歴反下適者同
使某實,依注音至下同
朝廷,直遙反下注同
大夫為其,于偽反下士為其同注除為士卿為為正皆放此
齊晏,於諫反
晏嬰,一盈反
麤衰,七雷反
苴,七餘反
絰,大結反
杖菅,古顔反
屨,九具反
食粥,之六反
倚廬,於綺反
寢苫,始占反
枕草,之鴆反下同
其縷,力柱反
齊斬,音咨下齊衰皆同
不緝,七入反
以上,時掌反卷内以上皆放此
髙行,下孟反
賢著,知慮反
則爲其,于僞反下則爲之注爲之造字皆同
而著,丁略反
朝服,直遥反注及下文皆同
之純,音準又之潤反
􁀔,音薦本亦作薦
讀賵,芳鳳反
宗人相,息亮反注同
以鞠,九六反又曲六反注同
以襢,張戰反
復,音伏
狄稅,他喚反下文放此
爛,力旦反
脫,音奪下同
叔隗,五罪反
趙衰,初危反
下之,戸嫁反
作展,張戰反下同
有褘,音輝
自揄,音遥下文并注同
紗縠,戸木反
皆袍,歩羔反
不襌,音丹
令袿,音圭
襈,仕眷反
重,直龍反
繒矣,茨陵反
陽長,丁丈反
揄絞,戸交反注同
屬於,音燭注及下條屬并注同
翟也,音狄
去振,起吕反下同
大夫附,依注作祔音同下竝同
昭穆,常遥反卷内皆同
別於,彼列反
并祭,必政反
敢援,音袁
要絰,一遥反
麻重,直龍反
功衰,七雷反
冠而,古亂反下而冠同
之稱,尺證反
惻怛,旦末反
散帶,悉但反後散帶皆同
妾爲,于僞反下不爲妻注爲舊君同
以殺,色界反徐所例反
與殯,音預
錫衰,思歷反
辟尊,音避
稽,徐音啓
顙,桑黨反
以別,徐彼列反注同
右縫,音逢注同又扶用反
大古,音泰下大古同
異材,才再反又如字
右辟,必亦反下同
縿纓,依注爲澡音早
縿當,所銜反又音早
而絞,古卯反
朝服,直遥反後朝服放此注同
去其,起吕反注同
相襚,音遂
遣車,弃戰反注同下遣車遣奠皆放此
者與,音餘
九个,古賀反下同
有章,本或作鄣音同注亦同
隱翳,於計反
載粻,陟良反米糧也
脯醢,音海
義稱,昌升反又尺證反
衣衰,上於旣反下七雷反下同
玄縞,古老反又古報反注同
冠卷,苦圎反
而迎,魚敬反注同
鬯,勑亮反本亦作暢
臼,其究反
以椈,弓六反柏木也
杵,昌吕反
以梧,音吾桐木也
以搗,本亦作擣丁老反
枇,音匕本亦作朼音同注同
長三尺,直亮反下同
刊,苦于反削也
其柄,兵命反
率􁁔,上音律下音帶本亦作帶
繂也,音律
加箴,之金反
甕,於貢反盛醯醢之器
甒,音武瓦器
筲,所交反竹器
衡,依注作桁戸剛反徐戸庚反庪也
實見,音閒廁之閒棺衣也注同
閒,如字注同徐古莧反一解云鄭合見閒二字共爲覵字音古辯反
折入,之設反注同承席也形如牀無足也
以庪,九委反又九僞反徐居綺反字亦作􁌛同
重,直龍反
埋之,亡皆反
所倚,於綺反
處,昌慮反
皆辯,音遍
不帷,位悲反下同
殯肂,以二反埋棺之坎
其㧁,字林戸臘反閉也纂又云古闔字玉篇羌據公荅二反云閉也
遂去,起吕反
繭,古典反
與稅,他喚反注同
纁,許云反
袡,字又作而占反裳下襈也王肅云婦人蔽膝也
大䙱,音燭
絖,字又作纊音曠
緼,于粉反
爲袍,薄勞反
一稱,尺證反下放此
之縁,恱絹反
爲君,于僞反又如字
使,色吏反
復,音伏
公館,本亦作觀音同
必拾,其劫反下同
卷衣,音衮古本反
申重,直龍反又直用反下同
佩韍,音弗
稱,尺證反下同
與,音餘
一股,音古
纒絰,直連反
鋪席,普胡反又音敷徐芳烏反後放此
絞,戸交反下文同
紟,其鴆反
爲之,于僞反
廣尺,古曠反
長,直亮反
終幅,方服反
其介,音界後皆同
相者,息亮反下皆同
知適,丁曆反
含者,本又作唅說文作琀同胡闇反下同
襚,音遂
執要,一遥反
内霤,力救反
賈人,音嫁
介賵,芳鳳反
孤須矣,從此盡篇末皆無某字有者非
陳乗,䋲證反注同
北輈,竹由反車轅也
郷,許亮反注同
不見,賢遍反
上客臨,如字視也徐力鴆反注及下同
一介,音界舊古賀反
相,息亮反
執綍,音弗
實爲,于僞反
寡君命,絶句下放此
毋敢,音無下同
使臣,色吏反注同
爲恭,如字舊于僞反下同
與客拾,其劫反
辟其,音避下辟之同
士盥,音管
于斂,力劒反下同
馮之,皮冰反本或作憑下同
脫字,音奪
重著,直用反
夜燎,力召反又力弔反
乗,繩證反注同
執引,以刄反一音餘刄反
