source,commentary
聘義第四十八,鄭云名聘義者以其記諸侯之國交相聘問重禮輕財之義
七介,音界下及注同
各下,戸嫁反
而傳,丈專反下同
陳擯,必刃反本又作儐下文及注皆同說文云擯或儐字
之使,所吏反
于竟,音境
郊勞,力報反
拜況,本亦作貺音同貺賜也
當楣,音眉
私覿,大曆反見也
雍,字又作饔音同
餼,許旣反
還圭,音旋下及注同
璋,音章
賄贈,呼罪反字林音悔
享,許兩反本又作饗
食,音嗣下同
比年,必履反
使者,色吏反
以媿,本又作愧音同
皆爲,于僞反
璧琮,才工反
三積,子賜反
芻薪,初俱反
倍禾,歩罪反
乗禽,繩證反
一食,一又作壹食音嗣
幾中,徐音畿又音基
行成,下孟反
人渴,若葛反
肉乾,音干
日莫,音暮
齊莊,側皆反
敢解,佳賣反
惰,徒臥反
長幼,丁丈反
有行有行,並下孟反下有行同
順治,直吏反
為陳,直靳反
賤䃉,武巾反字亦作瑉似玉之石
為玉,于偽反下同
多與,音余
作玟,武巾反又音枚
為濡,音儒
縝密,音軫一音真
知也,音智
致,直置反本亦作緻
不劌,九衞反傷也字林云利傷也又音已芮反
如隊,直位反又音遂
叩之,音口
詘然,其勿反絶止貌
枯木,苦老反亦作槁
瑕,音遐玉病
揜,音掩
瑜,羊朱反玉中美
孚,依注音浮
尹,依注音筍又作筠于貧反
隱翳,於計反
作姇,音孚徐方附反
白虹,音紅天氣
見於,賢遍反
朝聘,直遥反
