source,commentary
顔淵第十二凡二十四章也訒,音刃孔云難也鄭云不忍言也字或作仞
馬犂,力兮反史記作並云字牛
桓魋,徒回反
不疚,久又反
夫何,音符
浸潤,子鴆反
之譖,側鴆反
膚受,方于反
之愬,蘇路反
而去,起吕反下同
於斯三者,一讀而去於斯爲絶句
棘子,紀力反
駟,音四
鞟,苦郭反孔云皮去毛曰鞟鄭云革也
去,起吕反
別者,彼列反
饑,居其反鄭本作飢
盍,胡臘反
徹乎,直列反
而稅,舒銳反
辨惑,本亦作或
辨別,彼列反
惡,烏路反注同
亦祗,音支
此行,下孟反
吾焉得而食諸,本亦作焉得而食諸焉於䖍反本今作吾得而食諸
片言,如字鄭云半也
以折,之舌反魯讀折爲制今從古
也與,音餘
子路無宿諾,或分此爲別章
無倦,其卷反亦作卷
懈倦,古賣反
博學於文,一本作君子博學於文
矣夫,音符
之帥,所類反又所律反字從巾同訓並與率同
情慾,音欲又羊住反本今作欲
所好,呼報反
焉用,於䖍反
仆也,蒲北反
草尚,尚加也本或作上
夫達,音符下同
而好,呼報反
以下,遐嫁反注同
而行,下孟反
從遊,才用反
壇,徒丹反
墠,音善
脩慝,吐得反
德與,音餘
問知,音智下同
錯諸,或作措同七故反下同
枉,紆往反
邪,似嗟反
郷也,許亮反又作曏同
吾見,賢遍反
選於,息戀反又息轉反下同
皐陶,音遥
逺矣,如字又于萬反下同
忠告,古毒反
善道,導也
毋自,音無
有相切磋,七何反本今作友
之道,如字
