source,commentary
唐蟋蟀第十,唐者周成王之母弟叔虞所封也其地帝堯夏禹所都之墟漢曰太原郡在古冀州太行恒山之西太原大岳之野其南有晉水叔虞之子燮父因改爲晉侯至六世孫僖侯名司徒習堯儉約遺化而不能以禮節之今詩本其風俗故云唐也
蟋蟀,上音悉下所律反蟋蟀蛬也說文蟀作􁇌
僖公,許其反史記作釐侯
不中,丁仲反
虞樂,音洛下皆同
思遠,息嗣反注同
歳聿,允橘反遂也
其莫,音暮
其除,直慮反去也注同
蛬也,俱勇反沈又九共反趨織也一名蜻蛚
不復,扶又反
大康,音泰徐勑佐反下同
其居,義如字協韻音據
好樂,呼報反下同
瞿瞿,俱具反顧禮義
禮樂之外,此一樂字音岳
蹶蹶,俱衛反動而敏於事也
其慆,吐刀反過也
休休,許虯反樂道之心
山有樞,本或作蓲烏侯反荎也
昭公,左傳及史記作昭侯
自樂,音洛下及注同
有朝,直遥反
廷,徒佞反
洒,所懈反沈所寄反下同
埽,蘇報反本又作掃下同
有榆,以朱反
荎,田節反沈又直藜反
弗曳,以世反
弗婁,力俱反婁亦曳也馬云牽也
宛,於阮反本亦作苑死貌
是愉,毛以朱反樂也鄭作偷他侯反取也
有栲,音考山樗
有杻,女久反檍也
山樗,勑書反又他胡反
檍也,於力反
廷内,音庭又徒佞反
弗鼓,如字本或作擊非
灑也,色蟹反又所綺反
有漆,音七木名
不離,力智反
揚之水封沃,烏毒反邑名即曲沃
鑿鑿,子洛反
激揚,經歷反
湍疾,吐端反
洗,蘇禮反又蘇典反
去,羌吕反
垢濁,古口反
所惡,烏路反又如字
襮,音博領也字林方沃反
繡,音秀衆家申毛並依字下文同鄭改爲宵
黼,音甫
爲宵,音綃本亦作綃
爲純,眞允反又眞順反
不樂,音洛
皓皓,古老反潔白也
鵠,戸毒反曲沃邑也
𥻘𥻘,刋新反淸澈也本又作磷同
澈也,直列反或作徹誤
椒聊,椒木名聊辭也
其蕃,音煩
衍,延善反
一捄,音求又其菊反何音掬沈居局反
朋比,王肅孫毓申毛必履反謂無比例也一音必二反鄭云不朋黨則申毛作毗至反
佼好,古卯反
聊且,子餘反下同
匊,本又作掬九六反兩手曰匊
綢繆,上直留反下亡侯反綢繆猶纒緜也
參也,所金反
始見,賢遍反下不見見於東同
薪芻,楚俱反說文云芻刈草也象苞束草之形
合宿,音秀
後隂,戸豆反
邂,本亦作解户懈反一音戸隹反
覯,本又作逅同胡豆反一音户冓反邂覯解說也韓詩云邂覯不固之貌
解,音蟹
說,音恱
直戸,音值又如字
粲者,采旦反三女爲粲字林作
杕杜,徒細反特貌本或作夷狄字非也下篇同杜赤棠木
所并,必政反
湑湑,私敘反不相比次也
相比,毗志反下文及注同
蝺踽,俱禹反無所親
遠其,于万反
不佽,七利反助也
菁菁,本又作靑同子零反毛葉盛也鄭希少貌
睘睘,本亦作煢又作焭求營反無所依也
羔裘不䘏,本亦作恤荀律反憂也
豹袪,起居反又丘據反袂末也
居居,如字又音據懷惡不相親比之貌
親比,毗志反
有悖,補對反
豹褏,徐救反本又作褎同
究究,九又反爾雅云居居究究惡也
之好,呼報反注同
鴇,音保鴇似鴈而大無後趾性不樹止
政役,音征篇內注同
養其,羊亮反
鄂侯,五各反
于苞,補交反稹也
栩,況禹反杼木也
稹也,本又作槙之忍反何之人反沈音田又音振廣雅云概也
杼也,食汝反徐治與反
之處,昌慮反
迫迮,側百反
梱,户本反
致,直置反下同
靡盬,音古
蓺,魚世反
何怙,音戶恃也
罷倦,音皮
鴇行,戶郎反注同
翮也,戶革反爾雅云羽本謂之翮
無衣始并,卑政反下注同
為之,于僞反
之使,所吏反注同
愈,羊主反
且奧,本又作燠於六反煖也
煖,奴緩反
有杕之杜宗族,本亦作宗矣
隂寡,於鴆反又如字本亦作䕃同
噬肯,市世反逮也韓詩作逝逝及也
與比,毗志反
好之,呼報反下同
曷飲,於鴆反下文同
食之,音嗣下同
道周,周曲也韓詩周右也
觀也,古亂反
葛生好,呼報反
攻戰,音貢又如字
多喪,息浪反注同弃亡也又如字
怨思,息嗣反或如字
蘞,音廉又力恬反又力儉反徐又力劒反草木䟽云似栝樓葉盛而細子正黒如燕薁不可食
齊則,側皆反本亦作齋下同
枕篋,口牒反
韣,本亦作㯮又作櫝徒木反
墳墓,符云反
壙,音曠
采苓,力丁反大苦也即甘草葉似地黃
好聽,呼報反
幽辟,匹亦反下同
小行,下孟反
爲言,于僞反或如字下文皆同本或作僞字非
舎,音捨下同
旃,之然反
爲言謂爲人,並于僞反若經文依字讀則此上爲字亦依字
訕人,所諫反
采葑,孚容反
