source,commentary
公食大夫禮第九,鄭云主國君以禮食小聘大夫之禮也
公食,音嗣下注後食饗食禮同
易以,以豉反
以爲,于僞反下爲旣爲從爲公爲賔同
三辭,自暫反又如字
拜使,所吏反下同
賔朝,直遙反下及注同
羮定,多佞反注同
若編,必緜反劉方緜反
兼亨,普庚反
鼎扛,音江
作鉉,胡犬反一音扃劉古頑反又音玄又音關
槃匜,以支反
設湆,劉羌立反下及注並同
酨漿,昨再反
別於,彼列反
賔辟,婢亦反又音避及下同
逡,七旬反
遁,音旬
賔從,才用反
道之,音導
逺下,戸嫁反
東夾,古洽反劉古協反
北郷,許亮反後皆放此
不拾,音涉下同
曰辵,敕略反
去鼏,起吕反卷末注去㑹同
大夫長,丁丈反注及下注之長同
猶更,音夷
腊飪,而審反
進奏,千豆反注同
七个,古賀反
鬐也,巨之反
魚近,附近之近下冝近相近同
腴,羊朱反
骨鯁,古孟反
滑脃,七歳反
俎拒,劉音巨
由便,婢面反後放此
殺於,所界反
授醯,呼西反
處也,昌慮反下放此
疑立,魚乞反又魚力反注同
君離,力智反
醓,他感反
麋臡,奴兮反醢有骨者也字林作腝人兮反
菁,子丁反劉音精
蓂,亡丁反
不䋫,側耕反
直豕,音值
並併,步頂反下皆同
不和,戸卧反注不和同
于鐙,音登瓦豆也
大古,音泰下大宰皆同
爲風,于僞反下爲其爲將同
設鈃,音刑
而卑,劉音婢又如字
食有,音嗣下爲食食禮同
以辯,音遍下同
擩于,人恱反劉而玄反又而誰反
染也,人漸反又七内反
少儀,詩召反
刌之,寸本反
挩手,始銳反
扱上,初洽反
拭也,音式
爲臠,力轉反
之膴,火奴反
復出,扶又反下復告復發將復不復復自皆同
膷,音香
臐,許云反
膮,呼堯反
牛炙,章夜反下同
􁂄,火各反又火沃反
牛鮨,巨之反注鰭音同郭璞云鮨屬
衆人騰,依注音媵以證反又繩證反
三飯,扶晩反注同
湆,昌恱反
漱,所又反
乗皮,繩證反下乗皮下文之乗同
以侑,音又
相幣,息亮反
爲君,于僞反下爲其爲之致同
從者,才用反注同
曰梧,五故反
易退,以豉反
盡以,津忍反
它時,土多反本又作他
不與,音預注同
爲施,如字又音式豉反
賔朝,直遙反除之朝一字皆同
拜食,音嗣下以意求之
蝸醢,力禾反
毋過,音無
鶉,音淳
鴽,音如
于罋,烏送反
辟正,音避
亨于,普庚反
布純,諸閏反又諸允反下及注同
加萑,音丸
純縁,以絹反
作莞,音官或音丸
敷之,如字又普吳反劉芳蒲反
鈃芼,亡報反
豕薇,音微
苦荼,音徒
堇荁,音丸
為芐,音户爾雅云地黃也劉又云芐一音遐嫁反
作幕,音莫
凡炙,章夜反
和也,戶卧反
加繅,音早
