source,commentary
地官司徒第二郷師,音香下以意求之
師長,丁丈反後皆同
相左,音佐
右,音又
比長,毗志反徐扶二反注下同
稱也,尺證反下同
爲民,于僞反
言帥,所類反
才知,音智
堳,音眉
埒,音劣
封疆,居良反
繇役,音遥
牧人,牧養之牧徐音目
何,胡可反又音河下同
蓑,素禾反
何笠,音立
其糇,音侯乾食
其􁇛,而純反一音而專反黃牛黒脣曰犉
遺人,維季反注饋遺同司農音維
楀維,俱禹反
召公,上照反
相成,息亮反
人行,下孟反
媒氏,劉音梅
麴,起六反
􁍪,魚列反又五結反徐去穢反
物賈,音嫁下物賈及賈八人同
廛人,直連反徐長戰反
賈師,音古
自辟,必亦反徐方歷反
校尉,胡孝反
鄼長,作管反
主爲,于僞反
丘甸,繩正反又如字
委人,烏僞反注同
土訓,如字司農音馴
爲馴,似遵反劉音訓徐餘倫反
告道,音導
虞度,徒洛反下同
麓,本亦作㯟音鹿
滌源,徒歷反
大藪,素口反
旣陂,彼冝反
卝人,徐音礦􁄹猛反劉侯猛反
礦,虢猛反金玉未成器
藍蒨,千見反
象斗,本或作橡音同
掌荼,音徒徐音餘
茅莠,劉音酉毛詩注作秀
掌蜃,上忍反
大蛤,古荅反
囿人,音又
爲墠,音善
圃中,音補又音布
廩,力甚反倉也
盛米,音成
奄二,於檢反劉於驗反
抌二,音由又音揄或羊笑反
抒臼,時女反
饎人,尺志反注􁆊同
爨,七亂反
稾人,注音稿同苦報反
主冗,如勇反
大司徒廣輪,古曠反
墳衍,扶云反
原,本又作邍
猶徧,音遍
兖雍,於用反
輪從,子容反
之壝,維癸反
別方,彼列反下同
土會,古外反計也注同
早物,音皁本或作皁注同
鱗物,劉本作音鱗
而津,如字一本作濜音同潤也
覈物,音核
民專,徒丸反注同
而長,如字下注長於土圭同
介物,音界
莢,古協反
晳而,音錫白色也
臝物,力果反
叢物,才東反
豐肉,如字劉而樹反
而􁃠,音婢
貂,音彫
貒,吐官反
貉,胡洛反依字作貈
縟毛,音辱一音如勇反
專圜,音圎又徒丸反
臞,其俱反又作燿音稍與考工記燿後音同
貔,音毗一音房私反
􁒕,勑冝反
萑,音丸
葦,于鬼反
柞栗,子洛反
理致,直記反
爲櫜,古毛反劉古到反
蓮芡,音儉
韜,吐刀反
不爭,爭鬬之爭
不愉,音偷又音揄
不虣,薄報反
不解,佳買反
少而,詩照反
以相,息亮反注同
以毓,音育
分野,扶問反
其種,章勇反
榛栗,側人反
猶蒔,時至反
騂剛,雖營反
赤緹,音低
土深,尺鴆反
日景,如字本或作影非下及注同
猶度,待洛反下同
近日,附近之近下同
遠日,于万反
日跌,待結反
封疆,居良反下同
顓,之宣反
臾,音榆
其率,音律又音類後注同
正之,音征
字之,如字一音滋
爲其,于僞反
百畝,本亦作古畮字
丘甸,劉常證反
乃復,扶又反下同
奠地,劉音定
弛力,式氏反
舎禁,音捨注同
去幾,羌吕反注及下注去蹄同
眚禮,所景反注同
殺哀,所界反徐所例反注同
蕃樂,方袁反注同徐文注皆音煩
種食,章舅反
幼少,詩照反
抍,音拯
捄,音救本亦作拯救
曰矜,古頑反
今癃,音隆
算卒,子忽反
媺,音美
聮兄弟,一本作聚兄弟
約椓,陟角反
乃縣,音玄注同
挾日,子協反
爲比,毗志反下同
相賙,音周
給足,劉子喻反
飭材,音勑注同
商賈,音古
閒民,音閑
六行,下孟反
睦婣,音因
不弟,音悌注同
情思,悉吏反
心應,應對之應
大招,上朝反本亦作韶
大濩,音護本亦作護
地治,直吏反注及下正治幷注同
而斷,丁亂反注同
不厭,於渉反或於驗反
其肆,託歷反注肆解肆去同司農音四注肆陳同
六引,如字又音胤
六紼,音弗
大札,側八反
上其,時掌反
計簿,蒲戸反後同
小司徒九比,毗志反注下皆同
施舎,式氏反
六畜,許又反後六畜皆同
之卒,子忽反注及下皆同
相別,彼列反
猶徧,音遍
七人以上,時掌反
毋過,音無
為羨,淺面反
為甸,繩證反出注注同
夫仁,音扶
少康,詩照反
溝洫,況逼反
為除,于僞反
言乘,繩證反下同
治澮,古外反
其政,依注音征
其肆,託歴反
使臣,所吏反
巡行,下孟反
引窆,彼驗反劉補鄧反
復土,劉音福一音服
斷其,丁亂反
治成,直吏反注治成及下文同
鄉師其治,直吏反下六鄉之治同
復免,音福
之辟,婢亦反
不偪,鄙力反
匱,其位反
茅蒩,子都反一音子餘反或云杜側魚反鄭將吕反
為菹,側魚反
為藉,慈夜反下皆同此如字下皆慈夜反
苴,子都反又將吕反
刌,音忖
而去,羌吕反
守祧,他彫反
其隋,戚吁恚反劉相恚反
是與,音餘
輂,九玉反
人輓,音晚
一梩,里其反
執纛,桃報反劉音毒
御匶,音舊
執綍,音弗
執翿,劉音桃戚徒報反
羽葆,音雨
幢也,直江反
其行,户剛反下行列同
而塴,補鄧反
謂封,彼驗反
斷其,丁亂反
明爲,于僞反下爲州長爲郷大夫爲州黨同
鳥隼,雖允反
之旟,音餘
別異,彼列反
