source,commentary
䷯井,精領反雜卦云通也彖云養而不窮周書云黃帝穿井世本云化益作井宋衷云化益伯益也堯臣廣雅云井深也鄭云井法也字林作井子挺反周云井以不變更爲義師說井以淸絜爲義震宫五世卦
无喪,息浪反
汔,徐許訖反注同幾也王肅音其乞反
繘,音橘徐又居密反鄭云綆也方言云關西謂綆爲繘郭璞云汲水索也又其律反又音述
羸,律悲反徐力追反下同蜀才作累鄭讀曰虆
瓶,白經反
幾至,音祈或音機
而覆,芳福反
而上水,時掌反注及下注上水皆同
井養,如字徐以上反
木上,如字師又時掌反
以勞,力報反注同
勸相,息亮反注同王肅如字
井泥,乃計反注及下同
滓穢,側里反
不嚮,許亮反
棄舎,音捨下文同
井谷,古木反又音浴
射,食亦反注同徐食夜反鄭玉肅皆音亦云厭也荀作耶
鮒,音附魚名也子夏傳謂蝦蟇
甕,屋送反李於鍾反鄭作甕云停水器也說文作罋汲缾也
敝,婢世反王肅徐扶滅反
谿谷,口啼反
注下,章喻反下同
而復,扶又反
无與之也,一本作則莫之與也
渫,息列反徐又食列反黃云治也
心惻,初力反說文云痛也
汲,音急
停汙,音烏
其行,下孟反象并注皆同
甃,側舊反馬云爲瓦裹下達上也子夏傳云脩治也干云以􁒑壘井曰甃字林云井壁也
洌,音列絜也說文云水淸也王肅音例
不橈,乃孝反
不食,如字又音嗣
井收,徐詩救反又如字馬云汲也陸云井幹也荀作甃
勿幕,音莫覆也干本勿作网
