source,commentary
徐无鬼第二十四,以人名篇
徐无鬼,緡山人魏之隱士也司馬本作緡山人徐无鬼
女商,人名也李云无鬼女商並魏幸臣
魏武侯,名擊文侯之子治安邑
武侯勞之,力報反唯山林之勞一字如字餘并下章並力報反
盈耆,時志反下注同
長,丁丈反
好,呼報反下注下章同
惡,烏路反下注下章同
黜,敕律反退也本又作出音同司馬本作咄
掔,苦田反又口閑反爾雅云固也崔云引去也司馬云牽也
超然,司馬云猶悵然也
不說,音恱下文大說同
語君,魚據反
吾相,息亮反下皆同
下之質,一本無質字
執飽而止,司馬以執字絶句云放下之能執禽也
是狸德也,謂貪如狐狸也
示日,音示司馬本作視云視日瞻逺也
若亡其一,一身也謂精神不動若無其身也
直者中繩,丁仲反下皆同司馬云直謂馬齒曲謂背上方謂頭圎謂目
成材,字亦作才言自然巳足不須敎習也
若䘏,音恤
若失,音逸司馬本作佚李云䘏失皆驚竦若飛也
若喪,息浪反下章注同
其一,言喪其耦也
超軼,李音逸徐徒列反崔云徹也廣雅云過也
以說,如字又始銳反下皆同司馬作恱
從說,子容反
金版,本又作板薄版反又如字
六􁂥,吐刀反司馬崔云金版六􁂥皆周書篇名或曰祕䜟也本又作六韜謂太公六韜文武虎豹龍犬也
樂,音洛章末同
鴳,一諫反
吾君說,音恱
越之流人,越逺也司馬云流人有罪見流徙者也
數日,所主反
及期,音基
夫逃,司馬本作巡也
虚空者,司馬云故壞冢處爲空虚也
藜,力西反
藋,徒弔反本或作同
柱,誅矩反司馬云塞也
乎鼪,音生又音姓
鼬,由救反
之逕,本亦作徑司馬云徑道也本又作跡元嘉本作迭徐音逸崔云迭跡
良位其空,司馬云良良人謂巡虚者也位其空謂處虚空之閒也良或作踉音同
跫然,郭巨恭反李曲恭反又曲勇反悚也徐苦江反又袪扃反司馬云喜貌崔云行人之聲
而喜矣,李云喻武侯之無人君之德而處在防衞之閒雖臨朝矯厲愈非其意及得其所思猶逃竄之聞人音安能不跫然改貌釋然而喜也
謦,苦頂反又音罄
欬,苦愛反一音器李云謦欬喻言笑也但呼聞所好猶大恱況骨肉之情歡之至也
久矣夫,音扶後放此
食芧,音序又食汝反本亦作芧栗
韭,音久或艹下作者非也
以賔,必刃反本或作擯司馬云擯棄也又必人反李云賔客也
欲干,李云干求也
社稷之福邪,李云謂善言嘉謀可以利社稷也
萬乗,繩證反
不自許,司馬云許與也
夫姦病,王云姦者以正從邪也謂病也
所病之何也,李云服而無對也或云養違天地之平獨恣其欲自許不損於神而以姦為病故不知所以以此為病何為乎
偃兵,偃息也
成固有伐變固外戰,王云成功在己亦衆所不與欲無有伐其可得乎夫偽生形造又伐焉非本所圖勢之變也既有偽伐得無戰乎
鶴列,李云謂兵如鶴之列行司馬云鶴列鍾鼓也
麗,如字又力智反力支反
