source,commentary
成下第十三杜氏盡十八年經十一年郤犫,尺由反
僑如,其驕反
傳十一年且涖,音利又音類
不娉,本亦作聘匹政反
叔肸,許乙反
無媒,亡回反
爲姒,音似
失儷,力計反耦也
沈其,徐直䕃反注同一音如字
已不能,音以又音紀
庇其,必利反又音祕
伉,苦浪反敵也
不復,扶又反下文注復岀皆同
惡惠,烏路反
伯與,音餘本亦作輿
于鄄,音絹
前好,呼報反注同
鄇田,音侯字林音候
候人,如字本又作鄇又音侯
單襄,音善
與檀,徒丹反
勞文,力報反
狐溱,側巾反
華元,戸化反
令狐,力丁反
史顆,苦果反
而背,音佩卷内皆同
經十二年璅澤,素果反依字冝作瑣
傳十二年之難,乃旦反
公子罷,音皮
好惡,並如字又上呼報反下烏路反
菑危,音災
交贄,本又作摯之二反
無壅,於勇反
有渝,羊朱反
殛,本亦作極紀力反誅也注同
卑,必爾反使也本亦作俾
隊,直類反失也注同
胙國,才故反
成好,呼報反盡年皆同
閒宋,閒厠之間
子反相,息亮反
而縣,音玄注同
云莫,音暮本亦作暮
施及,以豉反
重之,直用反
加遺,唯季反
焉用,於䖍反
之治,直吏反下注治世同
閒於,音閑注同
享宴,許丈反舊又許亮反本亦作饗宴音於見反徐於顯反
不倚,於綺反
則折,之設反
朝而,直遥反朝日朝徐音朝旦之朝
以扞,戸旦反蔽也
赳赳,居黝反一音居醜反
扞難,乃旦反
干城,戸旦反本亦作扞又如字
貪冒,莫報反又亡北反
爲搏,音博
噬之,市制反
以駁,邦角反
能爲,于僞反又如字
以語,魚據反
矣夫,音扶本亦無此字
必復,扶又反
鄢陵,謁晚反漢書音義一建反
經十三年郤錡,魚綺反
道過,古禾反又古臥反
伯廬,力吳反本亦作盧
傳十三年而惰,徒臥反
先使,所吏反
子從,才用反
爲介,音界
輔相,息亮反下同
受脤,市軫反冝社之肉也
盛以,音成
盡力,津忍反下同
執膰,音煩祭肉也
吕相,息亮反注同
逮我,音代一音大計反
相好,呼報反下同
勠力,相承音六嵇康力幽反吕靜字韻與飂同字林音遼
辟麗,上音避下力知反
卑我,必爾反本亦作俾下及注同
躬擐,音患
甲胄,直又反
跋履,蒲末反草行也
之疆,居良反
埸,音亦
不詢,思巡反謀也
擅及,市戰反
恐懼,丘勇反
蔑死我君,本或以我字在死上非
迭我,直結反徐音逸
殽地,戸交反
奸絶,音干
費,符味反
滑,于八反
緱氏,古侯反
撓亂,乃卯反徐許髙反
傾覆,孚服反下同
之隕,于敏反下同
事見,賢遍反
逞志,勑景反快也
欲闕,其月反徐如字
蝥賊,莫侯反爾雅蟲食苗爲蝥食節爲賊
不悛,七全反改也
涑川,徐息録反又音速字林同
俘我,芳夫反
不復,扶又反
惠稱,尺證反注同
狄難,乃旦反
箕,音基一音其
郜,古報反
芟,所銜反
痍,音夷本又作夷傷也
之聚,才喻反衆也注同
儌福,古堯反
與女,音汝下文皆同
同好,呼報反一音如字
復脩,音服又扶又反
我寡君,讀者亦作寡人
季隗,五罪反
廧,在良反
咎如,音羔
狄應,應對之應注同
惡君,烏路反下同
昊天,戸老反
康共,音恭
以懲,直升反
昵就,女乙反親也
要也,一遥反
欲道,音導
將中軍,子匠反凡將某軍者放此以意求之
趙旃,之然反
欒鍼,其廉反
晉帥,所類反注同
乗和,繩證反注同
麻隧,音遂
成差,初佳反徐初冝反
不更,音庚
女父,音汝
復不,扶又反
侯麗,力馳反
徑扶風,音經
迓,本又作訝五嫁反迎也
子般,音班林作班
自訾,子斯反
大宫,音泰下同
子印,一刃反
子駹,武邦反
負芻,初俱反
守,手又反
欣時,如字徐云或作款亦音欣案公羊傳作喜時冝音忻
經十四年傳十四年侯彊,其丈反注同
見,賢遍反注強見下而見之同
又以爲,如字或于僞反
雖惡,烏路反
而宥,音又
子相,息浪反注同
叔傲,五報反本又作敖音同下同
享食,音嗣
兕,徐辭姊反
觥,古橫反
其觩,徐音虯又巨彪反一音巨秋反
好禮,呼報反
所敗,必邁反下同
復伐,扶又反
疆許,居良反下同
舎族,音捨注同
之稱,尺證反
而晦,呼内反
婉而,怨晩反
不汙,憂于反曲也注同
懲惡,直升反
子衎,涂苦旦反
不内,如字徐音納
酌飲,市畧反又章畧反
國也夫,音扶
鱄也,徐市戀反一音專
不聳,息勇反
舎其,音赦或音捨
盡寘,之豉反
經十一年世子成,音城
共公,音恭
欲挾,音協
士夑,息協反
無咎,其九反
子鰌,音秋
同好,呼報反
于葉,舒渉反
傳十五年將見,賢遍反
應天,應對之應
不拘,九于反
子囊,乃郎反
以庇,必利反又音祕
暴隧,音遂
數戰,所角反
少司宼,詩照反下同
鱗矔,古亂反
向蔕,音帶本又作帶
大窣,音㤗
戌在,音恤
故去,起吕反
於睢,音雖徐許惟反又音綏
得復,扶又反
登丘而望之則馳,絶句
騁而,勑景反
睢澨,市制反水涯也
水涯,本又作崖魚佳反一音冝
決壞,音怪
登陴,毗支反
樂裔,以制反
州犂,力兮反
而驟,仕救反
民惡,烏路反
子好,呼報反
於難,乃旦反
傳見,賢遍反
經十六年雨木冰,如字公羊傳云雨而木冰也舊于付反
著樹,直畧反
欒黶,於斬反徐於玷反
鄢陵,謁晚反又於建反
苕丘,音條
非使,所吏反
㓨公子,七賜反爾雅云殺也依字作刺
傳十六年近鄭,附近之近
將鉏,仕魚反徐在魚反
諸汋,七藥反徐音酌一音市藥反
陂,彼冝反
夫渠,音扶
不儆,京領反
覆之,徐敷目反一音扶又反又芳又反
汋陵,音勺又七藥反一音常藥反
爲晉,于僞反
居守,手又反
句耳,古侯反
與往,音預注同
非使,所吏反
過申,古禾反
正邪,似嗟反注皆同
下應,應對之應
烝民,之承反注同
敦厖,莫邦反敦厚也厖大也
其好,呼報反
瀆齊,徒木反
話言,戸快反
奸時,音干本或作千
而罷,音皮本亦作疲下注同
所底,徐音旨一音之履反
吾不復見子矣,扶又反一本無復字
喪列,息浪反下同
以紓,音舒緩也
以遺,唯季反下注問遺也同
集睦,集又作輯音同亦七入反
復從,徐子容反音或如字
之亟,去吏反數也
亟數,所角反
驕亢,苦浪反
盍釋,戸臘反
晨壓,於甲反徐於輒反
而陳,直覲反下及注皆同
笮其,側直反
范匄,本又作丏古害反
行首,戸郎反一音如字注同
營壘,力軌反
輕窕,勑彫反又勑弔反
相惡,如字又烏路反
王卒,子忽反下皆同
而嚻,許驕反徐讀曰嗷五髙反注及後同
諠,況元反本又作喧
譁,音華本又作嘩
巢車,說文作轈云兵車髙如巢以望敵也字林同
爲櫓,音魯
大宰,音泰官名大者多同以意求之
張幕,音莫
塵上,時掌反
爲行,戸郎反下夾公行同
皆乗,繩證反下同
左將,子匠反下去將同
帥,所類反下元帥同
戰禱,丁老反或丁報反
賁皇,扶云反
故憚,徒旦反
萃於,似醉反
國䠞,子六反
射其,食亦反注及下射之同
中厥,丁仲反注同
陽長,丁丈反
激南,古狄反
有淖,乃孝反徐徒較反泥也
共王,音恭
夾公,古洽反
焉得,於䖍反
冒也,莫報反徐莫北反
離局,力智反注同
逺其,于萬反
掀公,徐許言反云捧轂舉之則公軒起也一曰掀引也胡根反一音虚斤反字林云舉出也火氣也又丘近反
潘尪,烏黃反
之黨,一本作潘尪之子黨案注云黨潘尪之子也則傳文不得有子字古本此及襄二十三年申鮮虞之傅摯皆無子字
蹲甲,在尊反徐又在損反聚也一音才官反
七札,側八反徐又側乙反
夸王,苦瓜反
尚知,音智
詰朝,如字注同
言女,音汝
夢射,食亦反下至使射吕錡皆同
中之,丁仲反下及注皆同
中項,戸講反
伏弢,他刀反弓衣也
韎韋,莫拜反又音妳徐莫蓋反
之跗,方于反
注,之樹反
若袴,苦故反
而屬,章玉反
猶近,如字一本作與音預
介者,音界
爲事,于僞反
使者,所吏反注及下同
今撎,伊志反揖也字林云舉首下手也
杜溷,戸昬反又戸本反
茀,府勿反
翰胡,徐音韓
諜,音牒
輅之,五嫁反
之乗,繩證反
輕兵,遣政反又如字
不去,起吕反
於熒,戸扃反
内旌,音精
叔山冉,如琰反
爲國故,于僞反
乃射,食亦反
再發,如字徐音廢
盡殪,於計反
搏人,音博
中軍,丁仲反
折,之設反又市列反
軾,音式
子茷,扶廢反
謂夫,音扶
之麾,許危反
日臣,人實反
之使,所吏反下免使者同
好以,呼報反下及注皆同
閒暇,音閑
不使,所吏反又如字
往飲,於鴆反
執榼,苦臘反
造于,七報反
得犒,苦報反
從者,才用反
而復,扶又反注及下同
卒乗,繩證反下同
展陳,如字
徇曰,似俊反
蒐乗,所留反
秣馬,音末
脩陳,直覲反又如字
蓐食,音辱
申重,直用反
逸縱,子用反
能見,賢遍反
天敗楚也夫,音扶
三日榖,本或作三日館榖誤也
君幼,本或作君幼弱
之覆,芳服反
臣之卒,從此巳前皆子忽反
初隕,于敏反
盍圖,戸臘反
壞隤,戸怪反徐音懷下徒回反
欲去,起吕反
晉難,乃且反
子鉏,仕居反
女不可,音汝
儆備,京領反
設守,手又反
未弭,亡氏反
有篡,初患反
殺,音試
不復,扶又反下及下文復請同
以伯,如字又音霸
申守,手又反下注同
敢過,古臥反又古禾反
食使者,音嗣使音所吏反注同
之介,音界下文敢介大國同
而後食,一本作聲伯而後食
不與,音預
將主,子匠反
我斃,婢世反
廩丘,力甚反
茍去,起吕反下同
淫慝,吐得反下文同
則夫,音扶
