source,commentary
襄二第十五杜氏盡十五年經十年于柤,莊加反
偪陽,徐甫目反又彼力反本或作逼
妘姓,音云
不復,扶又反
傳十年壽夢,莫公反
相大子,息亮反下同
賢行,下孟反
秦堇,徐音謹
歩挽,音晚
縣門,音玄注及下同
郰人,側留反
紇,恨發反
抉之,烏穴反徐又古穴反
以出,如字一音尺遂反
狄虒,音斯
彌,徐音弥一音武脾反
爲櫓,音魯大楯也
大楯,常尹反又音尹
一隊,徒對反徐徒偎反
邶風,音佩
及堞,音牒徐養陟反
隊則,直類反
而復,扶又反注同
上,時掌反
者三,息暫反又如字
其斷,徒亂反
以徇,似俊反
水潦,音老
知伯,音智
以几,本又作机同
女成,音汝下及注皆同
余羸,劣危反
可重,直用反
任乎,音壬注同
帥卒,子忽反
何貺,音況賜也
有禘,大計反
題以,大兮反識也
旌夏,戸雅反注同
師帥,所類反
題識,申志反又如字下同
其行,戸郎反
卒見,寸忽反
去旌,起吕反
及著,徐都慮反一音除慮反
雍,於用反
桑林見,賢遍反注同
祟見,息遂反
請禱,丁老反
疾差,初賣反
夷俘,芳夫反
令居,力呈反下令在勸令同
秦丕玆,一本作泰不兹
于訾毋,子斯反下音無
師數,所角反
疲病,音皮
問繇,直救反兆卦之辭
而喪,息浪反下同
禦寇,魚吕反
孫蒯,苦怪反
爭競,爭鬪之爭下文與之爭同
幼少,詩照反
任其,音壬
閒諸侯,閒厠之閒
故長,丁丈反
田洫,況域反
堵氏,音者或丁古反
皆喪,息浪反下同
封疆,居良反
子媐,許其反本亦作熈又音怡
知難,乃旦反
其處,昌慮反
不儆,音景
公孫夏,戸雅反
庀羣,匹婢反
閉藏,才浪反又如字
完守,手又反
七乗,繩證反
尉翩,音篇
政辟,婢亦反
得與,音預下魯不與同
請爲,于僞反
至治,直吏反
城梧,音吾
鄭復,扶又反
以見,賢遍反下同
還鄭,本又作環戸關反徐音患注同繞也
夾潁,音穎
能御,魚吕反
能庇,必利反
難要,一遥反
伯輿,本又作與音同
王右,音又注同助也
史狡,古卯反
以說,音恱注同又如字
篳門,音必篳門柴門也
閨,音圭本亦作圭
竇,音豆
從王,才用反注同又如字
騂,息營反字林許營反
旄,音毛
