source,commentary
春秋公羊經傳解詁莊公第三何休學元年春王正月公何以不言即位春秋君弑子不言即位君弑則子何以不言即位,据繼君不絶也〇君殺申志反下皆同
隱之也孰隱隱子也,隱痛是子之禍不忍言即位
○三月夫人孫于齊孫者何孫猶孫也,孫猶遁也〇孫音遜下及注皆同孫猶遁也遁徒困反
内諱奔謂之孫,言于齊者盈諱文
夫人固在齊矣其言孫于齊何,据公夫人遂如齊未有來文
念母也,固在齊而書孫者所以起念母也
正月以存君念母以首事,禮練祭取法存君夫人當首祭事時莊公練祭念母而迎之當書迎反書孫者明不宜也
夫人何以不稱姜氏,据夫人姜氏孫于邾婁
貶曷爲貶,据俱以孫爲丈
與弑公也其與弑公奈何夫人譖公於齊侯,如其事曰訴加誣曰譖○與殺音預下同譖側鴆反加誣曰譖
公曰同非吾子齊侯之子也,以淫於齊侯所生
齊侯怒與之飲酒,欲醉而殺之禮飲酒不過三爵
於其出焉使公子彭生送之於其乗焉,於其將上車時〇將上時掌反下同
搚幹而殺之,搚折聲也扶上車以手搚折其幹〇拹幹路合反本又作搚亦作拉皆同折聲也幹音古旦反脇也
念母者所善也則曷爲於其念母焉貶,据貶必於其重
不與念母也,念毋則忘父背本之道也故絶丈姜不爲不孝距蒯聵不爲不順脅靈社不爲不敬蓋重本尊統使尊行於卑上行於下貶者見王法所當誅至此乃貶者并不與念母也又欲以孫爲内見義明但當推逐去之亦不可加誅誅不加上之義非實孫月者起練祭左右〇背音佩蒯聵苦怪反下五怪反見王賢徧反下同爲内于僞反下爲卑爲營同去起吕反
〇夏單伯逆王姬單伯者何吾大夫之命乎天子者也,以稱字也禮諸侯三年一貢士於天子天子命與諸侯輔助爲政所以通賢共治示不獨專重民之至大國舉三人次國舉二人小國舉一人○單伯音善後放此逆王姬左氏作送王姬治直吏反
何以不稱使,据公子遂如京師言如者内稱使之文
天子召而使之也逆之者何使我主之也,逆者魯自往之文方使魯爲父母主嫁之故與魯使自逆之不言于京師者使魯主之故使若自魯女無使受之
曷爲使我主之,据諸侯非一
天子嫁女乎諸侯必使諸侯同姓者主之,諸侯與天子同姓者
諸侯嫁女于大夫必使大夫同姓者主之,大夫與諸侯同姓者不自爲主者尊卑不敵其行㛰姻之禮則傷君臣之義行君臣之禮則廢㛰姻之好故必使同姓有血脉之屬宜爲父道與所適敵體者主之禮尊者嫁女于卑者必待風旨爲卑者不敢先求亦不可斥與之者申陽倡隂和之道天子嫁女於諸侯備姪娣如諸侯之禮義不可以天子之尊絶人繼嗣之路主書者惡天子也禮齊衰不接弁冕仇讎不交㛰姻〇好呼報反風如字又方鳯反倡昌亮反和户卧反惡烏路反齊衰音咨下七雷反
〇秋築王姬之館于外何以書譏何譏爾築之禮也于外非禮也,以言外知有築内之道也于外非禮也禮同姓本有主嫁女之道必闕地于夫人之下羣公子之上也時魯以將嫁女于讎國故築于外
于外何以非禮,据非内也
築于外非禮也,于逺辭也爲營衛不固不以將嫁于讎國除譏者魯本自得以讎爲解無爲受命而外之故曰非禮○解古賣反
其築之何以禮,据禮當豫設
主王姬者必爲之改築主王姬者則曷爲必爲之改築,据諸侯宫非一○必爲于僞反下必爲爲襄公井注同
於路寢則不可小寢則嫌,皆所以逺别也○別彼列反
羣公子之舍,謂女公子也
則以卑矣,以爲大卑〇大音泰一音他賀反
其道必爲之改築者也,以上傳言爾知當築夫人之下羣公子之上築例時
○冬十月乙亥陳侯林卒〇王使榮叔來錫桓公命錫者何賜也,上與下之辭〇錫星歷反
命者何加我服也,増加其衣服令有異於諸侯禮有九錫一曰車馬二曰衣服三曰樂則四曰朱户五曰納陛六曰虎賁七曰弓矢八曰鈇鉞九曰秬鬯皆所以勸善扶不能言命不言服者重命不重其財物禮百里不過九命七十里不過七命五十里不過五命〇令力呈反賁音奔鈇鉞音甫又方于反下音越秬音巨黒黍也鬯勑亮反香酒
其言桓公何,据錫文公命不言謚
追命也,舉謚明知追命死者禮生有善行死當加善謚不當復加錫不言天王者桓行實惡而乃追錫之尤悖天道故云爾○善行下孟反下同復扶又反悖𥙷内反
〇王姬歸于齊何以書我主之也,魯主女爲父母道故恩録而書之内女歸例月外女不月者聖人探人情以制恩實不如魯女
