source,commentary
爲也,各有業也○夫音符
丘作甲非正也○夏臧孫許及晉侯盟于赤棘,赤棘晉地
○秋王師敗績于貿戎,貿戎地〇貿音荗左氏作茅戎
不言戰莫之敢敵也爲尊者諱敵不諱敗,諱敵使莫二也不諱敗容有過否○爲于僞反
爲親者諱敗不諱敵,諱敗惜其毀折也不諱敵諸侯有列國
尊尊親親之義也,尊則無敵親則保全尊謂王親謂魯
然則孰敗之晉也,○孰敗必邁反又如字
○冬十月季孫行父秃晉郤克眇衛孫良夫跛曹公子手僂同時而聘於齊齊使秃者御秃者使眇者御眇者使跛者御跛者使僂者御僂者,御音迓迓迎也〇秃他木反眇亡小反跛波可反僂於矩反一音力主反
蕭同姪子處臺上而笑之,蕭國也同姓也姪子字也其母更嫁齊惠公生頃公宣十二年楚人㓕蕭故隨其母在齊〇姪子大節反又丈乙反頃公音傾
聞於客客不說而去相與立胥閭而語移日不解,胥閭門名○說音悅胥閭思徐反下力居反解古買反又音蟹
齊人有知之者曰齊之患必自此始矣,榖梁子作傳皆釋經以言義未有無其文而橫發傳者寗疑經冬十月下云季孫行父如齊脫此六字○横華孟反又如字脫此徒活反又他活反
二年春齊侯伐我北鄙○夏四月丙戍衞孫良夫帥師及齊師戰于新築衛師敗績,新築衛地○築音竹
六月癸酉季孫行父臧孫許叔孫僑如公孫嬰齊帥師㑹晉郤克衞孫良夫曹公子手及齊侯戰于鞌齊師敗績,鞌齊地〇僑本又作喬甚僑反公子手左氏作首鞌音安
其日或曰日其戰也或曰日其悉也,悉謂魯四大夫時悉在戰也明二者皆當日
曹無大夫其曰公子何也以吾之四大夫在焉舉其貴者也,不欲令内衆大夫與外卑者共行戰〇令力呈反
秋七月齊侯使國佐如師已酉及國佐盟于爰婁鞌去國五百里爰婁去國五十里,國齊國也
壹戰緜地五百里焚雍門之茨,雍門齊城門茨盖也〇雍於用反之茨在私反
侵車東至海,侵車侵伐之車言時侵齊過乃至海
君子聞之曰夫甚甚之辭焉,鄭嗣曰君子聞戰于鞌乃盟于爰婁焚雍門之茨侵車至海言因齊之敗逼之甚○夫甚音符
齊有以取之也齊之有以取之何也敗衞師于新築侵我北鄙敖郤獻子,謂笑其跛〇謂笑其跛布可反案杜預注左傳云郤克跛此傳言郤克眇范注當依傳而作跛恐非
齊有以取之也爰婁在師之外,言師巳逼其國
郤克曰反魯衞之侵地以紀侯之甗來,甗玉甑齊滅紀故得其寳○甗魚輦反又音言又音彦玉甑也
以蕭同姪子之母爲質,齊侯與姪子同母異父昆弟不欲斥言齊侯之母故言蕭同姪子之母也兼忿姪子笑〇爲質音致下同
使耕者皆東其畒,欲以利其戎車於驅侵易○侵易以䜴反下伐易同
然後與子盟國佐曰反魯衞之侵地以紀侯之甗來則諾以蕭同姪子之母爲質則是齊侯之母也齊侯之母猶晉君之母也晉君之母猶齊侯之母也,言尊同也
使耕者盡東其畒則是終土齊也,凱曰利其戎車侵伐易則是以齊爲土
不可,不可謂若不許巳言
請壹戰壹戰不克請再再不克請三三不克請四四不克請五五不克舉國而授於是而與之盟○八月壬午宋公鮑卒庚寅衞侯速卒○取汶陽田,〇汶音問
冬楚師鄭師侵衞〇十有一月公㑹楚公子嬰齊于蜀,蜀某地
楚無大夫其曰公子何也嬰齊亢也,泰曰莊二十二年丙申及齊髙傒盟文二年乙巳及晉處父盟傳曰不言公髙傒處父亢也此傳㑹嬰齊書公以明亢何乎蓋言處父亢禮敵公書公則内恥也嬰齊𥘉雖驕慢終自降替故于㑹則書公以顯嬰齊之驕亢于盟則稱人以表嬰齊之服罪然則向之驕正足以表其無禮不足以病公則書公可也○向之本又作郷亦作向同許亮反下文同
丙申公及楚人秦人宋人陳人衞人鄭人齊人曹人邾人薛人繒人盟于蜀楚其稱人何也,怪楚向稱公子今稱人齊在鄭下蓋時王所黜
於是而後公得其所也會與盟同月則地㑹不地盟不同月則地㑹地盟此其地㑹地盟何也以公得其所申其事也,公得其所謂楚稱人申其事謂地㑹地盟○㑹與盟同月絶句不同月絶句則地㑹地盟絶句
今之屈向之驕也三年春王正月公㑹晉侯宋公衞侯曹伯伐鄭,宋衛未葬而自同於正君故書公侯以護之
○辛亥葬衛穆公〇二月公至自伐鄭○甲子新宫災三日哭新宫者禰宫也,謂宣公廟也三年䘮畢宣公神主新入廟故謂之新宫○禰乃禮反
三日哭哀也其哀禮也,宫廟親之神靈所馮居而遇災故以哀哭爲禮○馮居皮冰反
迫近不敢稱謚恭也,迫近言親稱也桓僖遠祖則稱謚
其辭恭且哀以成公爲無譏矣○乙亥葬宋文公○夏公如晉○鄭公子去疾帥師伐許,○去起吕反
○公至自晉秋叔孫僑如帥師圍棘○大雩晉郤克衞孫良夫伐牆咎如,○咎音羔
〇冬十有一月晉侯使荀庚來聘○衞侯使孫良夫來聘○丙午及荀庚盟○丁未及孫良夫盟其日公也來聘而求盟不言及者以國與之也不言其人亦以國與之也,徐邈曰不言及謂凢書來􁋼者也若宣七年衛孫良夫來盟是也以國與之謂舉國爲主故直書外來爾此先聘而後盟故不言來盟揔言及而不復著其人亦是舉國之辭○復扶又反
不言求兩欲之也鄭伐許,鄭從楚而伐衛之䘮又叛諸侯之盟故狄之
四年春宋公使華元來聘○三月壬申鄭伯堅卒○𣏌伯來朝,○朝直遥反
○夏四月甲寅臧孫許卒○公如晉葬鄭襄公○秋公至自晉○冬城鄆,〇鄆音運
○鄭伯伐許,䘮未踰年自同於正君亦譏之
五年春王正月𣏌叔姬來歸婦人之義嫁曰歸反曰來歸○仲孫蔑如宋○夏叔孫僑如㑹晉荀首于榖,穀齊地
○梁山崩,梁山晉之望也不言晉者名山大澤不以封也許慎曰山者陽位君之象也象君權壞
不日何也,據僖十四年秋八月辛卯沙鹿崩書曰
髙者有崩道也有崩道則何以書也曰梁山崩壅遏河三日不流晉君召伯尊而問焉伯尊來遇輦者輦者不辟使車右下而鞭之,凡車將在左御在中有力之人在右所以備非常○壅於勇反遏於葛反伯尊左氏作伯宗辟音避將子匠反
