source,commentary
老子道經河上公章句第一體道第一道可道,謂經術政教之道也
非常道,非自然長生之道也常道當以無為養神無事安民含光藏暉滅迹匿端不可稱道
名可名,謂富貴尊榮髙世之名也
非常名,非自然常在之名也常名愛如孾兒之未言雞子之未分明珠在蚌中美玉處石間内雖昭昭外如愚頑
無名天地之始,無名者謂道道無形故不可名也始者道本也吐氣布化出於虚无為天地本始也
有名萬物之母,有名謂天地天地有形位隂陽有柔剛是其有名也萬物母者天地含氣生萬物長大成熟如母之養子
故常無欲以觀其妙,妙要也人常能無欲則可以觀道之要要謂一也一岀布名道讃叙明是非
常有欲以觀其徼,徼歸也常有欲之人可以觀丗俗之所歸趣也徼古吊反
此兩者同出而異名,兩者謂有欲無欲也同出者同出人心也而異名者所名各異也名無欲者長存名有欲者亡身也
同謂之玄,玄天也言有欲之人與無欲之人同受氣於天
玄之又玄,天中復有天也稟氣有厚薄得中和滋液則生賢聖得錯亂汚辱則生貪淫也
衆妙之門,能知天中復有天禀氣有厚薄除情去欲守中和是謂知道要之門户也
養身第二天下皆知美之為美,自揚己美使顯彰也
斯惡巳,有危亡也
皆知善之為善,有功名也
斯不善巳,人所爭也
故有無相生,見有而為無也
難易相成,見難而為易也
長短相形,見短而為長也
髙下相傾,見髙而為下也傾去營反
音聲相和,上唱下必和也
前後相隨,上行下必隨也
是以聖人處無為之事,以道治也
行不言之教,以身師導之也
萬物作焉,各自動也
而不辭,不辭謝而逆止
生而不有,元氣生萬物而不有
為而不恃,道所施為不恃望其報也
功成而弗居,功成事就退避不居其位
夫惟弗居,夫惟功成不居其位
是以不去,福德常在不去其身也此言不行不可隨不言不可知疾上六句有髙下長短君開一源下生百端百端之變无不動亂
安民第三不尚賢,賢謂丗俗之賢辯口明文離道行權去質為文也不尚者不貴之以禄不貴之以官
使民不爭,不爭功名返自然也
不貴難得之貨,言人君不御好珎寳黄金棄於山珠玉捐於淵
使民不為盗,上化清淨下无貪人
不見可欲,放鄭聲逺美人
