source,commentary
緇衣第三十三,陸曰鄭云善其好賢者之厚故述其所稱之詩以爲其名也緇衣鄭詩美武公也劉瓛云公孫尼子所作也
禮記鄭氏註子言之曰爲上易事也爲下易知也則刑不煩矣,言君不苛虐臣無姦心則刑可以措〇子言之日此篇二十四章唯此一子言之後皆作子曰湯以䜴反下同苛音何錯七故反本亦作惜同
子曰好賢如緇衣惡惡如巷伯則爵不瀆而民作愿刑不試而民咸服,緇衣巷伯皆詩篇名也緇衣首章曰緇衣之宜兮敝予又改爲兮適子之館兮還予授子之粲兮言此衣緇衣者賢者也宜長爲囯君其衣敝我願改制授之以新衣是其好賢欲其貴之甚也巷伯六章日取彼䜛人投卑豺虎豺虎不食投卑有北有北不受投卑有昊此其惡惡欲其死亡之甚也爵不瀆者不輕爵人也試用也咸皆也○好呼報反注同緇則其反惡惡上烏路反下如字注同巷户降反巷伯小雅篇名愿音願還音旋粲七旦反衣緇衣上於旣反下如字䜛人本又依詩作譛人投卑必利反下同豺仕皆反昊胡老反本或作皓同
大雅曰儀刑文王萬國作孚,刑法也孚信也儀法文王之德而行之則天下無不爲信者也文王爲政克明德愼罰
子曰夫民教之以德齊之以禮則民有格心教之以政齊之以刑則民有遯心,格來也遯逃也〇格古伯反遯徒遜反亦作遁
故君民者子以愛之則民親之信以結之則民不倍恭以涖之則民有孫心,涖臨也孫順也〇倍音佩下注同涖音利又音類孫音遜注同
甫刑曰苗民匪用命制以刑惟作五虐之刑曰法是以民有惡德而遂絶其世也,甫刑尚書篇名匪非也命謂政令也髙辛氏之末諸侯有三苗者作亂其治民不用政令專制御之以嚴刑乃作五虐蚩尤之刑以是爲法於是民皆爲惡起倍畔也三苗由此見滅無後丗由不任德○蚩尺之反畔本或作叛俗字非也任而鴆反
子曰下之事上也不從其所令從其所行,言民化行不拘於言○行下孟反注同又如字拘音俱重言下之事上也二下文一
上好是物下必有甚者矣,甚者甚於君也○好呼報反下皆同
故上之所好惡不可不愼也是民之表也,言民之從君如影逐表〇惡烏路反影如字一音英領反重言是民之表也三下文一
子曰禹立三年百姓以仁遂焉豈必盡仁,言百姓傚禹爲仁非本性能仁也遂猶逹也〇傚胡孝反
詩云赫赫師尹民具爾瞻甫刑云一人有慶兆民頼之大雅曰成王之孚下土之式,皆言化君也孚信也式法也○赫許百反王如字徐于况反
子曰上好仁則下之爲仁爭先人故長民者章志貞教尊仁以子愛百姓民致行巳以說其上矣,章明也貞正也民致行巳者民之行皆盡巳心〇長丁丈反說音恱
詩云有梏德行四國順之,梏大也直也○梏音角詩作斍行下孟反
子曰王言如絲其岀如綸王言如綸其岀如綍,言言岀弥大也綸今有秩嗇夫所佩也綍引棺索也〇綸音倫又古頑反綬也如綍音弗大索嗇音色索悉洛反
故大人不倡游言,游猶浮也不可用之之言也〇倡昌尚反
可言也不可行君子弗言也可行也不可言君子弗行也則民言不危行而行不危言矣,危猶髙也言不髙於行行不髙於言言行相應也〇行而行皆下孟反注及下皆同應應對之應
詩云淑愼爾止不諐于儀,淑善也諐過也言善愼女之容止不可過於礼之威儀也〇諐起䖍反女音汝
子曰君子道人以言而禁人以行,禁猶謹也〇道音導
故言必慮其所終而行必稽其所敝則民謹於言而愼於行,稽猶考也議也〇稽古兮反
詩云愼爾岀話敬爾威儀,話善言也〇話胡快反
大雅曰穆穆文王於緝熈敬止,緝熙皆明也言於明明乎敬其容止〇於音烏注同緝七入反熈許其反毛詩傳云緝熈光明也
子曰長民者衣服不貳從容有常以齊其民則民德壹,貳不壹也○長丁丈反下君長同貳夲或作貸同音二下同從七凶反
詩云彼都人士狐裘黄黄其容不改岀言有章行歸于周萬民所望,黄衣則狐裘大蜡之服也詩人見而說焉章文章也忠信爲周此詩毛氏有之三家則亡○黄徐本作横音黄蜡仕嫁反說音恱
子曰爲上可望而知也爲下可述而志也則君不疑於其臣而臣不惑於其君矣,志猶知也
尹吉曰惟尹躬及湯咸有壹德,吉當爲告告古文誥字之誤也尹告伊尹之誥也書序以爲咸有壹德今亡咸皆也君臣皆有壹徳不貳則无疑惑也〇吉依注爲告音誥羔報反
詩云淑人君子其儀不忒子曰有國者章義􁈏惡以示民厚則民情不貳,章明也􁈏病也○􁄞他得反本或作貳音二章義如字尚書作善皇云義善也􁈏丁但反
詩云靖共爾位好是正直子曰上人疑則百姓惑下難知則君長勞,難知有姦心也〇共音恭本亦作恭好呼報反
故君民者章好以示民俗愼惡以御民之淫則民不惑矣,淫貪侈也孝經曰示之以好惡而民知禁〇好如字又呼報反注同惡如字又烏路反注同侈昌氏反又式氏反
臣儀行不重辭不援其所不及不煩其所不知則君不勞矣,儀當爲義声之誤也言臣義事君則行也重猶尚也援猶引也引君所不及謂必使其君所行如堯舜也不煩以其所不知謂必使其知慮如聖人也凢告諭人當隨其才以誘之〇行如字援音爰注同知慮音智
