source,commentary
論語堯曰第二十何晏集解,九三章
堯曰咨爾舜天之暦數在爾躬,暦數謂列次也
允執其中四海困窮天禄永終,苞氏曰允信也困極也永長也言爲政信執其中則能窮極四海天禄所以長終也
舜亦以命禹,孔安國曰舜亦以堯命巳之辭命禹也
曰予小子履敢用玄牡敢昭告于皇皇后帝,孔安國曰履殷湯名也此伐桀告天文也殷家尚白未變夏禮故用玄牡也皇大也右君也大大君帝謂天帝也墨子引湯誓其辭若此也
有罪不敢赦,苞氏曰順天奉法有罪者不敢擅赦也
帝臣不蔽蕳在帝心,言桀居帝臣之位也有罪過不可隱蔽巳蕳在天心也
朕躬有罪無以万方万方有罪在朕躬,孔安國曰無以万方万方不與也万方有罪我身之過也
周有大賚善人是富,周周家也賚賜也言周家受天大賜富於善人也有亂臣十人是也
雖有周親不如仁人,孔安國曰親而不賢不忠則誅管蔡是也仁人箕子微子來則用也
百姓有過在予一人謹㩲量審法度修廢官四方之政行焉,苞氏曰㩲稱也量斗斛也
興滅國继绝丗舉逸民天下之民歸心焉所重民食䘮祭,孔安國曰重民國之本也重食民之命也重䘮所以盡哀也重祭所以致敬也
寛則得衆敏則有功公則民說,孔安國曰言政教公平則民說矣凡此二帝三王所以治也故傳以示後丗也
子張問政於孔子曰何如斯可以從政矣子曰尊五羙屏四悪斯可以從政矣,孔安國曰屏除也
子張曰何謂五羙子曰君子惠而不費勞而不怨欲而不貪㤗而不驕威而不猛子張曰何謂惠而不費子曰因民之所利而利之斯不亦惠而不費乎,王粛曰利民在政無費於財也
擇其可勞而勞之又誰怨欲仁而得仁又焉貪君子無衆寡無小大無敢慢,孔安國曰言君子不以寡小而慢也
斯不亦㤗而不驕乎君子正其衣冠尊其瞻視儼然人望而畏之斯不亦威而不猛乎子張曰何謂四悪子曰不教而殺謂之虐不戒視成謂之暴,馬融曰不宿戒而責目前成爲視成也
慢令致期謂之賊,孔安國曰與民無信而虚刻期也
猶之與人也出内之吝謂之有司,孔安國曰謂財物也俱當與人而吝嗇於出内惜難之此有司之任耳非人君之道也
孔子曰不知命無以爲君子也,孔安國曰命謂窮達之分也
不知禮無以立也不知言無以知人也,馬融曰聴言則别其是非也
堺浦道祜居士重新命工鏤梓正平,甲辰
五月吉日謹誌,
