source,commentary
駉詁訓傳第二十九,本或作駉之什者是隨例而加耳商頌亦然
毛詩魯頌,魯者周公之子伯禽所封之國也周公有大勲勞於天下成王留之輔相而封伯禽焉其封域在禹貢徐州蒙羽之野十七丗至僖公當周惠王襄王之時能遵伯禽之法外征淮夷内修德教國人美之於是國卿季文子請周而使史克作頌四篇夫子删詩録之者以周公有致太平之勲成王命魯郊祭用天子礼樂故取魯頌而同於王者之後焉
鄭氏箋駉頌僖公也僖公能遵伯禽之法儉以足用寛以愛民務農重榖牧于坰野魯人尊之於是季孫行父請命于周而史克作是頌,季孫行父季文子也史克魯史也駉古熒反說文作驍又作駫同牧徐音目坰古熒反徐又苦營反或音苦瓊反下同父音甫注同
駉駉牡馬在坰之野,駉駉良馬腹榦肥張也坰逺野也邑外曰郊郊外曰野野外曰林林外曰坰箋云必牧於坰野者辟民居與良田也周礼曰以官田牛田賞田牧田任逺郊之地牡茂后反草木䟽云騭馬也說文同本或作牧
薄言駉者有驈有皇有驪有黃以車彭彭,牧之坰野則駉駉然驪馬白跨曰驈黄白曰皇純黒曰驪黃騂曰黃諸侯六閑馬四種有良馬有戎馬有田馬有駑馬彭彭有力有容也箋云坰之牧地水草旣美牧人又良飲食得其時則自肥徤耳驈户橘反阮孝緒于密反顧野王餘橘反郭音述驪力知反沈又郎西反跨苦化反又苦故反又胡瓦反郭云髀間也蒼頡篇云兩股間也騂息營反字林火營反種章勇反駑音奴飲音䕃食音嗣又並如字
思無疆思馬斯臧,箋云臧善也僖公之思遵伯禽之法反覆思之無有竟巳乃至於思馬斯善多其所及廣傳疆居良反覆芳服反
駉駉牡馬在坰之野薄言駉者有騅有駓有騂有騏以車伾伾,倉白雜毛曰騅黃白雜毛曰駓赤黄曰騂倉祺曰騏伾伾有力也騅音佳駓符悲反說文音同郭云今桃花馬也字林作􁇯音丕騏音其伾敷悲反字林作駓走也父之反祺音其字又作騏
思無期思馬斯才,才多材也
駉駉牡馬在坰之野薄言駉者有驒有駱有駵有雒以車繹繹,青驪驎曰驒白馬黒鬛曰駱赤身黒鬛曰駵黒身白鬛曰雒繹繹善走也驒徒河反說文云馬文如鼉魚也韓詩及字林云白馬黒髦也駱音洛樊孫爾雅云作白馬黒髦鬛尾也駵音留字林云赤馬黒髦尾也雒音洛本或作駱同繹音亦善足也崔本作驛驎本亦作甐郭良忍反毛色有深淺斑駮隱㔂今之連錢􁇰也吕忱良振反孫炎音隣云似魚鱗也鼉刀輒反
思無繹思馬斯作,作始也箋云斁厭也思遵伯禽之法無厭倦也作謂牧之使可乗駕也斁音亦
駉駉牡馬在坰之野薄言駉者有駰有騢有驔有魚以車祛祛,隂白雜毛曰駰彤白雜毛曰騢豪骭曰驔二目白曰魚祛祛彊徤也駰舊於巾反讀者並音因騢音遐說文云赤白雜色文似鰕魚驔音簟徒點反字林云又音譚魚如字字書作字林作䐳音並同爾雅云一目白瞷二目白䁩瞷音閑祛起吕反彤徒冬反骭戸晏反
思無邪思馬斯徂,箋云徂猶行也思遵伯禽之法專心無復邪意也牧馬使可走行邪似嗟反注同復扶又夫
駉四章章八句有駜頌僖公君臣之有道也,有道者以礼義相與之謂也駜筆備反又符必反字林又父必反
有駜有駜駜彼乗黃,駜馬肥彊貌馬肥彊則能升髙進逺臣彊力則能安囯箋云此喻僖公之用臣必先致其禄食禄食足而臣莫不盡其忠乗繩證反下同
夙夜在公在公明明,箋云夙早也言時臣憂念君事早起夜寐在於公之所在於公之所但明義明德也礼記曰大斈之道在明明德大音㤗
振振鷺鷺于下鼔咽咽醉言舞于胥樂兮,振振群飛貌鷺白鳥也以興絜白之士咽咽鼓節也箋云于於胥皆也僖公之時君臣無事則相與明義明德而巳絜白之士群集於君之朝君以礼樂與之飮酒以鼔節之咽咽然至於无筭爵則又舞燕楽以盡其歡君臣於是則皆喜樂也咽本又作淵鼔同烏玄反又於巾反樂音洛注喜楽下胥樂兮及注安樂同朝直遥反
有駜有駜駜彼乗牡夙夜在公在公飲酒,言臣有餘敬而君有餘惠
振振鷺鷺于飛鼔咽咽醉言歸于胥樂兮,箋云飛喻群臣醉欲退也
有駜有駜駜彼乗駽,青驪曰駽駽呼縣反
夙夜在公在公載燕,箋云載之言則也
自今以始歳其有君子有榖詒孫子于胥樂兮,歳其有豐年也箋云榖善詒遺也君臣安樂則隂陽和而有豐年其善道則可以遺子孫也○歳其有夲或作歳其有矣又作歳其有年者矣皆衍字也詒孫子夲或作詒厥孫子詒于孫子皆是妄加也詒以之反遺唯季反下同
有駜三章章九句泮水頌僖公能修泮宮也,泮普半反夲或作頖音判泮宫諸侯之斈也泮半也半有水半無水也鄭注礼記云頖班也所以班政教僖音希
思樂泮水薄采其芹,泮水泮宫之水也天子辟雝諸侯泮宫言水則采取其芹宫則采取其花箋云芹水菜也言巳思楽僖公之修泮宫之水復伯禽之法而往觀之采其芹也辟雝者築土雝水之外圎如璧四方來觀者均之泮之言半也半水者蓋東西門以南通水北无也天子諸侯宫異制因形然辟音璧下同芹其斤反觀古亂反又音官
魯侯戾止言觀其旂其旂茷茷鸞聲噦噦無小無大從公于邁,戾來止至也言觀其旂言法則其文章也茷茷言有法度也噦噦言有声也箋云于往邁行也我采泮水之芹見僖公來至于泮宮我則觀其旂茷茷然鸞和之聲噦噦然臣无尊卑皆從君行而來稱言此者僖公賢君人樂見之筏满宫反又普其反本又作伐歲呼㑹反
思樂泮水薄采其藻魯侯戾止其馬蹻驕其馬驕蹻其音昭昭,其馬蹻蹻言强盛也箋云其音昭昭僖公之德音藻音早蹻居表反昭之繞反
載色載笑匪怒伊教,色温潤也箋云僖公之至泮宫和顔色而笑語非有所怒於是有所教化也
