source,commentary
洪範第六周書孔氏傳武王勝殷殺受立武庚,不放而殺紂自焚也武庚紂子以爲王者後一名禄父勝商證反禄父下音甫
以箕子歸作洪範,歸鎬京箕子作之範音范鎬胡老反本又作鄗武王所都也
洪範,洪大範法也言天地之大法
惟十有三祀王訪于箕子,商曰祀箕子稱祀不忘本此年四月歸宗周先告武成次問天道
重意,惟十有三祀泰誓惟十有三年春
王乃言曰嗚呼箕子惟天隂騭下民相協厥居,隲定也天不言而黙定下民是助合其居使有常生之資隂默也馬云覆也騭之逸反馬云升也升猶舉也舉猶生也相協上息亮反助也
我不知其彞倫攸叙,言我不知天所以定民之常道理次序問何由彞以之反
〇重言,彞倫攸叙二並本篇
箕子乃言曰我聞在昔鯀陻洪水汨陳其五行,陻塞汨亂也治水失道亂陳其五行鯀工本反陻音因汨工怱反五行戸庚反
重意,汨陳其五行甘誓威侮五行
帝乃震怒不卑洪範九疇彞倫攸斁,卑與斁敗也天動怒鯀不與大法九疇疇類也故常道所以敗不卑必二反徐甫至反注同與也斁多路反徐同路反敗也
重意,帝乃震怒泰誓上皇天震怒
鯀則殛死禹乃嗣興,放鯀至死不赦嗣繼也廢父興子堯舜之道殛紀力反本或作極音同
天乃錫禹洪範九疇彞倫攸叙,天與禹洛出書神龜負文而出列於背有數至于九禹遂因而第之以成九類常道所以次序錫星歷反
𥘉一曰五行,九類類一章以五行爲始
次二曰敬用五事,五事在身用之必敬乃善
次三曰農用八政,農厚也厚用之政乃成農馬云食爲八政之首故以農名之
次四曰協用五紀,協和也和天時使得正用五紀
次五曰建用皇極,皇大極中也凡立事當用大中之道
次六曰乂用三德,治民必用剛柔正直之三德
次七曰明用稽疑,明用卜筮考疑之事
次八曰念用庶徴次九曰嚮用五福威用六極,言天所以嚮勸人用五福所以威沮人用六極此巳上禹所第叙嚮許亮反又許兩反沮在汝反此巳上時掌反禹所第叙馬云從五行巳下至六極洛書文也漢書五行志以𥘉一巳下皆洛書文也
一五行一曰水二曰火三曰木四曰金五曰土,皆其生數
水曰潤下火曰炎上,言其自然之常性炎榮鉗反上時掌反又如字下同
木曰曲直金曰從革,木可以揉曲直金可以改更揉如酉反
土爰稼穡,種曰稼歛曰穡土可以種可以歛
潤下作鹹,水鹵所生鹹音咸鹵音魯
炎上作苦,焦氣之味
曲直作酸,木實之性
從革作辛,金之氣味
稼穡作甘,甘味生於百穀五行以下箕子所陳
二五事一曰貌,容儀貌本亦作䫉
二曰言,詞章
三曰視,觀正視常止反徐市止反
四曰聽,察是非
五曰思,心慮所行思如字徐息吏反下同
貌曰恭,儼恪儼魚檢反
言曰從,是則可從
視曰明,必清審
聽曰聦,必微諦諦音帝
思曰睿,必通於微睿恱歳反馬云通也
恭作肅,心敬
從作乂,可以治
明作晢,照了晢之舌反徐丁列反又之丗反
聦作謀,所謀必成當當丁浪反
睿作聖,於事無不通謂之聖
三八政一曰食,勸農業
二曰貨,寳用物
三曰祀,敬鬼神以成教
四曰司空,主空土以居民
五曰司徒,主徒衆教以禮義
