source,commentary
聖治章第九曾子曰敢問聖人之德無以加於孝乎,曾子問明王孝理以致和平又問聖人德敎更有大於孝否
子曰天地之性人爲貴,貴其異於萬物也
人之行莫大於孝,孝者德之本也
孝莫大於嚴父,萬物資始於乾人倫資父爲天故孝行之大莫過尊嚴其父也
嚴父莫大於配天則周公其人也,謂父爲天雖無貴賤然以父配天之禮始自周公故曰其人也
昔者周公郊祀后稷以配天,后稷周之始祖也郊謂圜丘祀天也周公攝政因行郊天之祭乃尊始祖以配之也
宗祀文王於明堂以配上帝,明堂天子布政之宮也周公因祀五方上帝於明堂乃尊文王以配之也
是以四海之內各以其職來祭,君行嚴配之禮則德敎刑於四海海內諸侯各脩其職來助祭也
夫聖人之德又何以加於孝乎,言無大於孝者
故親生之膝下以養父母日嚴,親猶愛也膝下謂孩幼之時也言親愛之心生於孩幼比及年長漸識義方則日加尊嚴能致敬於父母也○養羊尙反
聖人因嚴以敎敬因親以敎愛,聖人因其親嚴之心敦以愛敬之敎故出以就傅趨而過庭以敎敬也抑搔癢痛縣衾篋枕以敎愛也
聖人之敎不肅而成其政不嚴而治,聖人順民心以行愛敬制禮則以施政敎亦不待嚴肅而成理也
其所因者本也,本謂孝也
父子之道天性也君臣之義也,父子之道天性之常加以尊嚴又有君臣之義
父母生之續莫大焉,父母生子傳體相續人倫之道莫大於斯
君親臨之厚莫重焉,謂父爲君以臨於已恩義之厚莫重於斯
故不愛其親而愛他人者謂之悖德不敬其親而敬他人者謂之悖禮,言盡愛敬之道然後施敎於人違此則於德禮爲悖也○悖蒲對反
以順則逆民無則焉,行敎以順人心今自逆之則下無所法則也
不在於善而皆在於凶德,善謂身行愛敬也凶謂悖其德禮也
雖得之君子不貴也,言悖其德禮雖得志於人上君子之所不貴也
君子則不然,不悖德禮也
言思可道行思可樂,思可道而後言人必信也思可樂而後行人必恱也○行下孟反樂音洛
德義可尊作事可法,立德行義不違道正故可尊也制作事業動得物宜故可法也
容止可觀進退可度,容止威儀也必合規矩則可觀也進退動靜也不越禮法則可度也
以臨其民是以其民畏而愛之則而象之,君行六事臨於其人則下畏其威愛其德皆放象於君也
故能成其德敎而行其政令,上正身以率下下順上而法之則德敎成政令行也
詩云淑人君子其儀不忒,淑善也忒差也義取君子威儀不差爲人法則○淑常六反忒他得反
