source,commentary
士冠禮第一儀禮鄭氏注士冠禮筮于廟門,筮者以蓍問日吉凶於易也冠必筮日於廟門者重以成人之禮成子孫也廟謂禰廟不於堂者嫌蓍之靈由廟神
主人玄冠朝服緇帶素韠即位于門東西面,主人將冠者之父兄也玄冠委貌也朝服者十五升布衣而素裳也衣不言色者衣與冠同也筮必朝服者尊蓍龜之道緇帶黒繒帶也士帶博二寸再繚四寸屈垂三尺素韠曰韋韠長三尺上廣一尺下廣二尺其頸五寸肩革帶博三寸天子與其臣玄冕以視朔皮弁以日視朝諸侯與其臣皮弁以視朔朝服以日視朝凡染黒五入爲緅七入爲緇玄則六入與
有司如主人服即位於西方東面北上,有司羣吏有事者謂主人之吏所自辟除府史以下今時卒吏及假吏是也
筮與席所卦者具饌于西塾,筮所以問吉凶謂蓍也所卦者所以畫地記爻易曰六畫而成卦饌陳也具俱也西塾門外西堂也
布席于門中闑西閾外西面,闑門橛閾閫也古文闑爲𣙗閾爲蹙
筮人執筴抽上韇兼執之進受命於主人,筮人有司主三易者韇藏筴之器今時藏弓矢者謂之韇丸也兼并也進前也自西方而前受命者當知所筮也
宰自右少退贊命,宰有司主政教者自由也賛佐也命告也佐主人告所以筮也少儀曰賛幣自左詔辭自右
筮人許諾右還即席坐西面卦者在左,即就也東靣受命右還北行就席卦者有司主畫地識爻者也
卒筮書封執以示主人,卒巳也書卦者筮人以方冩所得之卦也
主人受眡反之,反還也
筮人還東面旅占卒進告吉,旅衆也還與其屬共占之古文旅作臚
若不吉則筮遠日如𥘉儀,逺日旬之外
徹筮席,徹去也斂也
宗人告事畢,宗人有司主禮者
主人戒賔賔禮辭許,戒警也吿也賔主人之僚友古者有吉事則樂與賢者歡成之有凶事則欲與賢者哀戚之今將冠子故就告僚友使來禮辭一辭而許再辭而許曰固辭三辭曰終辭不許也
主人再拜賔荅拜主人退賔拜送,退去也歸也
前期三日筮賔如求日之儀,前期三日空二日也筮賔筮其可使冠子者賢者恒吉冠義曰古者冠禮筮日筮賔所以敬冠事敬冠事所以重禮重禮所以爲國本
乃宿賔賔如主人服出門左西面再拜主人東面荅拜,宿進也宿者必先戒戒不必宿其不宿者爲衆賔或悉來或否主人朝服
乃宿賔賔許主人再拜賔荅拜主人退賔拜送,乃宿賔者親相見致其辭
宿賛冠者一人亦如之,賛冠者佐賔爲冠事者謂賔若他官之屬中士若下士也宿之以筮賔之明日
厥明夕爲期于廟門之外主人立于門東兄弟在其南少退西面北上有司皆如宿服立于西方東面北上,厥其也宿服朝服
擯者請期宰告曰質明行事,擯者有司佐禮者在主人曰擯在客曰介質正也宰告曰旦日正明行冠事
吿兄弟及有司,擯者告也
告事畢,宗人告也
擯者吿期于賔之家夙興設洗直于東榮南北以堂深水在洗東,夙早也興起也洗承盥洗者棄水器也士用鐡榮屋翼也周制自卿大夫以下其室爲夏屋水器尊卑皆用金罍及大小異
陳服于房中西墉下東領北上,墉牆
