source,commentary
地官司徒第二鄭氏註惟王建國辨方正位體國經野設官分職以爲民極乃立地官司徒使帥其屬而掌邦敎以佐王安擾邦國,敎所以親百姓訓五品有虞氏五而周十有二焉擾亦安也言饒衍之
敎官之屬大司徒卿一人小司徒中大夫二人郷師下大夫四人上士八人中士十有六人旅下士三十有二人府六人史十有二人胥十有二人徒百有二十人,師長也司徒掌六郷郷師分而治之二人者共三郷之事相左右也○郷音香下以意求之長丁丈反後皆同左音佐右音又
郷老二郷則公一人郷大夫每郷卿一人州長毎州中大夫一人黨正毎黨下大夫一人族師毎族上士一人閭胥毎閭中士一人比長五家下士一人,老尊稱也王置六郷則公有三人也三公者內與王論道中參六官之事外與六鄉之敎其要爲民是以屬之郷焉州黨族閭比郷之屬别正師胥皆長也正之言政也師之言帥也胥有才知之稱載師職曰以官田牛田賞田牧田任逺郊之地司勲職曰掌六郷之賞地六郷地在逺郊之內則居四同鄭司農云百里內爲六郷外爲六遂○比毗志反又扶二反下同稱尺證反下同爲民于僞反帥所類反
封人中士四人下士八人府二人史四人胥六人徒六十人,聚土曰封謂壝堳埒及小封疆也○堳音眉埒音劣
鼓人中士六人府二人史二人徒二十人舞師下士二人胥四人舞徒四十人,舞徒給繇役能舞者以爲之○繇音遥
牧人下士六人府一人史二人徒六十人,牧人養牲於野田者詩云爾牧來思何蓑何笠或負其餱三十維物爾牲則具○何胡可反
牛人中士二人下士四人府二人史四人胥二十人徒二百人,主牧公家之牛者詩云誰謂爾無牛九十其犉犉者九十其餘多矣○犉而純反又而專反
充人下士二人史二人胥四人徒四十人,充猶肥也養繫牲而肥之
載師上士二人中士四人府二人史四人胥六人徒六十人,載之言事也事民而稅之禹貢曰冀州旣載載師者閭師縣師遺人均人官之長
閭師中士二人史二人徒二十人,主徵六郷賦貢之稅者郷官有州黨族閭比正言閭者徵民之稅宜督其親民者凡其賦貢入大府穀入倉人
縣師上士二人中士四人府二人史四人胥八人徒八十人,主天下土地人民巳下之數徵野賦貢也名曰縣師者自六郷以至邦國縣居中焉鄭司農云四百里曰縣
遺人中士二人下士四人府二人史四人胥四人徒四十人,鄭司農云遺讀如詩曰棄予如遺之遺玄謂以物有所饋遺○遺維季反注饋遺同又音維
均人中士二人下士四人府二人史四人胥四人徒四十人,均猶平也主平土地之力政者
師氏中大夫一人上士二人府二人史二人胥十有二人徒百有二十人,師敎人以道者之稱也保氏司諫司救官之長鄭司農云詩云楀維師氏○楀俱禹反
保氏下大夫一人中士二人府二人史二人胥六人徒六十人,保安也以道安人者也書敘曰周公爲師召公爲保相成王爲左右聖賢兼此官也
司諫中士二人史二人徒二十人,諫猶正也以道正人行〇行去聲
司救中士二人史二人徒二十人,救猶禁也以禮防禁人之過者也
調人下士二人史二人徒十人,調猶和合也
媒氏下士二人史二人徒十人,媒之言謀也謀合異類使和成者今齊人名麴􁍪曰媒〇媒音梅麴起六反􁍪魚列反
司市下大夫二人上士四人中士八人下士十有六人府四人史八人胥十有二人徒百有二十人,司市市官之長
質人中士二人下士四人府二人史四人胥二人徒二十人,質平也主平定物賈者○賈音嫁下同
廛人中士二人下士四人府二人史四人胥二人徒二十人,故書廛爲壇杜子春讀壇爲廛說云市中空地玄謂廛民居區域之稱○廛直連反
